Page ID,Page name,Disclaimer,Amount spent (ISK)
573559522797177,Flokkur fólksins,Flokkur Fólksins,478
607573825973006,LÍS - Landssamtök íslenskra stúdenta,Landssamtök Íslenskra Stúdenta,388
430089884101936,Þingflokkur Pírata,Þingflokkur Pírata,350
441539862613489,Foreldrasamtök gegn áfengisauglýsingum,Árni Guðmundsson,269
429577173821764,Matvælaráðuneytið,matvælaráðuneytið,172
154893001218870,ADHD samtökin,ADHD samtökin,164
106979180938014,Samstöðin,Samstöðin ehf,≤100
164555479899,Samfylkingin í Hafnarfirði,Samfylkingin í Hafnarfirði,≤100
737169626371453,Heimildin,Stundin,≤100
128854307193614,Landsvirkjun,Landsvirkjun,≤100
332179950192248,Félag atvinnurekenda,Félag atvinnurekenda,≤100
933310850194959,Israel Alliance,These ads ran without a disclaimer,≤100
100379049649433,Cool Bits Daily,These ads ran without a disclaimer,≤100
