Page ID,Page name,Disclaimer,Amount spent (HUF)
128596180810227,Stefi Déri,Megafon,19885
224274995688487,Bohár Dániel - Riporter,Megafon,16635
109217671008015,A kopasz oszt,Megafon,14911
101581945499216,Budapest Beszél,Budapest Beszél,14519
776079922494181,Apáti Bence hivatalos oldala,Megafon,13196
102414628645144,Korondy Tamás,Megafon,12182
110149601578231,GeriJoca,Megafon,11418
109637397268775,Nyugati Pályán,Splendidea Communications Kft,9640
203158929827,Beol.hu Békés vármegyei online,Mediaworks Hungary Zrt.,7036
503614639975773,Trombitás Kristóf,Megafon,5052
543788999005363,ORIGO,Mediaworks Hungary Zrt.,4952
178362315106,European Parliament,European Parliament,3421
326635018181862,Magyar Nemzet,Mediaworks Hungary Zrt.,2915
109503892404998,Világgazdaság,Mediaworks Hungary Zrt.,2712
118152054556475,Deák Dániel,Megafon,2364
365977046868250,Nemzeti Agrárgazdasági Kamara - NAK,Nemzeti Agrárgazdasági Kamara,2313
248172631940,Mandiner,Mediaworks Hungary Zrt.,2264
191461774219575,hirado.hu,hirado.hu,2256
120370174702378,Magyarország Kormánya,Magyarország Kormánya,2256
594088897289853,Alapjogokért Központ,Alapjogokért Központ,1382
1534911313439123,Ripost,Ripost,1322
103294948505659,Szánthó Miklós,Szánthó Miklós – Alapjogokért Központ,1283
331580946799,Borsonline - Bors Szórakoztató Napilap,Borsonline - Bors Szórakoztató Napilap,1275
191815250903223,"Kondoros - Hírek, képek és videók a múltból és a jelenből",Oláh Péter Szabolcs,1261
108346693873484,Győrffy Balázs,Balazs Gyorffy,982
153992771336740,Origo Sport,Mediaworks Hungary Zrt.,873
167604093409160,Promenad24,Dél-alföldi Média Centrum Kft.,773
191946490841225,Dúró Dóra,Mi Hazánk Mozgalom,722
103949707619177,Opauszki Zoltán,Opauszki Zoltán,719
100299381703981,Ps TV,PestiSrácok.hu,672
102426795954406,Nobilis Márton,Nobilis Márton,638
135049793193159,IH Rendezvényközpont,Green Team Event & Marketing Kft.,631
113684438795574,Párbeszéd - Zöldek,Párbeszéd Magyarországért,516
264517713636590,PestiSracok.hu,PestiSrácok.hu,483
447204268797621,RTL.hu,RTL.HU,447
451844608304228,Metropol,Metropol,432
268042136672212,Századvég,Századvég Közéleti Tudásközpont Alapítvány,429
110462711892232,DK TV,Demokratikus Koalíció,425
108248022589754,Bosch Magyarország,Bosch Magyarország,422
1425355697692924,Dr. Tóth Bertalan,Magyar Szocialista Párt,392
107898832590939,European Commission,European Commission,380
294815374340858,Donáth Anna,Momentum Mozgalom,373
734217673259088,Ujhelyi István dr.,Ujhelyi István EP-képviselő,363
345496092135627,Hír TV,Mediaworks Hungary Zrt.,332
76748198685,Budapest Pride,Budapest Pride,320
211156277497,WWF Hungary,WWF Hungary,298
851784814892644,Simicskó István,KDNP frakció,295
520814838255629,Agapé Gyülekezetek Közössége,Agapé Gyülekezetek Közössége,286
303640261940,Nemzeti Sport Online,Mediaworks Hungary Zrt.,271
777343075710072,Migrációkutató Intézet,Migrációkutató Intézet,256
735736549957756,G7.hu,G7.hu Nonprofit Zrt.,255
162344823835042,atlatszo.hu,Átlátszónet Alapítvány,252
47198507012,LMP - Magyarország Zöld Pártja,LMP - Magyarország Zöld Pártja,249
289633770813,UNICEF Magyarország,UNICEF Magyar Bizottság Alapítvány,243
537817739693723,Brain Bar,Brain Bar,238
170187966339475,Life.hu,Mediaworks Hungary Zrt.,210
221761091331222,Danube Institute,Danube Institute,205
143151351544,Színházi Olimpia 2023 / Theatre Olympics 2023,Szinházi Olimpia Nonprofit Kft.,198
1215492498464496,Angyal Károly,Angyal Károly Tibor,196
876772425797119,Hölvényi György,Hölvényi György,195
44847086574,Amnesty International Magyarország,Amnesty International Magyarország,195
1926735160968885,Válasz Online,Válasz Online,194
103478164920832,Rubicon Intézet,Rubicon Intézet,183
1722969024662464,Civil Összefogás Fórum,Civil Összefogás Fórum,161
237088069704442,Kósa Ádám,"Adam Kosa, Member of the European Parliament",155
267882727864,Kubatov Gábor,Fidesz,147
887921287887805,Király Nóra,Király Nóra,134
451084968283411,Klímainnovációs Közösség,PANNON Pro Innovációs Kft.,130
156847374371871,Szabó Tímea,Párbeszéd Magyarországért,122
92932085233,TASZ,TASZ,119
206829842043,Rétvári Bence,Rétvári Bence,118
150836998898897,aHang,aHang,115
408924035951553,Körforrás,Körforrás,112
348148758663062,Indahouse Hungary,InDaHouse Hungary Egyesület,109
109400335280737,Dóka Milán,Milán Dóka,107
100452852734271,Startlap - Vásárlás tippek,Central Médiacsoport Zrt.,104
1869511526651884,Zsigmond Barna Pál,Fidesz,102
161746613987047,Állampolgári Bizottság az Emberi Jogokért,Állampolgári Bizottság az Emberi Jogokért,≤100
445067412712417,Dr. Molnár Krisztián,Molnár Krisztián,≤100
