Page ID,Page name,Disclaimer,Amount spent (ILS)
121179420924897,המשאל של ישראל,הביתה,1266
113172981678041,הביתה,הביתה,1262
103851839280828,חופשי בארצנו - מטה המאבק,מטה המאבק - נלחמים על הדמוקרטיה,1181
106136394376777,Idan Yakov,Rama Yarimi,814
113605434994253,דודו כהן לראשות עיריית טירת כרמל,כד למועצת העיר טירת הכרמל,488
104743111658191,Ron Ben Shushan,רון בן שושן,336
103907495935157,צו חירום,צו חירום,260
1073548259341247,לובי 99,לובי 99,211
670447859788515,יניב דרי - מחוברים לתושב,Yaniv Derry,205
256244498134186,אגף הביטחון - משרד ראש הממשלה,אגף הביטחון - משרד ראש הממשלה,198
203379449685023,לוחמים לשלום,לוחמים לשלום,169
279345532129864,ההסתדרות הציונית העולמית,ההסתדרות הציונית העולמית,153
109970322392972,מפלגת הליכוד,מפלגת הליכוד,148
103851895179872,אמהות לביאות,Nataly Milner,123
386571688100362,יהדות חילונית רבנים חילוניים,יהדות חילונית רבנים חילוניים,115
132107110817900,"מרכז הנדל""ן","מרכז הנדל""ן",106
308048836418327,סיעת הילה שלם והתושבים - קרית אתא,סיעת הילה שלם והתושבים - קרית אתא,105
103979465980614,מתווה העם,מתווה העם,105
107926607591864,זוּלת - לשוויון וזכויות אדם,זוּלת - לשוויון וזכויות אדם,101
107836625941364,Yair Lapid - יאיר לפיד,מפלגת יש עתיד,≤100
158195257562237,מיכאל לייטמן,"בני ברוך קבלה לעם ע""ר",≤100
977353718949028,מיקי זוהר-  Micki Zohar,ח״כ מיקי זוהר  Micki Zohar,≤100
178433145502975,Avigdor Liberman - אביגדור ליברמן,ישראל ביתנו,≤100
1662907067255622,איגוד הגז הטבעי,Unik,≤100
137449656335533,Amnesty International Israel,Amnesty International Israel,≤100
198917210119704,שלום עכשיו,שלום עכשיו,≤100
604890186681585,מור ויצמן,Mor Weitzman,≤100
2024383551205478,אלדד בר כוכבא,אלדד בר כוכבא,≤100
1921160331531297,Act. تغيير اعلامي,סיכוי אופוק - سيكوي أفق,≤100
444832565529651,המכון הישראלי לדמוקרטיה,המכון הישראלי לדמוקרטיה,≤100
114429471587565,"יפעת עובדיה לוסקי - יו""ר קק""ל",קרן קימת לישראל,≤100
108037760571199,הקונגרס הישראלי,הקונגרס הישראלי,≤100
124395890927240,הקרן החדשה לישראל,הקרן החדשה לישראל,≤100
110125925176216,יוזמת המאה - The 100 Initiative,יוזמת המאה,≤100
219256864871723,Lea Fadida לאה פדידה,Lea Fadida לאה פדידה,≤100
1099335593559205,כנס החירות FreedomCon,THE OBJECTIVIST FREEDOM CENTER LTD. (CC),≤100
1129270547137227,EcoHeat,"אקוהיט מערכות חימום בע""מ",≤100
207175656718749,אביהו האן לראשות עיריית חיפה,אביהו האן לראשות עיריית חיפה,≤100
111919847028684,שומרים - המרכז לתקשורת ודמוקרטיה,שומרים - המרכז לתקשורת ודמוקרטיה,≤100
172654247853282,Shenhav musanbar,Shenhav Musanbar,≤100
216394682076449,צילה רשף מועצת זכרון יעקב,צילה רשף מועצת זכרון יעקב,≤100
1913755198907011,"המרכז הרפואי לטיפול בהשמנה - ד""ר רז",המרכז הרפואי לטיפול בהשמנה,≤100
106057988971053,אלי כהן - Eli Cohen,אלי כהן - Eli Cohen,≤100
108988678714619,בית הציונות הדתית,בית הציונות הדתית,≤100
347519992380551,אביעד סיני לראשות מועצת פרדס חנה כרכור,אביעד סיני,≤100
124894077550811,ישראל חופשית,ישראל חופשית,≤100
161096657252221,שוברים שתיקה,שוברים שתיקה,≤100
243802603036454,חיפה בשבילנו - בראשות שרית גולן-שטיינברג,חיפה בשבילנו - בראשות שרית גולן-שטיינברג,≤100
428948830813584,"מגדילים - האתר הישראלי להתחדשות עירונית ונדל""ן","מגדילים - האתר הישראלי להתחדשות עירונית ונדל""ן",≤100
