Page ID,Page name,Disclaimer,Amount spent (USD)
386469311494240,Իրազեկ քաղաքացիների միավորում - Union of Informed Citizens,Union of Informed Citizens NGO,≤100
179916515749362,FIP - Փաստերի ստուգման հարթակ,Union of Informed Citizens NGO,≤100
2311673205550677,AntiFake.am,"""Civil Consciousness"" liberal NGO (AntiFake.am)",≤100
102112125825376,Համախմբում,Համախմբում,≤100
265536155341417,Right to Life,Right to Life,≤100
330537565808,Tert.am,Tert.am LLC,≤100
195018463901371,CivilNet,CivilNet,≤100
508474669661482,Արա Հակոբյան/Ara Hakobyan,These ads ran without a disclaimer,≤100
101404518614286,Zhirayr Voskanyan,These ads ran without a disclaimer,≤100
107414976006076,Mediamax.am,These ads ran without a disclaimer,≤100
