Page ID,Page name,Disclaimer,Amount spent (JPY)
1904070096535109,スマート選挙,株式会社センキョ,2215
100768172344790,Guess what?,These ads ran without a disclaimer,2089
475681929154100,国連UNHCR協会,国連UNHCR協会,146
101582632214185,Lab Beauty,These ads ran without a disclaimer,143
239558679475625,株式会社トマス技術研究所,Kenji Fukutomi,≤100
651801698258818,NewsTV,NewsTV,≤100
104480918173191,かず｜慶應卒起業家,These ads ran without a disclaimer,≤100
103914976352692,選挙ドットコム,イチニ株式会社,≤100
579187028792625,社長と会社の手元現金を増やす仕組みづくりの専門家,社長と会社の手元現金を増やす仕組みづくりの専門家,≤100
115247946520017,電波オークションを実現する会,Mitsumasa Kato,≤100
104533215755145,ZOE_Japan,ZOE Japan,≤100
1672330153015605,透明アクリル業者票,アドアチーブ株式会社,≤100
341085439782585,富田けんじ（立憲民主党＠練馬）,Kenji Tomita,≤100
521557941378066,松倉いさむ 後援会,These ads ran without a disclaimer,≤100
