Page ID,Page name,Disclaimer,Amount spent (EUR)
46590675335,Save the Children Italia,Save the Children Italia,≤100
40433567307,UNICEF Italia,UNICEF Italia,≤100
73493613024,ActionAid Italia,ActionAid Italia,≤100
65737832194,Medici Senza Frontiere,Medici Senza Frontiere,≤100
70212282110,Altroconsumo,Altroconsumo,≤100
1440878759561839,WeMove Europe,WeMove Europe,≤100
121622734528770,Eidos Communication,Eidos Communication,≤100
88997912868,WWF Italia,WWF Italia,≤100
519490478135836,Wolters Kluwer Italia,Wolters Kluwer Italia,≤100
887405791294493,Scuola Greco Pittella,Scuola Greco Pittella S.r.l.,≤100
39993728498,Amnesty International - Italia,Amnesty International Italia,≤100
313559438694166,VIDAS - Assistenza ai Malati inguaribili,VIDAS - Assistenza ai Malati inguaribili,≤100
53347533412,LAV,LAV Onlus,≤100
160132570689280,Arcigay,Arcigay,≤100
251389298296527,Randstad Italia,Randstad Italia Spa,≤100
299584710061488,WeWorld Onlus,WeWorld Onlus,≤100
103968169809912,Credem Banca,Finanziato da Credem Banca,≤100
693492780985618,HSI/Italia,HSI/Italia,≤100
35346524498,Greenpeace Italia,Greenpeace Italia,≤100
147547541961576,Council of the European Union,Council of the European Union,≤100
171795872872353,ISPI - Istituto per gli studi di politica internazionale,ISPI - Istituto per gli studi di politica internazionale,≤100
430292790777271,LeasePlan,LeasePlan Italia S.p.A,≤100
267617064117828,Plastic Free,Plastic Free Odv Onlus,≤100
295129913955200,Aboca,Aboca,≤100
309840349048638,e.on,E.ON Energia,≤100
91261353336,Terre des Hommes Italia,Terre des Hommes Italia,≤100
647837585241405,I Wonder Pictures,I Wonder Pictures,≤100
101809911384599,Flowe,Flowe,≤100
101571535935993,Stop_afrofobia,Amref Health Africa,≤100
624608431059294,Evolvere,Evolvere,≤100
377901329389619,Ener2Crowd,Ener2Crowd,≤100
106199837902239,Innesti,Caviro sca,≤100
192141407570169,Rizzoli,Rizzoli,≤100
153226661931217,I Cittadini per Angelo Niceta,Manfredo Gennaro,≤100
469381559808559,ITLAS Società Benefit,Itlas srl,≤100
116674114654565,Chiudi col gas,Chiudi col gas,≤100
109491080460389,Bambine Non Spose,WeWorld Onlus,≤100
865166100210938,Bosch Italia,Bosch Italia,≤100
253657775240887,Pulsee,Axpo Italia,≤100
108895805815369,alfemminile.com,Alfemminile,≤100
289752771388757,Culligan Italiana,Culligan Italiana,≤100
279254145570834,Monini,Monini s.p.a.,≤100
102000366519353,EIPASS,Certipass srl,≤100
355710427861591,Fratelli d'Italia,Fratelli d'Italia,≤100
121793864832061,Daniele Novara,Centro Psicopedagogico per l'educazione e la gestione dei conflitti,≤100
152334065066,Fairtrade Italia,Fairtrade Italia,≤100
107492342616216,Legambiente Onlus,Legambiente Onlus,≤100
153967571694403,Led Italia,LED Italia S.r.l,≤100
104770531957936,Pilu Pierlucio Firrao,Pierlucio Firrao,≤100
297566579018,IoScrittore,IoScrittore,≤100
150200761667597,Oxfam Italia,Oxfam Italia,≤100
179082995487557,SOS Villaggi dei Bambini - Italia,SOS Villaggi dei Bambini - Italia,≤100
1657214567845698,BPER Banca,BPER Banca,≤100
100964541456650,Will Media,Will Media,≤100
105796680963553,Gruppo Editoriale La Scuola SEI,Editrice La Scuola,≤100
157463237749900,Olmedo Mobility Division,Olmedo Special Vehicles S.p.A,≤100
153574674705426,AVSI,AVSI,≤100
110022917927214,BRT,BRT S.P.A.,≤100
503567226377662,"Centro Narconon ""Il Gabbiano""","Centro Narconon ""Il Gabbiano""",≤100
48677844864,Amref Health Africa - Italia,Amref Health Africa - Italia,≤100
172576080121698,Lorenzo Valentini,Lorenzo Valentini,≤100
126662574668084,Più Europa,Più Europa,≤100
80761643174,Fondazione Umberto Veronesi,Fondazione Umberto Veronesi,≤100
598765886892277,Forever Bambù Società Benefit,Forever Bambù,≤100
56755731998,Codacons,Codacons,≤100
162764457111560,Dynamo Camp,Fondazione Dynamo Camp Onlus,≤100
1668922680093325,Propensione.it,Propensione.it,≤100
48677844864,Amref Health Africa - Italia,Amref Health Africa,≤100
160297837351805,CGT Caterpillar,CGT S.p.A.,≤100
78702951744,Libera Contro le Mafie,"Libera. Associazioni, nomi e numeri contro le mafie",≤100
1437515073143050,Collezione Maramotti,These ads ran without a disclaimer,≤100
218671751661739,Fondazione Villa Maraini,Stefano Spada,≤100
59374667427,Alice for Children,Alice for Children,≤100
2797201316986482,Annalisa Tardino,Annalisa Tardino,≤100
254827334550018,Praim,Praim srl,≤100
123495291012482,Salone Internazionale del Libro,Salone del Libro,≤100
178362315106,European Parliament,European Parliament,≤100
347006748786906,AIEF,AIEF Associazione Italiana Educatori Finanziari,≤100
142331079621154,RESET,RESET S.r.l.,≤100
100896914607046,dejan_cetnikovic,Dejan Cetnikovic,≤100
410043459011308,Fondazione IEO Monzino,Fondazione IEO-MONZINO,≤100
1448101522079687,Onlymoso,Onlymoso,≤100
150738452145624,BASF Italia,Basf Italia S.p.a.,≤100
404402342956536,StartupItalia,StartupItalia,≤100
396512120735562,CIRFOOD,CIRFOOD sc,≤100
102357095763264,CandidatoPolitico.it,CandidatoPolitico.it,≤100
158631584189136,Fondazione UniVerde,Fondazione Univerde,≤100
583229838437691,Conflavoro PMI,Conflavoro PMI,≤100
104570204462760,L'Informatore,Informatore,≤100
105296361571631,FGS srl,FGS srl,≤100
172718099490199,DOKITA,Dokita onlus,≤100
621188454669130,I Diavoli,I Diavoli,≤100
144293048945865,Knowità,Knowità Srl,≤100
212519685575,Fondazione AIRC per la Ricerca sul Cancro,Fondazione AIRC per la Ricerca sul cancro,≤100
360133591158746,zeroCO2,zeroCO2 SB SRL,≤100
101764407875365,NeN,NeN Energia,≤100
1196196390526965,Facebook Surveys,These ads ran without a disclaimer,≤100
1518947238400996,Nicola Napolitano,These ads ran without a disclaimer,≤100
101995961847107,theart___________,These ads ran without a disclaimer,≤100
289446947817747,Global Citizen,These ads ran without a disclaimer,≤100
