Page ID,Page name,Disclaimer,Amount spent (IDR)
23383061178,Prabowo Subianto,indonesia Adil makmur,3745309
320858334728047,Partai Solidaritas Indonesia,Partai Solidaritas Indonesia,1853162
104054595928021,Bakti Untuk Rakyat,Bakti Untuk Rakyat,1683283
101350709331663,G24News.tv,Yayasan Golkar Institut SPKP,1512076
92828041744,Sandiaga Salahuddin Uno,Sandiaga Salahuddin Uno,498188
120493494629294,Pikiran Rakyat,"Aditya Riantiko Akbar, ST",404009
417497171919243,Pesona Indonesia,Pesona Indonesia,354864
197545083607941,Harian Kompas,Harian Kompas,285597
102712985995817,Sobat Airlangga Hartarto,Sobat Airlangga Hartarto,189338
107451398732660,Teman Dito,Teman Dito,156105
333711983956998,Erwin Aksa,Yayasan Golkar Institute SPKP,137082
103817945830465,Sobat Dito,Sobat Dito,108792
143840239716746,Indozone.id,PT. INDOZONE MEDIA INDONESIA,85011
105818752347206,Teman Airlangga Hartarto,Teman Airlangga Hartarto,72463
417497171919243,Pesona Indonesia,These ads ran without a disclaimer,66967
104427162506872,Fakta Anies,Fakta Anies,66339
101679818973699,Sahabat Ganjar Pranowo,John Kamnahas,65181
106369021821580,Partai Buruh,Partai Buruh,63049
110952238516382,Kiki Daliyo,Juniar Dwi Harianto,54892
1408188616062841,Sofitel Bali Nusa Dua,Sofitel Bali Nusa Dua Beach Resort,54282
193237974052689,Partai Keadilan Sejahtera,Partai Keadilan Sejahtera,52808
103581752405141,Sobar Harahap,Juniar Dwi Harianto,44493
101801699177654,Muhamad Sodikin,Saepujaman,41175
102793242742002,Jaksapedia,JAKSAPEDIA,34193
101760624522103,DPP Banteng Muda Indonesia,Farid Wahyudi,34173
104830667806476,Melihat Indonesia,Melihat Indonesia,33738
104899195891472,Berita Ganjar Pranowo,Ganjar Nusantara Indonesia,32810
111864151754055,Esensi TV,Esensi Tv,31587
101403669397488,Nikmatul Sugiyarto,Juniar Dwi Harianto,29998
110865154735990,Koran Harian Tanah Air,Muhammad Miftakhunnaim,29973
103013484811323,Jangan Lupa Sejarah,John Kamnahas,29127
225743208016201,Grace Anastasia PSI,Partai Solidaritas Indonesia,29121
