Page ID,Page name,Disclaimer,Amount spent (GTQ)
100169482992019,Sebastián Arzú,Sebastián Arzú,≤100
196258110831945,Partido Valor,Partido Valor,≤100
414127029025760,CABAL,CABAL,≤100
167924689961661,Unidad Nacional de la Esperanza,Unidad Nacional de la Esperanza,≤100
110582257361172,Partido Azul,Partido Azul,≤100
468114850661437,Noticias guate,Noticias guate,≤100
102762215788405,VOS.gt,VOS.gt,≤100
1710300235853890,Noticiero El Vigilante,Noticiero El Vigilante,≤100
101555919274873,Mi Familia,Mi Familia,≤100
856012741442139,Ipas LAC,NEUMA,≤100
