Page ID,Page name,Disclaimer,Amount spent (PLN)
102931488739,Platforma Obywatelska,Platforma Obywatelska,2370
181495788566504,Platforma Obywatelska Podlaskie,Marcin Prokopiuk,112
63563473556,Gazeta Wyborcza,Gazeta Wyborcza,≤100
142218132483199,Kasa Stefczyka,Kasa Stefczyka,≤100
102811109411234,Do:łącz,Dołącz,≤100
165245993503617,Mercedes-Benz Polska,These ads ran without a disclaimer,≤100
196334343778888,Polskie Centrum Pomocy Międzynarodowej (PCPM),PCPM with Facebook ad credits,≤100
100947022065093,Okresowa Koalicja,Okresowa Koalicja,≤100
339855706171439,Dobra Fabryka,Dobra Fabryka,≤100
142614625077,WWF Polska,WWF Polska,≤100
144808095552639,ING Polska,ING Polska,≤100
111778487054045,TOGETAIR,Kamil Magot,≤100
107898832590939,European Commission,European Commission,≤100
276860619087002,Sylwester Tułajew,Sylwester Tułajew,≤100
1683534065241470,OKO.press,OKO.press,≤100
578864425792499,Ośrodek Monitorowania Antypolonizmu,Fundacja Ośrodek Monitorowania Antypolonizmu,≤100
393084100793680,Wiedza i Praktyka,Wiedza i Praktyka,≤100
147547541961576,Council of the European Union,Council of the European Union,≤100
57544755889,Amnesty International Polska,Amnesty International Polska,≤100
344620515579640,Fundacja Równość.org.pl,Fundacja Równość.org.pl,≤100
662892093824152,Fundacja Małych Stópek,Fundacja Małych Stópek,≤100
469702339755768,Paweł Tanajno Polska Liberalna Strajk Przedsiębiorców,Iam4u.pl,≤100
475584852475176,Pozytron,Bartłomiej Jan Ginter,≤100
142361819657439,Narodowy Fundusz Ochrony Środowiska i Gospodarki Wodnej,Narodowy Fundusz Ochrony Środowiska i Gospodarki Wodnej,≤100
108301418501661,Odszkodowania Za Represje 1944-1989,Łukasz Świątek,≤100
391098174296294,Super Express,se.pl,≤100
323818978380073,Stanisław Derehajło,Stanisław Derehajło,≤100
108731657156411,Mariusz Gromko - Senator RP,Mariusz Gromko,≤100
105636040979969,Polska 2050,Polska 2050 Szymona Hołowni,≤100
557305027641691,Prof. Ryszard Legutko,European Parliament ECR Group,≤100
131511477684330,Znak Horyzont,Społeczny Instytut Wydawniczy Znak sp. z o.o.,≤100
113143203693,Santander Bank Polska,Santander Bank Polska,≤100
513969188677442,Compassion Polska,Compassion Polska,≤100
182038191908977,Cyfryzacja KPRM,Kancelaria Prezesa Rady Ministrów,≤100
406758116099067,Fundacja Kasisi,Fundacja Kasisi,≤100
311766890555,Fundacja Batorego,Fundacja Batorego,≤100
111275624780972,Erase Indifference,Erase Indifference,≤100
50063176484,TVN24,TVN,≤100
409448322773622,Leszek Miller,Leszek Miller,≤100
198196133533089,Polska Misja Medyczna / Polish Medical Mission,Polska Misja Medyczna / Polish Medical Mission,≤100
487587700423,Miasto Gdańsk,Miasto Gdańsk,≤100
10150116077700370,Fundacja Rodzić po Ludzku,Fundacja Rodzić po Ludzku,≤100
658695000844495,Adam Andruszkiewicz,Adam Andruszkiewicz,≤100
103423656514231,Fundacja Gdańska,Fundacja Gdańska,≤100
173086948664,Infor.pl,Infor.pl,≤100
157458232131,Prawo i Sprawiedliwość,Prawo i Sprawiedliwość,≤100
1496359750659795,Michał Wójcik,Michał Wójcik,≤100
13204463437,"UNHCR, the UN Refugee Agency",These ads ran without a disclaimer,≤100
230359693460,Uniwersytet Śląski w Katowicach,Uniwersytet Śląski,≤100
74863922834,Krytyka Polityczna,Krytyka Polityczna,≤100
130220166122,Kupuj odpowiedzialnie,Kupuj odpowiedzialnie,≤100
137877409609952,Lewica,Nowa Lewica,≤100
447190942074880,Polskie Stowarzyszenie Obrońców Życia Człowieka,Polskie Stowarzyszenie Obrońców Życia Człowieka,≤100
283996612400,Fundacja Nasza Ziemia,Fundacja Nasza Ziemia,≤100
712571059542531,Szpital im. Rudolfa Weigla w Blachowni,These ads ran without a disclaimer,≤100
371981706755861,Kierunek na EKO,OS3 Sp. z o. o.,≤100
140982409255721,Miłość nie wyklucza,Miłość nie wyklucza,≤100
306577192739020,4liberty.eu,Liberté!,≤100
177473808919,Polskie Stronnictwo Ludowe,Polskie Stronnictwo Ludowe,≤100
