Page ID,Page name,Disclaimer,Amount spent (EUR)
197936253581591,Fundação Francisco Manuel dos Santos,Fundação Francisco Manuel dos Santos,≤100
347829038571812,Aldeias de Crianças SOS Portugal,Aldeias de Crianças SOS Portugal,≤100
122344957784863,Amnistia Internacional Portugal,Amnistia Internacional Portugal,≤100
145359705502132,Pordata,PORDATA,≤100
109925568716509,M Diversidades,M Diversidades,≤100
901697383231864,Contas Connosco,Contas Connosco,≤100
163880252839,Deco Proteste,DECO PROTESTE,≤100
480077632487005,Daikin Portugal,Daikin Portugal S.A.,≤100
432406000156942,igualdade.pt,Bruna Tapada,≤100
147547541961576,Council of the European Union,Council of the European Union,≤100
112857423489214,Ajuda em Ação,Ajuda em Ação,≤100
107898832590939,European Commission,European Commission,≤100
107252064043989,Luís Montenegro,Partido Social Democrata,≤100
391346758158809,Livros aos molhos,Victor Neves Coelho,≤100
101920814806371,Casa dos livros,Manuel Augusto Monteiro,≤100
85728663404,Standvirtual,Standvirtual,≤100
178362315106,European Parliament,European Parliament,≤100
163880252839,Deco Proteste,Deco Proteste,≤100
1040873502644920,ZERO - Associação Sistema Terrestre Sustentável,ZERO - Associação Sistema Terrestre Sustentável,≤100
101920814806371,Casa dos livros,Eduardo Monteiro,≤100
481847405755917,Teva Portugal,Teva Portugal,≤100
397962160783891,Álvaro Amaro,PPE Grupo do Partido Popular Europeu,≤100
587845577964346,Médicos Sem Fronteiras,These ads ran without a disclaimer,≤100
568028987050017,Livros com História,Cátia Inês Fernandes,≤100
102783325087924,Revolta dos Livros,Helder Coelho Dias,≤100
100540912157837,Palácio da Leitura,Maria Antónia Gens Fialho Luís,≤100
101155489545190,Mrs Book,Sonia Batista,≤100
115018074836456,Antiquário Moderno,Cátia Inês Fernandes,≤100
100521345762709,Miguel Fernandes,Alfredo Miguel Pires Fernandes,≤100
28312410177,World Food Programme,These ads ran without a disclaimer,≤100
104576002551325,Democratas do distrito de Braga,These ads ran without a disclaimer,≤100
100584101427459,A Libraria,These ads ran without a disclaimer,≤100
102257292713372,Alejandra Morales,These ads ran without a disclaimer,≤100
101090899641987,NIS2 PRO,These ads ran without a disclaimer,≤100
108535778792153,Evang. Akwaha,These ads ran without a disclaimer,≤100
