Page ID,Page name,Disclaimer,Amount spent (TWD)
238507146264909,國際特赦組織 台灣分會 Amnesty International Taiwan,國際特赦組織 台灣分會 Amnesty International Taiwan,900
148475335184300,Greenpeace 綠色和平 (台灣網站),Greenpeace 綠色和平 (台灣網站),816
693907914395620,良杯製所 Oolab,良杯製所 Oolab,581
105556085524776,Twpca-台灣野良犬照護協會,Twpca-台灣野良犬照護協會,483
277223962685223,Nespresso.TWN,Nespresso.TWN,465
248954465174600,TOYOTA Taiwan,TOYOTA Taiwan,290
121692144530435,Discovery頻道,Discovery頻道,229
108465872157182,亞細亞精準數據,亞細亞精準數據,216
1547614165384988,QuickseeK快析輿情資料庫,QuickseeK快析輿情資料庫,138
113021403762187,法律協會-債務協商 更生 清算 -全台服務,傢宇 吳,133
286487218798,遠見雜誌,遠見雜誌,126
104958309091106,曹興誠  八不居士,曹興誠  八不居士,125
136185963597716,Cheap,Cheap,≤100
449156429152075,麻吉理財顧問公司,黃詩凭,≤100
109462390640602,企業勞動法務管理顧問-勞動契約、勞資爭議、勞務健檢、教育訓練、法律事務、法律風險控管,芸廷 林,≤100
124473380937123,勵馨基金會 The Garden of Hope Foundation,勵馨基金會 The Garden of Hope Foundation,≤100
100269158455411,Wh偉鴻金融貸款中心,傢宇 吳,≤100
101297638763256,識媒體,識媒體,≤100
467933563234921,南門書局-網路圖書名店、也有實體店面，誠信可靠！,玉河 孫,≤100
102046048924214,Alpha plus - 人才加速器,Alpha plus - 人才加速器,≤100
158025223269,今周刊,今周刊,≤100
106801464127093,目目非營利 MUVE NPO,目目非營利,≤100
211730475524462,大陸委員會,大陸委員會,≤100
219315794887869,聯合報,聯合報股份有限公司,≤100
108696572024879,民視佮你講（Bîn-sī kah lí kóng）,民視新聞,≤100
241284961029,udn.com 聯合新聞網,udn.com 聯合新聞網,≤100
201785650801,亞洲大學(Asia University Taiwan),亞洲大學,≤100
177161918975981,基督教芥菜種會,基督教芥菜種會,≤100
171759036215066,創世紀不動產教育訓練中心,Micky  Wu,≤100
175549807657,台達基金會,台達基金會,≤100
113988264929657,Yp,育璞林,≤100
219315794887869,聯合報,聯合報,≤100
246324992373019,傅崐萁,Evonne Hu,≤100
235679595900,民視新聞,民視新聞,≤100
1921016244677218,國際橋牌社 Island Nation,國際橋牌社 Island Nation,≤100
101355918337667,地天泰國際顧問有限公司,地天泰國際顧問有限公司,≤100
208963391067,哈佛商業評論,哈佛商業評論,≤100
101629185999930,永安理財專員-花花,永安理財專員-花花,≤100
335544036485779,經濟部,經濟部,≤100
105692292105892,黃士修,Shih-Hsiu Huang,≤100
791870507594526,利樂創新界,利樂創新界,≤100
1649523455281990,遠山呼喚,遠山呼喚國際貧童教育組織,≤100
1855418728011324,鏡週刊,鏡週刊,≤100
1494980514073617,故事 StoryStudio,故事：寫給所有人的歷史,≤100
1743825042576235,楊文科,楊文科,≤100
810120492410745,全國教育產業總工會,全國教育產業總工會,≤100
106118168971467,債務人權益協會 扣薪 協商 更生 清算,傢宇 吳,≤100
1847777185521418,放言 Fount Media,放言科技傳媒股份有限公司,≤100
112570843421623,社團法人台灣你不是一個人實踐協會,柏岑 葉,≤100
104193848228778,PointLife點生活,PointLife點生活,≤100
1649151078446134,卓冠廷,冠廷卓,≤100
