Page ID,Page name,Disclaimer,Amount spent (TWD)
102176019266829,My Home Page,These ads ran without a disclaimer,9055
238507146264909,國際特赦組織 台灣分會 Amnesty International Taiwan,國際特赦組織 台灣分會 Amnesty International Taiwan,7282
148475335184300,Greenpeace 綠色和平 (台灣網站),Greenpeace 綠色和平 (台灣網站),5265
286487218798,遠見雜誌,遠見雜誌,3974
693907914395620,良杯製所 Oolab,良杯製所 Oolab,3757
105556085524776,Twpca-台灣野良犬照護協會,Twpca-台灣野良犬照護協會,3676
277223962685223,Nespresso.TWN,Nespresso.TWN,2178
248954465174600,TOYOTA Taiwan,TOYOTA Taiwan,1322
136185963597716,Cheap,Cheap,1286
106801464127093,目目非營利 MUVE NPO,目目非營利,1285
231202420952272,新北市議員 廖先翔,先翔 廖,1238
104958309091106,曹興誠  八不居士,曹興誠  八不居士,1047
186593071836,商業周刊（商周.com）,商業周刊（商周.com）,974
121692144530435,Discovery頻道,Discovery頻道,904
241284961029,udn.com 聯合新聞網,udn.com 聯合新聞網,832
177161918975981,基督教芥菜種會,基督教芥菜種會,813
569626243213799,生鮮時書,生鮮時書,799
664175463714845,50+：用新的方法，創造自己的理想老後,50＋好好：用新的方法，創造自己的理想老後,719
285691048228640,新北市議員 劉哲彰,怡文 王,689
102046048924214,Alpha plus - 人才加速器,Alpha plus - 人才加速器,675
467933563234921,南門書局-網路圖書名店、也有實體店面，誠信可靠！,玉河 孫,602
189061482332,張嘉郡,嘉郡張,591
113021403762187,法律協會-債務協商 更生 清算 -全台服務,傢宇 吳,536
100577892931090,台灣新聞 HD,These ads ran without a disclaimer,518
219315794887869,聯合報,聯合報股份有限公司,507
171759036215066,創世紀不動產教育訓練中心,Micky  Wu,466
1649523455281990,遠山呼喚,遠山呼喚國際貧童教育組織,430
201785650801,亞洲大學(Asia University Taiwan),亞洲大學,398
211730475524462,大陸委員會,大陸委員會,389
170417986326226,微笑台灣319鄉+,微笑台灣319鄉+,376
235679595900,民視新聞,民視新聞,357
1537741526464370,桃園市議長邱奕勝,奕勝 邱,351
113988264929657,Yp,育璞林,333
104013138750678,翁震州,震州 翁,314
100714476220256,永續金融先行者聯盟,永續金融先行者聯盟,314
109248241645378,擎天峰和,These ads ran without a disclaimer,311
1921016244677218,國際橋牌社 Island Nation,國際橋牌社 Island Nation,296
175549807657,台達基金會,台達基金會,284
104624290080479,張育美,翊斌黃,265
108696572024879,民視佮你講（Bîn-sī kah lí kóng）,民視新聞,243
101355918337667,地天泰國際顧問有限公司,地天泰國際顧問有限公司,242
114922313713078,科達建築,科達建築,235
221323424616286,吳祥輝 Brian Wu,吳祥輝,231
456170574528072,蘇巧慧,蘇巧慧,229
105755991667201,女神在線 Venus Online,女神在線,223
158025223269,今周刊,今周刊,214
327941870899267,元智大學 i Life,元智大學 i Life,214
372758919522743,PREMIUM BANDAI Taiwan,These ads ran without a disclaimer,203
1680942122167263,Schneider Electric,品瑄 黃,202
1547614165384988,QuickseeK快析輿情資料庫,QuickseeK快析輿情資料庫,192
124473380937123,勵馨基金會 The Garden of Hope Foundation,勵馨基金會 The Garden of Hope Foundation,189
1847777185521418,放言 Fount Media,放言科技傳媒股份有限公司,184
1649151078446134,卓冠廷,冠廷卓,180
127628276929,天下雜誌,天下雜誌,178
246324992373019,傅崐萁,Evonne Hu,163
335544036485779,經濟部,經濟部,160
436843193180529,Unipapa,Unipapa,154
390569611008641,願景工程基金會 Vision Project,願景工程基金會,138
791870507594526,利樂創新界,利樂創新界,121
1206024742797005,UBI Taiwan 台灣無條件基本收入協會,聖惟王,121
105692292105892,黃士修,Shih-Hsiu Huang,112
190684970959969,宜蘭綠色博覽會,堃廉崔,109
188358792124,聯經出版,聯經出版,109
1487218698275407,南門書局二店-網路特價書店-也有實體店面，價格親民，誠信可靠的老店。（師友文化）,玉河 孫,106
1659728604312270,台泥企業團,台泥,106
104640252092334,許瑞宏  宏觀思維,許瑞宏,104
106265361106594,海鼎離岸風電計畫 Formosa III,毛潔瑜,≤100
164483516927300,張景嵐,張景嵐,≤100
138654461200,康健雜誌,康健雜誌,≤100
101440729109825,吳旭豐,吳旭豐,≤100
149528525248173,富邦人壽是怎young,These ads ran without a disclaimer,≤100
103219662752527,中醫世家-Z,These ads ran without a disclaimer,≤100
188311137478,中時新聞網,時報資訊,≤100
104193848228778,PointLife點生活,PointLife點生活,≤100
237483602952352,黃適卓,適卓 黃,≤100
131410820262008,宏其婦幼醫院,宏其婦幼醫院,≤100
1629474157289221,小牛頓,小牛頓科學教育有限公司,≤100
2505711192835704,安心貸-貸款理財專家,黃詩凭,≤100
102475659251313,蘇婉真,蘇婉真,≤100
103141681121150,城市學,遠見雜誌,≤100
1855418728011324,鏡週刊,鏡週刊,≤100
290769701616159,2020國際海報徵選,2020國際海報徵選,≤100
139659093185084,林杏兒 台北市議員,杏兒 林,≤100
215213505975,FUNDAY英語教育,FUNDAY英語教育,≤100
1610174722594689,鍾易仲  高雄市議員,鍾易仲,≤100
743100072477291,台中市議員何文海,文海 何,≤100
2290806454495023,Mangodan芒菓丹,澤嵐 林,≤100
1743825042576235,楊文科,楊文科,≤100
100216765069813,唐平榮 執行長的人生甘味廚房,唐平榮 執行長的人生甘味廚房,≤100
449156429152075,麻吉理財顧問公司,黃詩凭,≤100
679518422104905,民視全球新聞,民視新聞,≤100
180516279238465,桃園市立美術館 Taoyuan Museum of Fine Arts,桃園市立美術館 Taoyuan Museum of Fine Arts,≤100
148513668543221,地球公民基金會,地球公民基金會,≤100
101629185999930,永安理財專員-花花,永安理財專員-花花,≤100
103993244913942,Milly & Sissy 台灣,Stephanie Hsu,≤100
481065478629613,The News Lens 關鍵評論網,The News Lens 關鍵評論網,≤100
158723167479444,再生能源資訊網,再生能源資訊網,≤100
191690867518507,江啟臣,江啟臣,≤100
103916742589806,你聽我說哦,你聽我說哦,≤100
103469901828540,挖貝 WaBay,挖貝 WaBay,≤100
226660410787355,民視體育新聞,民視新聞,≤100
110025324004870,知事官邸生活館,These ads ran without a disclaimer,≤100
126494184177642,大師房屋－國際事業部,These ads ran without a disclaimer,≤100
105957556179860,遠雄人壽Hold生活,遠雄人壽Hold生活,≤100
354149841356884,哈本咖啡 Happen Coffee,林奕丞,≤100
239512030682497,第一手星聞,民視新聞,≤100
126361734041343,鳳凰國際公關顧問有限公司,志傑 邵,≤100
107061308725353,京華廣場頂級商辦園區,These ads ran without a disclaimer,≤100
112571907179969,玩霸教育,思揚 蘇,≤100
546919432374583,台灣三井不動產－投資顧問部,緻霖高,≤100
872742159541735,財團法人台灣中小企業聯合輔導基金會,These ads ran without a disclaimer,≤100
107162861090654,法律協會-前置協商  更生 清算  免費諮詢,Yaya Lin,≤100
1025786357451330,"范雲  FAN, Yun","范雲  FAN, Yun",≤100
121504021252255,台灣金融研訓院,台灣金融研訓院,≤100
1621835121361449,陳超明-阿明哥粉絲團,超明 陳,≤100
469433823136537,CSRone永續觀點,CSRone永續觀點,≤100
276861822357066,高金素梅(吉娃斯．阿麗),智葟 陳,≤100
159425621565,Inside 硬塞的網路趨勢觀察,The News Lens 關鍵評論網,≤100
125534862174582,法律萬狀通-書狀生成,法律萬狀通-書狀生成,≤100
101812532622958,日本Jmaaメディカル居家保健芳療協會,日本Jmaaメディカル居家保健芳療協會,≤100
327295254323344,基隆市議員-何淑萍,基隆市議員-何淑萍,≤100
201107280815936,潔淨學-不咬手潔淨體貼,永勝 許,≤100
