Page ID,Page name,Disclaimer,Amount spent (EUR)
1685967391532260,Artūrs Butāns,Nacionālā Apvienība,≤100
101973961586848,Nacionālā Apvienība Dienvidkurzemē,Nacionālā apvienība,≤100
1839476629666269,Raivis Dzintars,Nacionālā apvienība,≤100
212485185449074,Nil Ushakov,"Nils Ušakovs, MEP, Socialists & Democrats Group",≤100
128048127265711,Satori,Satori,≤100
111555920384785,Bufete,Bufete,≤100
142254092456168,TVNET,TVNET,≤100
270474076412955,Ģimenes studija,Latvijas Radio,≤100
176171459061779,RUS TVNET,TVNET,≤100
326333184059682,TV3 Ziņas,TV3 Ziņas,≤100
1545606205726717,Bez Tabu,TV3 Group,≤100
147547541961576,Council of the European Union,Council of the European Union,≤100
595950207185585,Konservatīvie,KONSERVATĪVIE,≤100
103230686391678,www.ir.lv,www.ir.lv,≤100
178362315106,European Parliament,European Parliament,≤100
524714174238878,Finanšu ministrija,Finanšu ministrija,≤100
357025627668875,SEB Latvija,SEB Latvia,≤100
313299475456889,iepirkumi.lv,"SIA ""Libera""",≤100
158021020892930,Apollo.lv,TVNET,≤100
1895782043985643,Zaļo un Zemnieku savienība,ZZS,≤100
107898832590939,European Commission,European Commission,≤100
1510481199097449,Miks Celmiņš,"Kustība ""Par!""",≤100
1813086558946660,Kustība Par,"Kustība ""Par!""",≤100
1014461302014447,Degpunktā,TV3 Group,≤100
246477898857961,tv3.lv,tv3.lv,≤100
646580578713705,TV3 Play Latvija,TV3 Play Latvija,≤100
203733280310341,Gatis Eglītis,KONSERVATĪVIE,≤100
117059818306039,Latvijas Radio,Latvijas Radio,≤100
102294959367382,Arnolds Libeks un Raimonds Rublovskis,Arnolds Libeks un Raimonds Rublovskis,≤100
660016677346773,Zaļā brīvība,"Biedrība ""Zaļā brīvība""",≤100
151387284904438,Jauns.lv,These ads ran without a disclaimer,≤100
181680358843678,Latvijas Jurisprudences speciālistu un ekspertu asociācija,Vilors Eihmanis,≤100
144709575593854,EESC - European Economic and Social Committee,EESC - European Economic and Social Committee,≤100
80161254850,European Youth Forum,These ads ran without a disclaimer,≤100
101653285444113,SK텔레콤 뉴스룸,These ads ran without a disclaimer,≤100
111040628633702,TSL 1,These ads ran without a disclaimer,≤100
100374392742057,Weregreenly- Magazine,These ads ran without a disclaimer,≤100
102668075081968,"Фонд премии ""Генезис""",These ads ran without a disclaimer,≤100
