Page ID,Page name,Disclaimer,Amount spent (COP)
108233262091178,David Islem R,David Islem R,453302
391099551688976,Manuel Correa,Manuel Correa,153342
103848281985172,Mauricio Londoño,Mauricio Londoño,79422
2158318667815480,Nancy Henao Ruiz,Nancy Concejal Verde,40551
381403022031226,Steven Cárdenas,Reynaldo Steven Cardenas Espinosaespinosa,23858
645168172181457,Gobernación de Caldas,Eikon Digital SAS,18288
597006313643580,Gobernación del Valle del Cauca,Gobernación Valle del Cauca,8938
111310940455631,Alex López,Alex López,6879
301364506594738,Cumbre Mundial de Comunicación Política,Cumbre Mundial de Comunicación Política,6076
102382772020688,Inspenet,These ads ran without a disclaimer,4630
370492339735164,Centro Democrático - Comunidad Oficial,Centro Democrático - Comunidad Oficial,3293
116836247966846,Luis Fernando Suárez Gobernador,Luis Fernando Suárez Gobernador,3107
167222580002790,Clara Luz Roldan Gonzalez,Clara Luz Roldán,2531
859664117498334,Martha Alzate,Martha Alzate,2373
109799108388155,El Cuarto Poder,El Cuarto Poder,2368
103833791361048,El Legado de Álvaro Uribe Vélez,Centro Democrático - Comunidad Oficial,2166
1147318942107929,Todos Somos Una,DEBRAIN LLC,1875
112155252163421,Sebastián López V.,Sebastian Lopez Valencia,1521
104328067049129,Niñez YA - Sociedad civil por la niñez y la adolescencia,NiñezYA - Sociedad civil por la niñez y la adolescencia,1386
1932128560179258,Luisa Fernanda,Luisa Fernanda,1384
1832438050403942,Amin Losada,Waidi Mesa Losada,1337
105848177845789,All Out en español,All Out Action Fund,1231
1519510178128827,Carlos Andrés Hernández Zuluaga,Carlos Andrés Hernández Zuluaga,1127
101192158762604,DASTE,DASTE,1123
108202298520665,LaDigital.co,La Digital,1028
109023772053741,Movil Consultores Academy,Movil Consultores Academy,967
179003239458192,Jorge Humberto Rangel,Jorge Rangel,953
1465646276779035,Los Secretos Judíos,These ads ran without a disclaimer,913
1519006894853848,El Quindiano,EL QUINDIANO SAS,765
1648417351861251,Cristian Mestra,Cristian Mestra,709
581095835894514,Noticentro 1 CM&,Noticentro 1 CM&,657
1529335724037224,Aeropuerto del Café,INTUAL,638
107096255516225,Juan Pablo Cano P,Juan Pablo Cano Pulgarin,636
184350595671778,Innopolítica,Santiago Gutierrez Murillo,617
1823807254333065,Soy Más País,Soy Mas Pais,549
101046256286876,Antimilitantes,Linea Cero,543
103594381850234,"William Díaz ""pollito""",William Díaz Giraldo,540
170459019785694,Secretaría de las Mujeres de Antioquia,Secretaría de las Mujeres de Antioquia,536
102368071158002,Solis Latam,These ads ran without a disclaimer,514
1059459884138781,Mauricio Tobón Franco.,Mauricio Tobón Franco,486
190649367660431,Orlando Benítez,Orlando David Benitez Mora,431
53177129367,Dilian Francisca Toro Torres,Dilian Francisca Toro,403
765302097170348,Línea Cero,Linea Cero,362
102143071616787,Goberna Colombia,Goberna,299
106083021215996,Todos por Medellín,Todos por Medellín,289
102199985597353,Óscar Andrés Sánchez Á.,These ads ran without a disclaimer,269
143677842632724,Alejandro Fúneme,Alejandro Fúneme,261
103445938692040,Sebastián Morales,Sebastian Morales,215
170276379775886,Instituto de Ciencia Política Hernán Echavarría Olózaga,Instituto de Ciencia Política Hernán Echavarría Olózaga (ICP),172
122989028111811,Alexander Ruiz,Edgar Alexander Ruiz Garcia,166
106640878493249,Omar Marín Reyes,Omar Marin Reyes,153
2068245743232990,Cesar Augusto Guzman,Cesar Augusto Guzman,133
1482897701997453,Paloma Valencia,Paloma Valencia,122
106422131485518,Harbey Hurtado Guerrero,Jose Harbey Hurtado Guerrero,109
162949777243451,Andrés Julián,Andrés Julián Rendon,≤100
569978373130700,Andrés Lizarralde Henao,Andrés Lizarralde Henao,≤100
101188681678160,Salomon Figueroa,Salomon Figueroa,≤100
423124458019519,Café Y Petróleo,Café Y Petróleo,≤100
119601731104438,Felix Cruz Garcia,Eliecer Cruz Rojas,≤100
108645047158622,Manuel Chimá Alba Fans,Manuel Chimá Alba,≤100
101170393279528,Rodrigo Villalba Mosquera,Martha Diaz,≤100
101628762612327,Secretaría de Gobierno de Pasto,Secretaría de Gobierno de Pasto,≤100
108637132149790,Jaime Antonio Villa,Jaime Antonio Villa Hernandez,≤100
299529787381857,Manu Victoria el 13,These ads ran without a disclaimer,≤100
1400280116941194,Fabian Diaz,Fabian Diaz,≤100
643513979193133,Justicia para Beatriz,Neuma,≤100
104575245899789,Sofia Gómez Cabrera,Maria Camila Medina Guerrero,≤100
526721521052053,Juan Carlos Wills Ospina,Juan Carlos Wills Ospina,≤100
1670687776515651,Tachi Nieto,Tachi Nieto,≤100
117050711322214,María Paola Álvarez,Maria Paola Alvarez Puerta,≤100
194315573916010,Norma Hurtado Sanchez,Norma Hurtado Sánchez,≤100
1815626541807349,Agencia de Periodismo Investigativo,Norbey Quevedo Hernandez,≤100
107204794960194,Instituto Técnico La Salle,Instituto Técnico La Salle,≤100
994154957311674,Eliécer Arteaga Vargas,Eliecer Arteaga Vargas,≤100
107931315531505,Camilo Pinza,Camilo Pinza,≤100
987563698019371,Duván Murillo Diputado,Duvan Murillo,≤100
148475051852754,Rockefeller Foundation,These ads ran without a disclaimer,≤100
111542721915368,Naturalmente bella,These ads ran without a disclaimer,≤100
116322684714112,Juan_ADS,These ads ran without a disclaimer,≤100
287842647957979,EU International Partnerships,These ads ran without a disclaimer,≤100
747673235359656,Moisés Goiz,These ads ran without a disclaimer,≤100
816566945032674,Papumba,These ads ran without a disclaimer,≤100
