Page ID,Page name,Disclaimer,Amount spent (ARS)
114364621598017,Vamos San Juan,Vamos San Juan,50488
138406616275954,Marcelo Orrego,Producción y Trabajo,46950
112200072188893,Eduardo Cáceres,Eduardo Cáceres,44802
102858281496444,Argentinos hoy,Argentinos hoy,21960
1064807416890278,Emilio Baistrocchi,Emilio Baistrocchi,21870
107252148848573,Eduardo Cáceres,Eduardo Cáceres,13827
131381938371647,Corta La Bocha Noticias,Corta La Bocha,12734
106560742263098,Noticias El Portal,Noticias El Portal,11313
100975902971250,La Libertad Avanza en San Juan,La Libertad Avanza en San Juan,10617
1414772295433829,Carlos Munisaga,Somos Rawson,10344
398675146900419,José Luis Gioja,SAN JUAN POR TODOS,10200
103948405867129,El Confidencial Noticias,El Confidencial Noticias,9694
114466054858948,Eduardo Cerimedo,Eduardo Cerimedo,9029
107631983989726,Argentina Federal,Argentina Federal,7763
111600998225620,Noticias Zero,Noticias Zero,7515
1173314802698852,Gabriel Castro,Gabriel Castro,7040
113395874909201,Punto Noticias,Punto Noticias Web,6958
103371005775934,Carlos Lorenzo,Carlos Lorenzo,6910
699758330894365,Actualidad Argentina,Actualidad Argentina,6754
101084180600854,Juan Jose Orrego,Juan Jose Orrego,6316
381606528676792,Capital San Juan,Capital San Juan,6116
604575512919532,Cristian  Andino,Cristian  Andino,5958
59772763998,Mauricio Ibarra,Eduardo Mauricio Ibarra,5873
109819601940472,Eduardo Camus,Eduardo Camus,5804
1996821287271445,Marcelo Arancibia,Marcelo Arancibia,5715
103041002026373,Raul Ibaceta,Rauljesus  Ibaceta,5438
100932749306130,Noticias Andinas,Noticias Andinas,4745
105207265845422,Sebastian Carbajal,Sebastián Carbajal,4449
101124492234921,Rodrigo Galván,Rodrigo Alberto Galvan Fernandez,4349
274062822714291,Sergio Uñac,Servicio informativo Gobierno de San Juan,4306
102187456039094,Enterate Ya,Enterate Ya!,4235
103774184778864,Alejandra Venerando,Alejandra Venerando,4193
129799846687423,Levantémonos,Levantemonos,4063
886667964679142,Fabián Gramajo,Fabián Gramajo,3819
628498977777284,El Continental,Periodico El Continental,3726
110276628358382,El Autónomo,El Autónomo,3640
105243845864345,Dr. Ricardo Valdez Garcia,These ads ran without a disclaimer,3033
147542145441233,Rodolfo Colombo,Rodolfo Guillermo Colombo,2845
105021265448275,Alberto Hensel,Alberto Hensel,2783
765662933605449,Fabian Aballay,Nestor Fabian Aballay,2727
1759332011020864,Facundo Perrone Bode,Facundo Perrone Bode,2600
113288233452533,Nancy Picón,Nancy Picón,2525
100681731401241,Ramiro Fernandez Farran,Ramiro Fernandez Farran,2500
117706401262165,Sebastián Bernardini,Orlando Sebastian Domingo Bernardini Squartini,2437
103048591208756,Daniela Rodríguez de Gramajo,Daniela Rodríguez,2137
1466924390221774,Lucio Gonzalez,Lucio Gonzalez,2131
101342586037212,Republicanos Unidos  SJ,Maria Belen Varela,2062
181731659317346,Rubén García,Rubén García,1962
111424165032805,Fabiana Carrizo,Fabiana Carrizo,1783
1600611986887238,Martin Sassul,Martin Sassul,1758
100120102809604,Jose Antonio Bernal,Jose Antonio Bernal,1694
601094853743555,Silvina Elizondo,Silvina Elizondo,1543
233826440281987,Ministerio de Gobierno,Ministerio de Gobierno,1284
110673408360783,Seciti,"Secretaría de Ciencia, Tecnología e Innovación",1279
755993527765325,Franco Aranda,Franco Aranda,1265
100238346340967,Informativo Global,Informativo Global,1192
100667016334931,Nelson López,Nelson Lopez Schvartz,1188
104046341137293,Panorama Pais,Panorama Pais,1168
104505749273119,Miguel Fernandez Valle Fértil,Marcelo Lara,1122
879513872091792,Romina Rosas,Romina Rosas,1102
111397701828101,Sergio Vallejos,Sergio Guillermo Vallejos Mini,1094
101734714847563,Emanuel Castro Perez,Erik Emanuel Castro,1043
107345009001730,Juan Pablo Teja Godoy,Juan Pablo Teja Godoy,1039
102084172824380,David Mortensen,Nelson David Mortensen,967
113686738612,Gobierno de la Ciudad de Buenos Aires,Gobierno de la Ciudad de Buenos Aires,957
269046910510084,Silvana Gonzalez,Mirta Silvana Gonzalez,954
61279025897,Gerardo Morales,Gobierno De Jujuy,942
103906831909733,Luciana Cuk,Acción San Juan,903
106436675746097,vicentemut.ok,Marcelo Lara,855
273099844560,Laura Garcés,Lauira Eugenia Garces,765
453252135056007,Partido Obrero San Juan - en el Frente de Izquierda,Frente de Izquierda,746
119198871133312,José Luis Flaco Furió,Jose Luis Flaco Furió,744
112271611780635,Agustín Ramírez,Frente Desarollo y Libertad,743
126008370393673,Marcelo García,Marcelo Ramon Garcia,729
164548264112013,Alejandro Riveros,Alejandro Riveros,715
113956666672324,Gerardo Torrent Cuart,Gerardo Torrent,682
105933872199149,Mística,Mística,597
793493827424692,Mauricio Camacho,Mauricio Camacho,557
104417732484057,El Independiente Noticias,El Independiente,546
109098788145750,Joel Chato Gomez,Joel Chato Gomez,531
107103051067583,Mario Gaitán,Mario Ramon Gaitan,528
101268092728725,Federico Caroprese,Federico Caroprese,483
532928877191659,Frente Desarrollo y Libertad,Frente Desarrollo y Libertad,452
301506776559902,Gobierno de Córdoba,Gobierno de Córdoba,386
105832075781515,Fernando Mini,Fernando Mini,319
105824184615419,Dossier San Juan,Dossier San Juan,317
937170819707179,Municipalidad de la Ciudad de Santa Lucía,Prensa Santa Lucia,312
116080808096360,Johanna Rios,Johanna Rios,310
111314158611789,Defendamos Lo Nuestro,Defendamos al Campo,302
940518472631584,José Castro,José Castro,300
104101322647646,Carlos Gómez,Carlos Gomez,300
591630090979869,Miguel Arancibia,Miguel Humberto Arancibia,279
112356398457428,Benyi Boss 2023,Benyi Boss 2023,277
958750317533178,Manuela Castañeira,Nuevo MAS,272
107025685648031,Jose Icazatti,Jose Icazatti,259
367089004808,Amnistía Internacional Argentina,Amnistía Internacional Argentina,258
102554832757880,Melisa llanos 2023,Rosario Araya,224
120267817707434,Mauricio Rojo,Mauricio Alberto Rojo Pellarin,223
342991135813921,Daniel Molina,These ads ran without a disclaimer,208
113867418314253,Ana Sofia Carmona,Ana Sofia Carmona,195
101996084777901,Mariela Belski,Mariela Belski,193
103089175644566,DANY OCHOA 2023,DANY OCHOA 2023,167
119930211043224,Pablo Rafael Soto,Pablo Rafael Soto,166
119642601078605,Fabian Moran,Fabian Moran,163
101594852755793,El Bonaerense,El Bonaerense,157
1605180749766737,Sergio Miodowsky,Sergio David Miodowsky,132
102007812840437,Jóvenes con Wado,Jóvenes con Wado,131
104147274759706,Periodismo de Izquierda,Periodismo de Izquierda,127
119742904372995,Elena Bologna,Elena Bologna,120
109554821547169,CPC Jardín MuniCba,municipalidad de córdoba,108
