Page ID,Page name,Disclaimer,Amount spent (COP)
131753023639902,Aldemar Alfaro,Aldemar Alfaro Rivero,148087
478903375611415,Jairo Barona,Fabian Medina,15392
175346789490397,Peyi Paternina,Peyi Paternina,11316
110678160534214,Magde Mogollón,Magde Mogollón,6271
100657948433952,"Medico, Jorge Alvarez Barreto","Medico, Jorge Alvarez Barreto",4709
969143216462972,Felipe Cañizalez,Andreina Quintero Correa,4639
2058053604439707,Stiebel Eltron América Latina,These ads ran without a disclaimer,4630
104328067049129,Niñez YA - Sociedad civil por la niñez y la adolescencia,NiñezYA - Sociedad civil por la niñez y la adolescencia,4301
301364506594738,Cumbre Mundial de Comunicación Política,Cumbre Mundial de Comunicación Política,4215
370492339735164,Centro Democrático - Comunidad Oficial,Centro Democrático - Comunidad Oficial,2936
112155252163421,Sebastián López V.,Sebastian Lopez Valencia,1747
105109280969000,Agencia Axioma,Agencia Axioma,1728
102143071616787,Goberna Colombia,Goberna,1670
96595416468,Lilia Solano,Lilia Solano,1564
1147318942107929,Todos Somos Una,DEBRAIN LLC,1307
190649367660431,Orlando Benítez,Orlando David Benitez Mora,1278
109023772053741,Movil Consultores Academy,Movil Consultores Academy,1269
1857540077811459,Movilizatorio,Movilizatorio,927
101192158762604,DASTE,DASTE,847
1482897701997453,Paloma Valencia,Paloma Valencia,841
100704789601253,Diana Osorio Bernal,Diana Yaneth Osorio Bernal,493
108437275009116,nicolashrr,These ads ran without a disclaimer,473
117050711322214,María Paola Álvarez,Maria Paola Alvarez Puerta,456
184350595671778,Innopolítica,Santiago Gutierrez Murillo,451
1400280116941194,Fabian Diaz,Fabian Diaz,439
106136432263487,Fabian Naranjo,These ads ran without a disclaimer,438
100351841692214,Coronel Jorge Gallego,Coronel Jorge Gallego,398
765302097170348,Línea Cero,Linea Cero,382
106640878493249,Omar Marín Reyes,Omar Marin Reyes,378
1823807254333065,Soy Más País,Soy Mas Pais,366
101046256286876,Antimilitantes,Linea Cero,330
105848177845789,All Out en español,All Out Action Fund,327
103833791361048,El Legado de Álvaro Uribe Vélez,Centro Democrático - Comunidad Oficial,325
179003239458192,Jorge Humberto Rangel,Jorge Rangel,318
108637132149790,Jaime Antonio Villa,Jaime Antonio Villa Hernandez,312
105342318780721,efrainecheverryconcejal,These ads ran without a disclaimer,309
416201871913815,Adolfo Romero,Adolfo Romero,287
642444715922915,Abogadoscucuta,These ads ran without a disclaimer,279
119601731104438,Felix Cruz Garcia,Eliecer Cruz Rojas,278
106422131485518,Harbey Hurtado Guerrero,Jose Harbey Hurtado Guerrero,266
1529335724037224,Aeropuerto del Café,INTUAL,262
103445938692040,Sebastián Morales,Sebastian Morales,262
194315573916010,Norma Hurtado Sanchez,Norma Hurtado Sánchez,249
143057523068134,Jorge Camacho,Jorge Camacho,235
569978373130700,Andrés Lizarralde Henao,Andrés Lizarralde Henao,219
1319410371405224,Marketing Político,Mauricio Florez-Morris,203
1670687776515651,Tachi Nieto,Tachi Nieto,195
581095835894514,Noticentro 1 CM&,Noticentro 1 CM&,190
1815626541807349,Agencia de Periodismo Investigativo,Norbey Quevedo Hernandez,133
103596816009903,Voy con Leo,Voy con Leo,108
170276379775886,Instituto de Ciencia Política Hernán Echavarría Olózaga,Instituto de Ciencia Política Hernán Echavarría Olózaga (ICP),105
102662241104783,Toño Vargas - #5 - JuntosPodemos,Toño Vargas - #5 - JuntosPodemos,≤100
288171914629124,Alcaldía de Buenaventura,Alcaldía de Buenaventura,≤100
185965224778568,Diario Occidente,Nuevo Diario Occidente,≤100
106083021215996,Todos por Medellín,Todos por Medellín,≤100
100323598151326,MagisClick,MagisClick,≤100
2068245743232990,Cesar Augusto Guzman,Cesar Augusto Guzman,≤100
101188681678160,Salomon Figueroa,Salomon Figueroa,≤100
689737561361215,Mañe Mercado,Mañe Mercado,≤100
282609205261913,Soy Rico,These ads ran without a disclaimer,≤100
749177381856407,Camilo Calle,Camilo Calle,≤100
1896813010334035,Secretaría de Educación de Barranquilla,Secretaría de Educación de Barranquilla,≤100
103723022353836,Secretaría de Turismo de Antioquia,Secretaría de Turismo Antioquia,≤100
691374267635241,Armando Córdoba,Armando Córdoba,≤100
101871502791636,Carlos Acosta Juliao Oficial,Carlos Acosta Juliao Oficial,≤100
229025100447408,Carlos Alberto López,Carlos Alberto López,≤100
116801706827652,Mauricio Calderon,Mauricio Calderon,≤100
377334062304350,Secretaría de Educación de Bogotá,Secretaría de Educación de Bogotá,≤100
812165288875574,Jaime Pumarejo,Toro Digital 1972,≤100
146822255731958,Fast Travel Games,These ads ran without a disclaimer,≤100
63306224439,Trip.com,These ads ran without a disclaimer,≤100
774547935953940,Seafood Show,These ads ran without a disclaimer,≤100
255635931137563,FUNDASIL,These ads ran without a disclaimer,≤100
358442097543367,Materia,These ads ran without a disclaimer,≤100
389976681048925,ECMIA,These ads ran without a disclaimer,≤100
