Page ID,Page name,Disclaimer,Amount spent (IDR)
101350709331663,G24News.tv,Yayasan Golkar Institut SPKP,2962861
23383061178,Prabowo Subianto,indonesia Adil makmur,2651084
320858334728047,Partai Solidaritas Indonesia,Partai Solidaritas Indonesia,1576179
197545083607941,Harian Kompas,Harian Kompas,296362
103817945830465,Sobat Dito,Sobat Dito,294955
292939164731691,Relawan Herviano,Relawan Herviano,282815
338740510222539,"Rohmat Marzuki, S.Hut - Sarjana Kehutanan Mbangun Deso",Rohmat Marzuki,264636
111805655036485,Humas DPRD Pati,Aditya Rachmat Pamungkas,251372
401192283915,Partai Amanat Nasional - PAN,Partai Amanat Nasional,181453
104054595928021,Bakti Untuk Rakyat,Bakti Untuk Rakyat,176301
333711983956998,Erwin Aksa,Yayasan Golkar Institute SPKP,139856
882638978454921,Raja Juli Antoni,Raja Juli Antoni,125208
104899195891472,Berita Ganjar Pranowo,Ganjar Nusantara Indonesia,123063
101679818973699,Sahabat Ganjar Pranowo,John Kamnahas,115277
107451398732660,Teman Dito,Teman Dito,92543
104217932476562,Ali Badrudin,Aditya Rachmat Pamungkas,87808
104830667806476,Melihat Indonesia,Melihat Indonesia,84539
102656349157647,Tugimanisme,Tugimanisme,80127
100248349384577,Jateng Dukung Ganjar,Ganjar Nusantara Indonesia,78921
101403669397488,Nikmatul Sugiyarto,Septian Raharjo,66331
101355948222111,Golkar Indonesia,Golkar Indonesia,51078
103013484811323,Jangan Lupa Sejarah,John Kamnahas,49135
104549327891079,Dermawan,Frista Kurniasari,45769
1547369918837496,Zulkifli Hasan,Media Center PAN,45495
104830667806476,Melihat Indonesia,Ganjar Nusantara Indonesia,39975
110952238516382,Kiki Daliyo,Dwi Wantoro,34640
545307895803249,Handaledukasi,These ads ran without a disclaimer,27052
110865154735990,Koran Harian Tanah Air,Muhammad Miftakhunnaim,23033
112121101796090,Opini 2024,Opini 2024,22046
335546226915564,Generasi Melek Politik,Generasi Melek Politik,21739
103581752405141,Sobar Harahap,Sobar Harahap,21255
101760624522103,DPP Banteng Muda Indonesia,Farid Wahyudi,19396
101674375744514,Media Cuan,Ipta Apipah,19305
39253583478,PDI Perjuangan,Muhammad Miftakhunnaim,18548
109083348423534,Untuk Rakyat,Muhammad Miftakhunnaim,14870
101403669397488,Nikmatul Sugiyarto,Ganjar Nusantara Indonesia,12259
102656349157647,Tugimanisme,Ganjar Nusantara Indonesia,11381
103581752405141,Sobar Harahap,Ganjar Nusantara Indonesia,10701
173776079818775,Saiful Mujani,Saidiman,10264
110952238516382,Kiki Daliyo,Juniar Dwi Harianto,10106
110368964786452,Kemajuan Bersama,Muhammad Miftakhunnaim,8428
102626198026698,Rika Sudjiman,Juniar Dwi Harianto,8387
112121101796090,Opini 2024,Juniar Dwi Harianto,8334
1408188616062841,Sofitel Bali Nusa Dua,Sofitel Bali Nusa Dua Beach Resort,7710
1357693677594211,A Muhaimin Iskandar,Kebangkitan Bangsa,7209
316323706189,Bisnis.com,These ads ran without a disclaimer,6456
1376974779256826,Saiful Mujani Research and Consulting SMRC,Saidiman,5481
102497641558430,Indonesia Tolak HOAX,Muhammad Miftakhunnaim,5122
103411659195911,JIMAT,Arik Luviani Putri Yasa,4903
101076948451651,Masa Depan Kita,Muhammad Miftakhunnaim,4790
100359258525418,Pemulihan Lebih Baik,Muhammad Miftakhunnaim,4666
110100218339060,Wahai Ibu Pertiwi,Muhammad Miftakhunnaim,4608
108695584343029,Baik Untuk Kita,Muhammad Miftakhunnaim,4448
108571334357297,Melangkah Lebih Baik,Muhammad Miftakhunnaim,4394
102273039070802,Info Terkini,Muhammad Miftakhunnaim,4352
101403669397488,Nikmatul Sugiyarto,Juniar Dwi Harianto,4150
1824152721248355,Berita Kita,Berita Kita,3276
100879728277263,100 Juta Like Fans Berat Jokowi-Ahok,H. Dimjati,2404
1891131687577468,Mohamad Machbub,Mohamad Machbub,2384
170800756875453,Putra Production Yogyakarta,These ads ran without a disclaimer,1744
1524796867736498,ADA APA,These ads ran without a disclaimer,1726
104844282389488,Kelas Digital Marketing,Kelas Digital Marketing,1452
103326711651955,PT Medialab Indonesia,These ads ran without a disclaimer,1217
105333581077904,PT Pupuk Kaltim,PT Pupuk Kaltim,678
678421075696415,Giring Ganesha,Partai Solidaritas Indonesia,453
101844432575583,Kadek Arnata,These ads ran without a disclaimer,165
100615419601107,Simson Polin,Simson Polin,≤100
131189377574,MDPI,These ads ran without a disclaimer,≤100
