Page ID,Page name,Disclaimer,Amount spent (COP)
299469560099835,Alcaldía de Cali,Alcaldía de Cali,201
664142747350164,Tatiana López Saldarriaga,Tatiana López Saldarriaga,119
112155252163421,Sebastián López V.,Sebastian Lopez Valencia,≤100
105848177845789,All Out en español,All Out Action Fund,≤100
370492339735164,Centro Democrático - Comunidad Oficial,Centro Democrático - Comunidad Oficial,≤100
214167541938411,Juan Pablo Gallo,Juan Pablo Gallo,≤100
1147318942107929,Todos Somos Una,DEBRAIN LLC,≤100
1178880718791715,Yacha Inti Waira Colombia,These ads ran without a disclaimer,≤100
301364506594738,Cumbre Mundial de Comunicación Política,Cumbre Mundial de Comunicación Política,≤100
103461608916621,Claudia Carrasquilla,Claudia Carrasquilla,≤100
748326925215400,Periódico Centrópolis,Periódico Centrópolis,≤100
103833791361048,El Legado de Álvaro Uribe Vélez,Centro Democrático - Comunidad Oficial,≤100
179003239458192,Jorge Humberto Rangel,Jorge Rangel,≤100
170276379775886,Instituto de Ciencia Política Hernán Echavarría Olózaga,Instituto de Ciencia Política Hernán Echavarría Olózaga (ICP),≤100
1815626541807349,Agencia de Periodismo Investigativo,Norbey Quevedo Hernandez,≤100
1519006894853848,El Quindiano,EL QUINDIANO SAS,≤100
105847287857532,José Fernando Flórez,These ads ran without a disclaimer,≤100
175346789490397,Peyi Paternina,Peyi Paternina,≤100
1529335724037224,Aeropuerto del Café,INTUAL,≤100
319527888151975,Revista La Injusticia,Ronald Rangel,≤100
969143216462972,Felipe Cañizalez,Andreina Quintero Correa,≤100
100383352725236,Presentes,These ads ran without a disclaimer,≤100
775006305933828,Juan Manuel Martín Ocampo,Juan Manuel Martin Ocampo,≤100
105589235648992,Idolos,Digital Force,≤100
941293005965935,Jonny Portilla Confía Putumayo,Jonny Fernando Portilla Moncayo,≤100
