Page ID,Page name,Disclaimer,Amount spent (MXN)
1570126169927933,Delfina Gómez Álvarez,Delfina Gómez Álvarez,63526
112882117843391,Morena Estado de México,morenaedomex.si,18328
102863700463398,Pepe Couttolenc,Partido Verde EDOMEX,10604
451310051622713,Alejandra Del Moral Vela,Alejandra Del Moral Vela,5145
111722858536644,Al Frente por Edomex,Al Frente por Edomex,4733
124631600949535,Yo Influyo,Yoxmex,4716
114024430364416,YoXmx,Yoxmex,3924
105027052550887,Coordenada,Coordenada Noticias,3323
117021274685366,Futuro FEM,FEM MEDIA,3255
114814831508121,EdoMex al instante,EdoMex al instant,3179
117676694619099,Sala Capitalina,Sala Capitalina Media,2753
103747299357893,Mario Delgado Fans,Grupo Delgado Fans,2664
112835865095974,¿Cómo vamos MX?,Como vamos,2554
115027021469288,Revista Transformación,Revista Transformación,2191
117455491307964,Al Día,Al Dia Media,2089
104680124489636,Demoscopia Digital,Demoscopia Digital,2069
122154061801959,Colectivo Mujeres Cabeza de Familia,Yoxmex,1984
536886746673043,Jóvenes MX,Yoxmex,1860
115717988149542,DelfiNo,Resonancia EdoMEx,1648
56713285274,Greenpeace México,Greenpeace México,1333
281125785691978,Saber Votar,Angel Alfredo Solis Lugo,1311
461361317209089,Elecciones Limpias EdoMex.,Elecciones Limpias Edoméx,1262
381985873573,Partido de la Revolución Democrática PRD,Partido de la Revolución Democrática,1080
358251195195574,Tony Metepec,Antony Addir Ortega Salazar,1022
112241301833890,Acción Morenista,Grupo ACC Morena,990
265938437673601,Yo Soy Mi Planeta,Yoxmex,933
109730735428359,El Anti,El AP,902
114664004869557,Reporte EdoMex,Reporte Edomex,887
543830382749706,Compromiso Social Mx,Compromiso Social Mx,885
108737448471399,Altavoz Web,Altavoz Web,778
116513358016500,Transparencia Ciudadana,Ciudadanos,777
105121875731197,Consumidor Informado Mx,Consumidor Informado Mx,737
592495347619799,Mi familia es primero,Yoxmex,734
1175632059230164,Vuntu,Vuntu,706
48966795116,Amnistía Internacional México,Amnistía Internacional México,691
103330742206848,Hamlet Almaguer,Hamlet Almaguer,673
101356042883150,El Mexiquense,El Mexiquense,660
164373266931161,Máspormás,These ads ran without a disclaimer,634
458859544909547,DICES,DICES,625
106763384981876,La Prensa Mx,Maria Elena Reyes Garcia,625
923633637651202,Morena Sí,Morena Sí,619
101435299357501,Ahora #EsAdán,Con Adan Si,594
254852601222832,CEMEX México,CEMEX México,576
2330030160374237,Balance 24,Balance 24,566
803041666459797,Enrique de la Madrid,Enrique de la Madrid,534
511703009188988,Azucena Cisneros Coss,Azucena Cisneros Coss,517
34767149008,Tecnológico de Monterrey,Tecnológico de Monterrey,511
1220823957937555,Frente Nacional x la Familia,Frente Nacional x la Familia,499
186829918250,Ciudadanos en Red,Egresa Eventos y Turismo SA de CV,488
469246976533189,Santiago Creel,SantiagoCreelM,486
109634395756375,Save the Children México,Save the Children México,476
1520610478183053,Badabun,Vanessa Rivera,473
114011478301483,Institute for Obesity Research,Institute for Obesity Research,467
345995382241686,PODER 360,PODER 360,453
1522195418029530,Político MX,PolíticoMX,447
114158248252278,Convocatorias 2023,Convocatorias 2023,447
122404620204,Oxfam México,OXFAM MEXICO AC,390
395653280621495,OLV con los políticos,OLV con los políticos,386
133478060111915,CEMEX Impacto Social,CEMEX México,361
102551913153712,Ricardo Monreal A.,Ricardo Monreal Ávila,344
174058432636166,El Deforma,El Deforma,343
1614164462211249,Ecatepec Suena,Ecatepec Suena,322
303184083041100,Gobierno del Estado de Yucatán,Gobierno del Estado de Yucatán,318
421877377878288,Municipio de Querétaro,Municipio de Querétaro,312
108044694658598,Horizontes unión y participación para México,Horizontes unión y participación para México,311
129116715379616,La Lotería Del Pueblo,Hugo Junco Olvera,303
101267031439463,Voz de las Empresas,Consejo de la Comunicación,300
164183347562623,Denuncia México,euthenics,287
714752605293592,Daniel Camargo,Cuesiton de Polémica,284
1834107960160586,Marco A. Mendoza Bustamante,Marco Antonio Mendoza Bustamante,274
756397431107703,Omar Ortega Álvarez,Omar Ortega Álvarez,270
277380886249639,ExxonMobil México,"ExxonMobil México, S. A. de C. V.",258
640987292668055,Daniel Sibaja,Daniel Sibaja,256
101291102337749,Magisterio con Ale del Moral,Magisterio con Ale del Moral,252
493453457351145,Coparmex Nacional,Coparmex Nacional,234
