Page ID,Page name,Disclaimer,Amount spent (IDR)
23383061178,Prabowo Subianto,indonesia Adil makmur,176865
101350709331663,G24News.tv,Yayasan Golkar Institut SPKP,128969
112570091503539,GP Papua,Ganjar Nusantara Indonesia,92705
320858334728047,Partai Solidaritas Indonesia,Partai Solidaritas Indonesia,38404
104054595928021,Bakti Untuk Rakyat,Bakti Untuk Rakyat,32833
333711983956998,Erwin Aksa,Yayasan Golkar Institute SPKP,13036
111864151754055,Esensi TV,Esensi Tv,6578
143840239716746,Indozone.id,PT. INDOZONE MEDIA INDONESIA,5912
104844282389488,Kelas Digital Marketing,Kelas Digital Marketing,4732
197545083607941,Harian Kompas,Harian Kompas,3996
110980888642151,Twibbon April,These ads ran without a disclaimer,3612
101674375744514,Media Cuan,Ipta Apipah,2703
104549327891079,Dermawan,Frista Kurniasari,2032
335546226915564,Generasi Melek Politik,Generasi Melek Politik,2000
105078775340816,Satuan Tugas UU Cipta Kerja,Satuan Tugas UU Cipta Kerja,1597
110314634068233,Fadilah Bisnis,Fadilah Bisnis,1511
101679818973699,Sahabat Ganjar Pranowo,John Kamnahas,1143
101760624522103,DPP Banteng Muda Indonesia,Farid Wahyudi,1129
882638978454921,Raja Juli Antoni,Raja Juli Antoni,963
110865154735990,Koran Harian Tanah Air,Muhammad Miftakhunnaim,956
101601538648991,Gerindra Lampung Official,"Asroni Paslah, S.Pd",829
104830667806476,Melihat Indonesia,Ganjar Nusantara Indonesia,622
109083348423534,Untuk Rakyat,Muhammad Miftakhunnaim,605
104899195891472,Berita Ganjar Pranowo,Ganjar Nusantara Indonesia,585
173776079818775,Saiful Mujani,Saidiman,487
103013484811323,Jangan Lupa Sejarah,John Kamnahas,460
102273039070802,Info Terkini,Muhammad Miftakhunnaim,433
102626198026698,Rika Sudjiman,Juniar Dwi Harianto,364
756567881057213,Airlangga Hartarto,Airlangga Hartarto,347
39253583478,PDI Perjuangan,Muhammad Miftakhunnaim,334
112121101796090,Opini 2024,Juniar Dwi Harianto,317
103581752405141,Sobar Harahap,Ganjar Nusantara Indonesia,310
110952238516382,Kiki Daliyo,Dwi Wantoro,240
102656349157647,Tugimanisme,Ganjar Nusantara Indonesia,237
101403669397488,Nikmatul Sugiyarto,Ganjar Nusantara Indonesia,220
104843487722931,Portal Islam id,Portal Islam ID,184
1608977916030049,Berebut RI1,These ads ran without a disclaimer,161
105308715676825,Filosofi Indonesia,Bayu Wicaksono,150
102114435036822,Filosofi Jatim,Bayu Wicaksono,142
202555993805088,Caption,Bayu Wicaksono,136
104799384898162,Indonesia Berkabar,Bayu Wicaksono,129
293205499138713,Forum Terkini News,These ads ran without a disclaimer,126
107565455160464,Indonesia Opini,Bayu Wicaksono,123
101338198587608,Indonesia Luar Biasa,Bayu Wicaksono,119
1824152721248355,Berita Kita,Berita Kita,116
1376974779256826,Saiful Mujani Research and Consulting SMRC,Saidiman,108
113307277699173,Info Kebumen Ngapak,Bayu Wicaksono,≤100
110368964786452,Kemajuan Bersama,Muhammad Miftakhunnaim,≤100
105333581077904,PT Pupuk Kaltim,PT Pupuk Kaltim,≤100
218228558196506,Tiket.com,These ads ran without a disclaimer,≤100
100359258525418,Pemulihan Lebih Baik,Muhammad Miftakhunnaim,≤100
104563194242253,Enjoy Jateng,Bayu Wicaksono,≤100
110750361762052,Pikiran Rakyat,Pikiran Rakyat,≤100
108571334357297,Melangkah Lebih Baik,Muhammad Miftakhunnaim,≤100
110100218339060,Wahai Ibu Pertiwi,Muhammad Miftakhunnaim,≤100
108695584343029,Baik Untuk Kita,Muhammad Miftakhunnaim,≤100
101076948451651,Masa Depan Kita,Muhammad Miftakhunnaim,≤100
100769345853089,astra.infra,These ads ran without a disclaimer,≤100
102497641558430,Indonesia Tolak HOAX,Muhammad Miftakhunnaim,≤100
1357693677594211,A Muhaimin Iskandar,Kebangkitan Bangsa,≤100
277374024108425,International Admission Office-Xi’an Jiaotong University,These ads ran without a disclaimer,≤100
102415047928145,Shanghai Electric,These ads ran without a disclaimer,≤100
123546032572,Eppendorf Group,These ads ran without a disclaimer,≤100
