Page ID,Page name,Disclaimer,Amount spent (COP)
512529829193821,Julian Montoya,Julian Montoya,585512
267198759973201,Bairon Enrique Muñoz Lizarazo,Bairon Enrique Muñoz Lizarazo,90438
101672785855145,Irina Salas,Irina Salas,42901
1622001728047397,Harman Alcalde,Harman Alcalde,39973
201496040294264,Hernando Rodríguez,Jhon Darvin Rojas Montilla,37825
100537461368132,Elkin Zapata Valencia Concejal,Jeferson Morales,30000
913316352080733,Jhonny Giraldo,Jhonny Stevenson Giraldo Aragon,12138
308580499200723,Alcaldía de Medellín,Alcaldia de Medellìn,11664
299469560099835,Alcaldía de Cali,Alcaldía de Cali,10458
109023772053741,Movil Consultores Academy,Movil Consultores Academy,5468
2081012991953059,Juan Diego Muñoz Cabrera,Juan Diego Muñoz Representante,4410
103833791361048,El Legado de Álvaro Uribe Vélez,Centro Democrático - Comunidad Oficial,3890
969143216462972,Felipe Cañizalez,Andreina Quintero Correa,3659
1605232543052696,Julio Mario Rey Rojas,Julio Mario Rey,3327
366661700340694,Carlos Javier Navas M,Carlos Javier Navas Murillo,2869
324718631509952,Yaneth Quintero,Yaneth Alexandra Quintero Herrera,2593
184284351706738,Lotería de Bogotá,Lotería de Bogotá,2473
105848177845789,All Out en español,All Out Action Fund,2243
370492339735164,Centro Democrático - Comunidad Oficial,Centro Democrático - Comunidad Oficial,2204
1147318942107929,Todos Somos Una,DEBRAIN LLC,1826
108311872210328,Fernando Romero Herrera,Fernando Romero Herrera,1224
102143071616787,Goberna Colombia,Goberna,1173
125807057434859,laschivasdelllano.com,laschivasdelllano.com,1073
131753023639902,Aldemar Alfaro,Aldemar Alfaro Rivero,1030
319527888151975,Revista La Injusticia,Ronald Rangel,834
112155252163421,Sebastián López V.,Sebastian Lopez Valencia,584
335077837068367,Simón Pérez,Simón Pérez,495
111270314570537,Ultima Hora Casanare,Ultima Hora Casanare,392
861234197280988,Stefany Gómez Concejala de Armenia,Stefany Gomez Murillo,386
104625432104134,Erwin Lechuga,Erwin Jesus  Lechuga Heredia,352
1791953117701952,Villavonoticias.com,Dumar Alecides Parra Fandiño,289
569978373130700,Andrés Lizarralde Henao,Andrés Lizarralde Henao,283
355341287994204,Marcos Daniel Pineda García,Marcos Daniel Pineda García,263
185389958662008,Control y Defensa Electoral,These ads ran without a disclaimer,258
108675595132967,Karol Martínez Silva,Karol Martinez Silva,238
354008694642813,Little Monkey Agencia de  Publicidad BTL,Little Monkey BTL SAS,234
581095835894514,Noticentro 1 CM&,Noticentro 1 CM&,228
1400280116941194,Fabian Diaz,Fabian Diaz,225
1482897701997453,Paloma Valencia,Paloma Valencia,212
682038131955732,Elizabeth Molina Campo,Julian Felipe Reina Parrado,201
123469995988185,Jhonatan Cano,Jhonatan Cano,197
214167541938411,Juan Pablo Gallo,Juan Pablo Gallo,193
111200440237640,Son Datos Y Hay Que Darlos,Phyx S.AS,191
1319410371405224,Marketing Político,Mauricio Florez-Morris,184
229226327102836,Juan Sebastian Montoya,Juan Sebastian Montoya,171
1529335724037224,Aeropuerto del Café,INTUAL,161
103596816009903,Voy con Leo,Voy con Leo,140
1815626541807349,Agencia de Periodismo Investigativo,Norbey Quevedo Hernandez,≤100
170276379775886,Instituto de Ciencia Política Hernán Echavarría Olózaga,Instituto de Ciencia Política Hernán Echavarría Olózaga (ICP),≤100
356101551695420,James Ducuara.,Jhon James Ducuara,≤100
777725739278207,Montes Concejal,Carlos Montes,≤100
1916140878707009,7N Noticias,Edwin Iznardo Camargo Mojica,≤100
108489893822657,Alcaldía De Guasca 2020-2023.,Alcaldía De Guasca 2020-2023.,≤100
104630912620139,historia.ordenmundial,These ads ran without a disclaimer,≤100
2013525382284983,Wilson Florez,Wilson Antonio Florez Vanegas,≤100
832764363485573,Roberto Rodríguez Z.,Oscar Alexander Garcia Lopez,≤100
105068200842316,Edilberto Molina,Tuto Gonzalez,≤100
105109280969000,Agencia Axioma,Agencia Axioma,≤100
416201871913815,Adolfo Romero,Adolfo Romero,≤100
212483219648777,Juan Camilo Restrepo,Juan Camilo Restrepo,≤100
167222580002790,Clara Luz Roldan Gonzalez,Clara Luz Roldán,≤100
465572140144556,Juan Diego Castrillón Orrego,Henry Leonardo Romero Moncayo,≤100
316056528999754,Periodistas x el planeta,These ads ran without a disclaimer,≤100
199897540054379,Félix Gracia,These ads ran without a disclaimer,≤100
84739343457,Motor.es,These ads ran without a disclaimer,≤100
101155476033811,Somos Cambio,These ads ran without a disclaimer,≤100
110764418470615,Pomì South America,These ads ran without a disclaimer,≤100
495310654257835,Pasimedia,These ads ran without a disclaimer,≤100
117966544591004,franciscoactivista,These ads ran without a disclaimer,≤100
102928008704854,luciarevillasilva,These ads ran without a disclaimer,≤100
113067177682259,PMD - Dogs is my  world,These ads ran without a disclaimer,≤100
807500072661945,AsoVape,AsoVape,≤100
101898815768121,tuytusombrero,These ads ran without a disclaimer,≤100
117735448311,"Cell Signaling Technology, Inc.",These ads ran without a disclaimer,≤100
