Page ID,Page name,Disclaimer,Amount spent (ARS)
819240928422696,César Treffinger,Cesar Treffinger,15051
688001708286948,Juan Pablo Luque,Juan Pablo Luque,13596
102744535962182,Chubut Política,Chubut Política,7748
129799846687423,Levantémonos,Levantemonos,5847
102436695787908,Chubut por el Cambio,Juntos por Chubut,5636
1554067651472370,Hector Javier Belloni,Luis Eduardo Corregidor,1935
819858528127384,Santiago Igon,Santiago Igon,1664
227513130941976,Ignacio Torres,Pro Chubut,1608
102147594684104,Marcos Panquilto,Marcos Abel Panquilto,1552
112233751493488,Lavoz de Chubut,LaVozdeChubut,1506
241766066497583,Leandro Cavaco,Leandro Cavaco,1309
111446498207466,Cerro 21 Noticias,Cerro 21,1277
1828961774079899,Tomas Buffa,Tomás Buffa,1179
110079031997390,Con Larreta,Con Larreta,985
109301321543745,Matías Taccetta,Pro Chubut,968
573018649750585,Ana Clara Romero,Pro Chubut,860
513899261972162,Frente de Izquierda FIT,Frente de Izquierda,760
113686738612,Gobierno de la Ciudad de Buenos Aires,Gobierno de la Ciudad de Buenos Aires,745
367089004808,Amnistía Internacional Argentina,Amnistía Internacional Argentina,703
327844944459820,Claudio Vidal,Edgardo Gabriel Rovira,574
105933872199149,Mística,Mística,466
1873797869608613,Frente Renovador de la Concordia,Frente Renovador de la Concordia,418
1426373070912699,Cholila Online Portal de Noticias Digital,Cholila Online,416
346625951629,Gobierno del Chubut,Gobierno del Chubut,390
183940131655054,María Eugenia Vidal,María Eugenia Vidal,342
104147274759706,Periodismo de Izquierda,Periodismo de Izquierda,336
101761569495985,Miguel Nanni 2023,Miguel Nanni 2023,316
101996084777901,Mariela Belski,Mariela Belski,253
103038372620510,Hugo Passalacqua,Hugo Passalacqua,235
100157321845684,Metadata Noticias,Matías Ezequiel Logiódice,211
107029238090602,Rodolfo Tecchi,Pablo Saul Jurado,176
818807098190442,Pablo Blanco,Graciela Emma Montani,162
2243331109041866,Gustavo H Arrieta,Gustavo H Arrieta,161
105434454484182,Difusión de Prensa Argentina,Difusión de Prensa Argentina,157
1228444987284670,Gobierno de Santiago del Estero,Gobierno de Santiago del Estero,139
335926266503071,7D,7D,134
825842354122893,Carolina Moises,Carolina Moises,130
224011168968695,Mas Medios,Mas Medios,124
131381938371647,Corta La Bocha Noticias,Corta La Bocha,123
