Page ID,Page name,Disclaimer,Amount spent (IDR)
23383061178,Prabowo Subianto,indonesia Adil makmur,495110
101350709331663,G24News.tv,Yayasan Golkar Institut SPKP,269211
320858334728047,Partai Solidaritas Indonesia,Partai Solidaritas Indonesia,98113
333711983956998,Erwin Aksa,Yayasan Golkar Institute SPKP,22863
104054595928021,Bakti Untuk Rakyat,Bakti Untuk Rakyat,20638
104844282389488,Kelas Digital Marketing,Kelas Digital Marketing,12851
111864151754055,Esensi TV,Esensi Tv,8474
193237974052689,Partai Keadilan Sejahtera,Partai Keadilan Sejahtera,6871
102712985995817,Sobat Airlangga Hartarto,Sobat Airlangga Hartarto,6457
102712985995817,Sobat Airlangga Hartarto,Aditia Ramdani,6112
105818752347206,Teman Airlangga Hartarto,Teman Airlangga Hartarto,5748
101679818973699,Sahabat Ganjar Pranowo,John Kamnahas,4624
349963858704476,Komit Digital,These ads ran without a disclaimer,3767
104427162506872,Fakta Anies,Fakta Anies,3341
109335605140131,Invest SEA,These ads ran without a disclaimer,3300
114501618289319,Cuan dari Jualan Template,These ads ran without a disclaimer,3118
731046070564929,Informasi dan Komunikasi PMK,Satwiko Vito Waris,3117
112151425144216,Herbal Sentosa,These ads ran without a disclaimer,2999
103013484811323,Jangan Lupa Sejarah,John Kamnahas,2890
110314634068233,Fadilah Bisnis,Fadilah Bisnis,2885
101760624522103,DPP Banteng Muda Indonesia,Farid Wahyudi,2723
101674375744514,Media Cuan,Ipta Apipah,2715
104513285970973,Jateng Berwarna,Dwi Wantoro,2660
116937558047898,Jateng Bersahabat,Dwi Wantoro,2606
173776079818775,Saiful Mujani,Saidiman,2073
115316574870257,Pemuda Dukung Anies,Dika Haris Abdurahman,1711
107977465625941,Medio Yulistio,These ads ran without a disclaimer,1469
197545083607941,Harian Kompas,Harian Kompas,1460
106524371346347,NTBSATU.com,NTBSATU.com,1362
104830667806476,Melihat Indonesia,Melihat Indonesia,1305
104899195891472,Berita Ganjar Pranowo,Ganjar Nusantara Indonesia,1289
300085103441545,Lensa Edwin Pratama,Edwin Pratama Putra,1126
114862318264218,Marketing 2024,These ads ran without a disclaimer,1118
166725880125798,"H. Helldy Agustian, SE, SH",Horas Kasih Sirait,1046
110865154735990,Koran Harian Tanah Air,Muhammad Miftakhunnaim,1024
109569663928564,Stay with Prabowo,These ads ran without a disclaimer,1017
39253583478,PDI Perjuangan,Muhammad Miftakhunnaim,974
109083348423534,Untuk Rakyat,Muhammad Miftakhunnaim,775
101866128977837,Belajar Pemilu,Muhammad Basir,681
882638978454921,Raja Juli Antoni,Raja Juli Antoni,681
101403669397488,Nikmatul Sugiyarto,Nikmatul Sugiyarto,652
102656349157647,Tugimanisme,Tugimanisme,636
102626198026698,Rika Sudjiman,Juniar Dwi Harianto,620
103581752405141,Sobar Harahap,Sobar Harahap,583
112121101796090,Opini 2024,Opini 2024,582
312490859193724,mensbatik,Bayu Setayudha,501
110952238516382,Kiki Daliyo,Kiki Daliyo,458
118734481202493,Prihati Utami,Dwi Wantoro,425
110368964786452,Kemajuan Bersama,Muhammad Miftakhunnaim,404
120576854292201,Abdul Muis Syam,These ads ran without a disclaimer,335
100634344801574,Gus Raharjo,Septian Raharjo,295
361164327681144,Radar Nusantara,These ads ran without a disclaimer,291
102481892738495,Lanal Banten,Lanal Banten,278
109292782081820,Duadigits Present,These ads ran without a disclaimer,200
102273039070802,Info Terkini,Muhammad Miftakhunnaim,177
102497641558430,Indonesia Tolak HOAX,Muhammad Miftakhunnaim,118
110100218339060,Wahai Ibu Pertiwi,Muhammad Miftakhunnaim,104
100359258525418,Pemulihan Lebih Baik,Muhammad Miftakhunnaim,≤100
107241861191421,Ilmu Tambang,Ilmu Tambang,≤100
110750361762052,Pikiran Rakyat,Pikiran Rakyat,≤100
108571334357297,Melangkah Lebih Baik,Muhammad Miftakhunnaim,≤100
101076948451651,Masa Depan Kita,Muhammad Miftakhunnaim,≤100
194781790600017,Hijab Meryam,These ads ran without a disclaimer,≤100
107314345341621,Zakiyuddin Harahap,Zakiyuddin harahap,≤100
112376825007045,Dewi Juliani 2024,Dewi Juliani 2024,≤100
101120396317496,Pemerintah Kabupaten Gresik,Ahmad Faizin Karimi,≤100
110547131467051,Ikfina Fahmawati,Diovanka Darmawan,≤100
969638999781691,DPD PKS KOTA BATAM,PKS KOTA BATAM,≤100
1408188616062841,Sofitel Bali Nusa Dua,Sofitel Bali Nusa Dua Beach Resort,≤100
484567214958993,Minhaj University Lahore,These ads ran without a disclaimer,≤100
141271779363886,Christian Harfouche,These ads ran without a disclaimer,≤100
