Page ID,Page name,Disclaimer,Amount spent (PEN)
101665683225827,José Luna Gálvez - Pepe Luna,Laidy Diana Peceros Espinoza,≤100
1024549847740260,Institución Educativa Miguel Grau-Abancay. Elecciones periodo 2023-2024,William Tapia,≤100
264223880347121,Lampadia Oficial,LAMPADIA,≤100
335551357288,Flor de Maria Hurtado Valdez,Flor De Maria Hurtado Valdez,≤100
113857973395461,Luis Angel Aragón - Congresista de la República,Diego Alonzo Alvarez Guevara,≤100
100868325382148,Elizabeth Taipe Coronado - Congresista,Daniel Franklin Quispe Aguilar,≤100
100330785132565,Saca tu cuenta,Juan Jose Garcia Chau,≤100
523337141056621,CONFIEP,CONFIEP,≤100
462790453744032,Sutep,Sindicato Unitario de Trabajadores en la Educación del Perú - SUTEP,≤100
173144229408518,RENIECPERU,RENIECPERU,≤100
106395164602216,Juan Burgos,Luis Alberto Chavarry Gutierrez,≤100
534284396949027,Ilich López,Renzo Jireh Casas Torres,≤100
101053675911037,Fabri & Asociados Consultoría Política y de Mercadeo,Whilber Eugenio Huallanca Conde,≤100
1805183599788143,Silvia Monteza,Héctor Melgar Sandoval,≤100
110409148102552,Nilza Chacón Trujillo,Nilza Chacón Trujillo,≤100
145417182805675,Ricardo Grados - Los Olivos,Omar Jaime Coronado Juarez,≤100
1497095980557287,Ideario.pe,Ideario.pe,≤100
103890681794133,Asociación Nacional de Profesionales de EsSalud,Jimena Vega Cabana,≤100
2408653149412251,Edith Carranza al Decanato,Edith Betzabe Carranza Enríquez,≤100
379287652881645,Municipalidad Distrital de La Victoria,Municipalidad Distrital de La Victoria,≤100
338981689449524,Raúl Diez Canseco Terry,Percy Ramirez Ramos,≤100
101924456538234,Sociedad Nacional de Industrias,Sociedad Nacional de Industrias,≤100
173144229408518,RENIECPERU,Registro Nacional de Identificación y Estado Civil,≤100
105909719150381,study.con.ciencia,These ads ran without a disclaimer,≤100
121759302958701,René Chávez - El Médico del Pueblo,Somos Perú Loreto,≤100
142062936237878,Goberna,Goberna,≤100
638298683189782,Topclass Academy,These ads ran without a disclaimer,≤100
