Page ID,Page name,Disclaimer,Amount spent (MXN)
1250751485006046,Secretaría de Seguridad Ciudadana de Q.Roo,Secretaría de Seguridad Ciudadana de Q.Roo,2331
146709175702544,Gobierno de Quintana Roo,Gobierno de Quintana Roo,2227
118921468203786,Movimiento Ciudadano,Movimiento Ciudadano,1994
102084795217656,Cuatro T,Cuatro T Noticias,1455
923633637651202,Morena Sí,Morena Sí,1147
107356960929927,Las Noticias-Política,Noticias Política,821
111379098072267,DIME News,Dime News,585
394579937307087,Marybel Villegas Canché,Marybel Villegas Canché,583
2091732304477564,Senadores Ciudadanos,Grupo Parlamentario de Movimiento Ciudadano en el Senado de la República,547
108687728744220,Caribe Noticias,Caribe Noticias,524
56713285274,Greenpeace México,Greenpeace México,447
156639921819,Gii360,Gii360,261
102781821943598,Quintana Roo Verdadero,Paul Martinez Chavez,187
109634395756375,Save the Children México,Save the Children México,166
213322302784408,Buenas Noticias QR,Víctor Hugo Rocha Rocha,131
101267031439463,Voz de las Empresas,Consejo de la Comunicación,129
103935287666088,Roberto Erales,Yosafat Antonio Cambranis Tun,105
285690871462237,Luz María Beristain Navarrete,Luz María Beristain Navarrete,104
645731535452116,FactoMétrica,FactoMétrica,102
2045812675540774,Erick Maffassanti,Daniel Erick Agustin Maffassanti,101
115475744802204,Oleada 4T,Oleada 4t,≤100
100148153013993,Suma QR Con Claudia,Suma QR Con Claudia,≤100
102901505490849,Abogados Quintana Roo,Abogados Quintana Roo,≤100
109082175273502,Tres Sesenta,Luis Anzola,≤100
1415863341806268,DMC - Music Center,CENTRO DE ENCUENTRO ARTÍSTICO DMC A.C.,≤100
48966795116,Amnistía Internacional México,Amnistía Internacional México,≤100
1840456319605671,Instituto Educativo Felipe Carrillo Puerto,Instituto Educativo Felipe Carrillo Puerto,≤100
114158248252278,Convocatorias 2023,Convocatorias 2023,≤100
116470646459745,"Servicios Jurídicos ""Balam""",Edgar Lorenzo Balam Pinto,≤100
225774331107918,Jonathann Estrada,David Jonathan Estrada Castillo,≤100
118089944564637,El México que Informa,El México que Informa,≤100
354326078079338,Campaigns and Elections Mexico,Campaigns & Elections México,≤100
104680124489636,Demoscopia Digital,Demoscopia Digital,≤100
109586880724431,Info Quintana Roo,Info Quintana Roo,≤100
102571299059219,Centro de Desarrollo y Actualización de Competencias,Joaquin Tovilla Lopez,≤100
1583631301915573,Liborio Vidal,Liborio Vidal Aguilar,≤100
1297159123630144,Ulises Ruiz Ortiz,Ulises Ernesto Ruiz Ortiz,≤100
493453457351145,Coparmex Nacional,Coparmex Nacional,≤100
1545555582174942,TResearch,TResearch,≤100
108388847687280,Anáhuac Online,These ads ran without a disclaimer,≤100
