Page ID,Page name,Disclaimer,Amount spent (EUR)
178362315106,European Parliament,European Parliament,≤100
147547541961576,Council of the European Union,Council of the European Union,≤100
168165046713893,МГЕРБ - София,Коалиция ГЕРБ-СДС,≤100
163350039852,Европейски парламент в България,Европейски парламент в България,≤100
1832673263678286,Корнелия Нинова,Корнелия Нинова,≤100
59519326031,Капитал,Икономедиа,≤100
320061771515533,Младежи ГЕРБ,Коалиция ГЕРБ-СДС,≤100
511759758861338,HiPP България,These ads ran without a disclaimer,≤100
101606392738438,Истината Днес,Истината Днес,≤100
195938627212812,Грийнпийс България,These ads ran without a disclaimer,≤100
794050564078395,Фондация Право на Детство,Right To Childhood Foundation,≤100
102639823136950,ГЕРБ - Пловдив,Коалиция ГЕРБ-СДС,≤100
1648096958816379,"Да, България","Да, България",≤100
118312894494056,SafeNews,SafeNews,≤100
774921392692459,Run2Gether България,JAMBA,≤100
134649730497,Actualno.com,Actualno.com,≤100
336639303182606,ГЕРБ - София,Коалиция ГЕРБ-СДС,≤100
195938627212812,Грийнпийс България,Greenpeace Bulgaria,≤100
117649926303037,Георги Валентинов Георгиев,Георги Георгиев,≤100
2267149730206970,Bulletin.bg,Bulletin.bg,≤100
103439391741697,Обединени Християндемократи,Обединени Християндемократи,≤100
100113979589573,Програма Генерация,ГЕНЕРАЦИЯ програма,≤100
110230707522435,ГЕРБ - Видин,Коалиция ГЕРБ-СДС,≤100
565497246807650,ГЕРБ - Бургас,Коалиция ГЕРБ-СДС,≤100
2779309075418363,ГЕРБ - Варна,Коалиция ГЕРБ-СДС,≤100
100502688162733,За Бога и Човека,За Бога и Човека,≤100
1154764051373738,Д-р Делян Георгиев,Delyan Georgiev,≤100
195547920622446,ГЕРБ - Русе,Коалиция ГЕРБ-СДС,≤100
470560413107657,ГЕРБ - Шумен,Коалиция ГЕРБ-СДС,≤100
364788430386875,"Инициатива ""Правосъдие за всеки""","Сдружение ""Правосъдие за всеки""",≤100
2175132019401468,ГЕРБ - Плевен,Коалиция ГЕРБ-СДС,≤100
1456643971252496,ГЕРБ - Сливен,Коалиция ГЕРБ-СДС,≤100
101067484628574,Cash Media,Cash Media,≤100
631020226923156,ГЕРБ - Хасково,Коалиция ГЕРБ-СДС,≤100
213386875678475,ГЕРБ - Смолян,Коалиция ГЕРБ-СДС,≤100
218461415015757,ГЕРБ - Ловеч,Коалиция ГЕРБ-СДС,≤100
174946829211086,ГЕРБ - Благоевград,Коалиция ГЕРБ-СДС,≤100
255481947815005,ГЕРБ - Враца,Коалиция ГЕРБ-СДС,≤100
284609378287194,НПО портал,НПО Портал,≤100
686195611462532,ГЕРБ - Кърджали,Коалиция ГЕРБ-СДС,≤100
283061845058938,Европейската комисия в България / European Commission in Bulgaria,Европейската комисия в България / European Commission in Bulgaria,≤100
639420676160607,ГЕРБ - Силистра,Коалиция ГЕРБ-СДС,≤100
544860025671476,ГЕРБ - Разград,Коалиция ГЕРБ-СДС,≤100
461814507324842,ГЕРБ - Перник,Коалиция ГЕРБ-СДС,≤100
1486682081577647,ГЕРБ - Велико Търново,Коалиция ГЕРБ-СДС,≤100
268313163283362,ГЕРБ - Добрич,Коалиция ГЕРБ-СДС,≤100
1260394000692583,ГЕРБ - Ямбол,Коалиция ГЕРБ-СДС,≤100
112598698012224,Кажи честно с Ани,Кажи честно с Ани,≤100
417917798392477,Живко Табаков,Живко Табаков - официална страница,≤100
229586070497595,ГЕРБ - Стара Загора,Коалиция ГЕРБ-СДС,≤100
409484042460989,ГЕРБ - Пловдив област,Коалиция ГЕРБ-СДС,≤100
1456221634613364,ГЕРБ - Пазарджик,Коалиция ГЕРБ-СДС,≤100
180992495710,Kaldata.com,Калдейта Ком ЕООД,≤100
1963710273872883,Петър Витанов / Petar Vitanov,Петър Витанов,≤100
115808076995823,Християн за България Православна Свята,За България Православна Свята,≤100
572486973244463,ГЕРБ - София област,Коалиция ГЕРБ-СДС,≤100
324356301333631,Антикорупционен фонд,Anti-Corruption Fund,≤100
196869257582,Еко Новини,Еко Новини,≤100
373213199362639,WWF Bulgaria,WWF Bulgaria,≤100
367687376657359,Избор за Живот,Pro-Life Choice Association,≤100
444930982267001,Цвета Кирилова²,Tsveta Kirilova,≤100
170315589442,Gospodari,Gospodari,≤100
102524799835429,Digitalk Conference,Икономедиа,≤100
591896517667687,Донбас - в търсене на истината,Донбас - в търсене на истината,≤100
110632484871987,В търсене на истината,В търсене на истината,≤100
207544111264,Mediapool.bg,Mediapool.bg,≤100
104296628174169,Димитър за България Православна Свята,За България Православна Свята,≤100
102524799835429,Digitalk Conference,These ads ran without a disclaimer,≤100
103013292419444,Михал Камбарев,Михал Камбарев,≤100
100937691863391,ГЕРБ - Габрово,Коалиция ГЕРБ-СДС,≤100
102224898933734,MindDig,These ads ran without a disclaimer,≤100
136088969880141,AirHelp,These ads ran without a disclaimer,≤100
122271394189456,SmartSizl,These ads ran without a disclaimer,≤100
104405159011073,Sheba Tel HaShomer Global Division,These ads ran without a disclaimer,≤100
1428640883918815,Re Energy,These ads ran without a disclaimer,≤100
