Page ID,Page name,Disclaimer,Amount spent (USD)
1867615493511193,Дамира Ниязалиева,Дамира Ниязалиева,≤100
117862454526695,Салам Кыргызстан Кыргызча,Салам Кыргызстан Кыргызча,≤100
110981394562622,Жылдыздуу саясат,Jyldyzsayasat,≤100
152964861581140,Daniar Terbishaliev,Terbishaliev Daniar,≤100
107876058176442,Тентек Кыз,Tazakoom,≤100
109564264716954,Полит Портрет,politportret,≤100
112540897735953,Салам Кыргызстан,Салам Кыргызстан,≤100
101548148821304,Две точки зрения,politportret,≤100
116355337718182,Moli lulu,These ads ran without a disclaimer,≤100
918318338180165,CHINT GROUP,These ads ran without a disclaimer,≤100
103584007732511,Smeshno Vines,These ads ran without a disclaimer,≤100
100172476278127,Easy Study,These ads ran without a disclaimer,≤100
