Page ID,Page name,Disclaimer,Amount spent (EUR)
103987224566212,Malta Daily,Malta Daily,≤100
291699857688,EPP Group in the European Parliament,EPP Group in the European Parliament,≤100
147547541961576,Council of the European Union,Council of the European Union,≤100
628136714308190,FIDEM Foundation,FIDEM Charity Foundation,≤100
113095853899600,Medik Store Malta,Medik Malta,≤100
506829903185337,Doctors for Choice Malta,Doctors for Choice,≤100
178362315106,European Parliament,European Parliament,≤100
180083672068356,SEM - Servizzi Ewropej f'Malta,servizziewropejfmalta,≤100
295596273786464,University of Malta,University of Malta,≤100
129664277182026,Eurosport Malta,Eurosport Malta,≤100
656955664383156,Alex Agius Saliba,Alex Agius Saliba,≤100
480288348662981,The Malta Independent,Malta Independent,≤100
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100
