Page ID,Page name,Disclaimer,Amount spent (EUR)
184760561603680,Richard Sulik,Sloboda a Solidarita,≤100
299787613365044,Night Of Chances,Nexteria,≤100
194278021265803,Michal Šimečka • Progresívne Slovensko,Michal Šimečka • Progresívne Slovensko,≤100
163449818290,KDH,KDH,≤100
71030757230,Sloboda a Solidarita,Sloboda a Solidarita,≤100
309315359104222,Milan Majerský,KDH,≤100
178362315106,European Parliament,European Parliament,≤100
194278021265803,Michal Šimečka • Progresívne Slovensko,Progresívne Slovensko,≤100
111165370750,Amnesty International Slovakia,Amnesty International Slovakia,≤100
104893459551069,Ekotopfilm SK,Ekotopfilm SK,≤100
475005065849814,Zastúpenie Európskej komisie na Slovensku,Zastúpenie Európskej komisie na Slovensku,≤100
139025019440898,Inštitút ľudských práv - Human Rights Institute,Inštitút ľudských práv - Human Rights Institute,≤100
107264447436170,Marián Viskupič,Sloboda a Solidarita,≤100
596947687022704,PRIDE Košice,"Saplinq, o.z.",≤100
482492355256037,"Ministerstvo práce, sociálnych vecí a rodiny Slovenskej republiky","Ministerstvo práce, sociálnych vecí a rodiny Slovenskej republiky",≤100
858732787843932,Juraj Šeliga,Juraj Šeliga,≤100
147166706140048,Martin Hojsík,Martin Hojsík,≤100
150674111712306,OBYČAJNÍ ĽUDIA a nezávislé osobnosti,OBYČAJNÍ ĽUDIA a nezávislé osobnosti,≤100
105447052506838,Referendum23.sk,Referendum23.sk,≤100
1836886866523572,SOAS a.s.,These ads ran without a disclaimer,≤100
106092371358835,Za právny štát,Občianske združenie ZA DEMOKRACIU A PRÁVNY ŠTÁT,≤100
1075981519276261,Mária Kolíková,Sloboda a Solidarita,≤100
103660101145202,DiEM25 na Slovensku,DiEM25 na Slovensku,≤100
102213315938547,Monika Kolejáková,Monika Kolejáková,≤100
283025969119,Odpady-portal.sk,PROPERTY & ENVIRONMENT s.r.o.,≤100
935929019771603,Sconto Nábytok,These ads ran without a disclaimer,≤100
104936221959583,Úrad na ochranu oznamovateľov,Úrad na ochranu oznamovateľov,≤100
494475540703563,Juraj Káčer,Juraj Káčer,≤100
107898832590939,European Commission,European Commission,≤100
344709529755622,SAPI,SAPI,≤100
240196611412,Duhovy PRIDE Bratislava,Duhovy PRIDE Bratislava,≤100
732167026967322,Robert Fico,Robert Fico,≤100
168813446552680,Richard Vašečka,Kresťanská únia,≤100
288447254691571,Veronika Remišová,ZA ĽUĎÍ,≤100
359327906370,JRK Slovensko,JRK Slovensko s.r.o.,≤100
2322076957827734,Ladislav Kamenický,Ladislav Kamenický,≤100
829246250528166,Republiková únia zamestnávateľov,Republiková únia zamestnávateľov,≤100
113775847050590,HLAS - sociálna demokracia,HLAS - sociálna demokracia,≤100
116961031326577,Demokrati,Demokrati,≤100
253595649968,Monika Beňová,Monika Beňová,≤100
117195501273420,Mali ešte žiť,OZ Pozostalí za spravodlivosť,≤100
102227341615671,Slovenský Patriot - politická strana,Slovenský PATRIOT,≤100
100127022511369,Žilina SP21,beNOW media group a.s.,≤100
