Page ID,Page name,Disclaimer,Amount spent (ARS)
129799846687423,Levantémonos,Levantemonos,4602
130929705668,Municipalidad de Córdoba,Municipalidad de Córdoba,4040
111051871572130,Partido Libertario La Pampa,Partido Libertario La Pampa,3044
260217841057049,Consultora Tendencias,Consultora Tendencias,2849
109586108797973,Futuro Argentino,Futuro Argentino,1652
2297790937176794,Catato Lorenzo,Horacio Alberto Lorenzo,1374
105933872199149,Demos Vuelta La Argentina,Demos Vuelta la Argentina,969
113686738612,Gobierno de la Ciudad de Buenos Aires,Gobierno de la Ciudad de Buenos Aires,735
103729412624985,Nueva Pampa,Nueva Pampa,577
660416864150494,Obras La Pampa,Obras La Pampa,512
390606981676723,Susana Torres,Susana Compromiso por San Luis,467
1724549447807950,Ministerio de Desarrollo Social de La Pampa,Ministerio de Desarrollo Social de La Pampa,426
301506776559902,Gobierno de Córdoba,Gobierno de Córdoba,387
367089004808,Amnistía Internacional Argentina,Amnistía Internacional Argentina,348
110079031997390,Con Larreta,Con Larreta,299
107022228690687,Jornada Nacional,Jornada Nacional,233
101364195948955,KATO DICE Y HACE,KATO DICE Y HACE,203
583422291843351,Municipalidad General Acha,Agustin Cruz Berhau,191
335926266503071,7D,7D,190
139485256213513,radiokermes.com 106.1,Juan Pablo Gavazza,188
175844725888213,Alejandro Bodart,MST Movimiento Socialista de los Trabajadores,187
1294244823986867,Credible DATA Javier Alejandro Urban,Javier Alejandro Urban,179
513899261972162,Frente de Izquierda FIT,Frente de Izquierda,163
1488831318060288,Unión Europea en Argentina,Delegación de la Union Europea,155
642047375905348,Gastón di Castelnuovo,Gaston Di Castelnuovo,148
102483756080570,Claudio Ulman,Claudio Ulman,133
947520791967929,Claudio Poggi,Claudio Poggi,131
113898744658728,El Progreso Web,El Progreso,119
20906273675,Greenpeace Argentina,Greenpeace Argentina,115
101996084777901,Mariela Belski,Mariela Belski,109
107756622140473,El Litoral Web,El Litoral Web,106
105166715290140,Momento Uno,Momento Uno,101
141991679847091,Taquion,Taquion,≤100
238778949515431,El Cronista,El Cronista,≤100
102007812840437,Jóvenes con Wado,Jóvenes con Wado,≤100
125183747539071,Noticias Argentinas,Noticias Argentinas,≤100
134557130216408,Jorge Jofré,Jorge Jofre,≤100
378225769015907,Fundación Embajada Abierta,Fundación Embajada Abierta,≤100
544640985878621,Argentinos Online,Argentinos Online,≤100
111452835245770,Adriel Dalgaard Knott,Adriel Compromiso por San Luis,≤100
610065179346397,NotiBaires,Comunicarg,≤100
2251397431784810,InfoArgentina,Comunicarg,≤100
312868516068361,Nanci Foresto,Nanci Foresto,≤100
1469721866672400,Danya Tavela,Danya Tavela,≤100
1192374014146549,María Emilia Abdelnabe,Maria Emilia Abdelnabe,≤100
1671287342890703,"María ""Petu""  Argañaraz","María ""Petu""  Argañaraz",≤100
958750317533178,Manuela Castañeira,Nuevo MAS,≤100
1491984484412073,Juan Casañas,Juan Francisco Casañas,≤100
1408542766063285,Carla Carrizo,Ana Carla Carrizo,≤100
253898394637965,Luciana Echevarría,MST,≤100
403416169712996,Fundación para la Investigación Científica y los Estudios Sociales,Fundación para la Investigación Científica y los Estudios Sociales,≤100
104147274759706,Periodismo de Izquierda,Periodismo de Izquierda,≤100
136275719722184,Diario El Litoral Santa Fe,El Litoral,≤100
105493327767840,Newsweek Argentina,Newsweek Argentina,≤100
231169830377923,Gabriel Solano,Frente de Izquierda,≤100
597563186932136,Municipalidad de Esperanza,Municipalidad de Esperanza,≤100
111397701828101,Sergio Vallejos,Sergio Guillermo Vallejos Mini,≤100
417293091784162,Romina Del Plá,Frente de Izquierda,≤100
857382087671921,Maxi Abad,radicalesorg,≤100
705172499580470,Gustavo Martinez,Gustavo Martinez,≤100
1436040176529904,Noticias de Acá,comunicarg,≤100
52645780431,Aldeas Infantiles SOS - Argentina,Aldeas Infantiles SOS Argentina,≤100
108079067629612,Jose Javier Galan,Jose Javier Galan,≤100
112595328432641,Wado 2023,Jóvenes con Wado,≤100
111669735076988,Hora Cero,Hora Cero Noticias,≤100
295726953884916,OEI Argentina,OEI Argentina,≤100
113395874909201,Punto Noticias,Punto Noticias Web,≤100
105384144387929,Alejandrina Barry,Frente de Izquierda,≤100
358162257947051,Ricardo Bussi,Ricardo Matias Mercado,≤100
178919202140944,Francisco Quintana,Francisco Quintana,≤100
604575512919532,Cristian  Andino,Cristian  Andino,≤100
251537894866454,Zuleta sin techo,Ignacio Manuel Zuleta,≤100
103948405867129,El Confidencial Noticias,El Confidencial Noticias,≤100
137071079685429,Secretaría de Turismo Villa Gesell,Secretaria de Turismo de Villa Gesell,≤100
196552740363932,Lisandro Bonelli,Lisandro Emilio Bonelli,≤100
259700217384725,Le Monde diplomatique - Edición Cono Sur,Capital Intelectual S.A.,≤100
599607023397325,Editorial Prometeo,These ads ran without a disclaimer,≤100
477463972361734,Rafa Moyano,Eduardo Dario Pereyra,≤100
101558199460395,Julio Heredia,Julio Ignacio Heredia,≤100
101349631999937,Noticias para el Cambio,Noticias para el Cambio,≤100
104046341137293,Panorama Pais,Panorama Pais,≤100
331933457269706,Luis Albeza,Luis Fernando Albeza,≤100
107498638456149,Oscar Saliba,Oscar Elias Mario Saliba,≤100
436246103621788,Damián Selci,Unidad Ciudadana Hurlingham - UCH,≤100
102858281496444,Argentinos hoy,Argentinos hoy,≤100
100272671672857,Carlos Cisneros,Carlos Cisneros,≤100
233734300112003,Juan Monteverde,Ciudad Futura,≤100
428179387610545,Agenda Malvinas,Agenda Malvinas,≤100
113384436026702,Caren Tepp,Ciudad Futura,≤100
145806262649419,Fer Miño,Patria de Todos,≤100
675523912809682,Tiempo de Provincia,Comunicarg,≤100
112304404582741,Oscar Sagás,Chic Contenidos,≤100
304176325478,La Política Online,La Política Online,≤100
149619018406294,Siglo XXI Editores Argentina,Siglo XXI Editores Argentina S.A.,≤100
110890318187982,Escucharte Santa Fe,Escucharte Santa Fe,≤100
241738410043978,Patricia Mojica 2023 TANTI,Patricia Mojica 2023 TANTI,≤100
273175230630,CAME - Confederación Argentina de la Mediana Empresa,CAME - Confederación Argentina de la Mediana Empresa,≤100
103606556426821,Zona Norte Diario Online,Zona Norte Diario Online,≤100
342005489233184,Martin Gainza,Martin Gainza,≤100
258546478015654,Laura Jure,Laura Jure,≤100
