Page ID,Page name,Disclaimer,Amount spent (DKK)
116269191760882,DSB,DSB,3948
350495955072656,Klimabevægelsen i Danmark,Klimabevægelsen i Danmark,3094
399210657232918,PlanBørnefonden,PlanBørnefonden,2945
38507331439,Danmarks Naturfredningsforening,Danmarks Naturfredningsforening,2531
1677055535924085,Røgfri Fremtid,Røgfri Fremtid,1860
55365680705,Greenpeace Danmark,Greenpeace Danmark,1610
72672361910,Børns Vilkår,Børns Vilkår,1493
12860228293,Politiken,Politiken,1298
5624899398,Mellemfolkeligt Samvirke,Mellemfolkeligt Samvirke,1261
26458152911,SOS Børnebyerne,SOS Børnebyerne,1189
65929129383,Røde Kors,Røde Kors,1119
12787473132,Berlingske,Berlingske,983
116227401722605,Dansk Flygtningehjælp,Dansk Flygtningehjælp,929
153151900930,Ungdommens Røde Kors,Ungdommens Røde Kors,882
20303574131,Nationalmuseet,Nationalmuseet,821
1507997959501973,Landbrug & Fødevarer,Landbrug & Fødevarer,787
748887235210811,Obton Forvaltning A/S,Obton Forvaltning A/S,774
110321008383861,Red Barnets landsindsamling,Red Barnet,766
132344416862423,FOA,FOA,722
867877683280051,Weekendavisen,Weekendavisen,665
121570596369,CARE Danmark,CARE i Danmark,635
337166195327,BRYD TAVSHEDEN,BRYD TAVSHEDEN,584
155596147784577,WWF Verdensnaturfonden,WWF Verdensnaturfonden,508
99632942471,Læger uden Grænser (MSF),Læger uden Grænser (MSF),506
133707013355759,Danner,Danner,489
202627126417910,TAXA 4x35,Sammenslutningen Taxa 4x35,463
250994288337708,Sex og Samfund,Sex og Samfund,463
183887801641951,Verdens Skove,Verdens Skove,439
110560691837684,SolCompagniet,SolCompagniet,412
102154048301476,Lederstof.dk,Lederne,403
304554445813,Videncentret Bolius,Videncentret Bolius,384
1653030171620285,Wefood,Folkekirkens Nødhjælp,359
154415494575789,IDA,IDA,354
276770505228,Folkekirkens Nødhjælp,Folkekirkens Nødhjælp,329
356520931077196,Europabevægelsen,Europabevægelsen,321
111095867334448,Rent Hav,Rent Øresund,260
257480614286065,Den Sorte Diamant - Det Kgl. Bibliotek,Det Kgl. Bibliotek,239
126543540781090,Ældre Sagen,Ældre Sagen,236
109012749124622,3F - Gør dig stærkere.,3F - Danmarks Stærkeste Fagforening,232
287306323369,Børnecancerfonden,Børnecancerfonden,213
130388840342741,Danske Bank,Danske Bank,205
100423681446198,Virksomhedsguiden,Erhvervsstyrelsen,205
169918310823,Foreningen Spiseforstyrrelser og Selvskade,Foreningen Spiseforstyrrelser og Selvskade,203
261599053881378,Fagbevægelsens Hovedorganisation,Fagbevægelsens Hovedorganisation,202
