Page ID,Page name,Disclaimer,Amount spent (HUF)
224274995688487,Bohár Dániel - Riporter,Megafon,15095
503614639975773,Trombitás Kristóf,Megafon,11204
110149601578231,GeriJoca,Megafon,9746
128596180810227,Stefi Déri,Megafon,9308
776079922494181,Apáti Bence hivatalos oldala,Megafon,8593
118152054556475,Deák Dániel,Megafon,8144
125953004085398,Kemma.hu,Kemma.hu,5476
1880809845328535,Dobrev Klára,Demokratikus Koalíció,5358
191461774219575,hirado.hu,hirado.hu,5102
543788999005363,ORIGO,Mediaworks Hungary Zrt.,4944
102414628645144,Korondy Tamás,Megafon,4049
221754767906167,Bencsik János - A Tatai medencéért,Bencsik János,3462
594088897289853,Alapjogokért Központ,Alapjogokért Központ,3086
178362315106,European Parliament,European Parliament,2394
103294948505659,Szánthó Miklós,Szánthó Miklós – Alapjogokért Központ,2111
248172631940,Mandiner,Mediaworks Hungary Zrt.,2100
107809738949378,"Varga Máté - Alsógalla, Cseri ltp., Óváros",Párbeszéd Magyarországért,2029
24960864500,Szeretgom.hu,Szeretgom.hu,1993
1406386486355924,Partizán,Partizán,1976
1487569941539650,Tanítanék,Humán Platform,1946
326635018181862,Magyar Nemzet,Mediaworks Hungary Zrt.,1943
109637397268775,Nyugati Pályán,Splendidea Communications Kft,1782
331580946799,Borsonline - Bors Szórakoztató Napilap,Borsonline - Bors Szórakoztató Napilap,1572
1534911313439123,Ripost,Ripost,1545
1878531865537365,Kálmán Olga,Demokratikus Koalíció,1483
109503892404998,Világgazdaság,Mediaworks Hungary Zrt.,1423
131283758531,HVG,HVG Kiadó ZRt.,1243
153992771336740,Origo Sport,Mediaworks Hungary Zrt.,1199
264517713636590,PestiSracok.hu,PestiSrácok.hu,1115
102890492776382,"Gál Csaba - Alsógalláért, Óvárosért","Gál Csaba - Alsógalláért, Óvárosért",1036
287770891404,Jobbik-Konzervatívok,Jobbik Magyarországért Mozgalom,999
92932085233,TASZ,TASZ,854
76748198685,Budapest Pride,Budapest Pride,790
132593883577930,Dr. Keresztes László Lóránt,LMP - Magyarország Zöld Pártja,691
1418381101823292,Szivárványcsaládokért Alapítvány,Szivárványcsaládokért Alapítvány,685
100299381703981,Ps TV,PestiSrácok.hu,658
191946490841225,Dúró Dóra,Mi Hazánk Mozgalom,653
105666454157523,Szikra Mozgalom,Szikra Mozgalom,647
405035972853835,OMV Filling Stations,OMV Hungária Kft.,643
745695918854943,Nyugati Fény,Nyugati Fény,617
289633770813,UNICEF Magyarország,UNICEF Magyar Bizottság Alapítvány,570
1122781531137859,Ellenszél,Ellenszél,557
112694594992064,Mehr Licht,Mehr Licht,542
126539424061030,Háttér Társaság,Háttér Társaság,509
321901088360077,Mi Hazánk Tatabánya,Mi Hazánk Mozgalom Tatabányai Szervezete,490
537817739693723,Brain Bar,Brain Bar,461
506348326210466,Ungár Péter,LMP - Magyarország Zöld Pártja,445
447204268797621,RTL.hu,RTL.HU,443
1722969024662464,Civil Összefogás Fórum,CÖF-CÖKA,437
100401808007704,EzaLényeg.hu,EzaLényeg.hu,424
44847086574,Amnesty International Magyarország,Amnesty International Magyarország,402
520814838255629,Agapé Gyülekezetek Közössége,Agapé Gyülekezetek Közössége,380
102426795954406,Nobilis Márton,Nobilis Márton,375
303640261940,Nemzeti Sport Online,Mediaworks Hungary Zrt.,366
113684438795574,Párbeszéd - Zöldek,Párbeszéd Magyarországért,344
108346693873484,Győrffy Balázs,Győrffy Balázs,342
445067412712417,Dr. Molnár Krisztián,Dr. Molnár Krisztián,317
76945222898,Startlap,Central Médiacsoport Zrt.,314
108248022589754,Bosch Magyarország,Bosch Magyarország,292
268042136672212,Századvég,Századvég Közéleti Tudásközpont Alapítvány,284
107793155962688,Gyermekrák Alapítvány,Gyermekrák Alapítvány,268
143151351544,Színházi Olimpia 2023 / Theatre Olympics 2023,Szinházi Olimpia Nonprofit Kft.,264
1408906262689093,Nyitrai Zsolt,Fidesz,255
490030231058740,444,Magyar Jeti Zrt - 444.hu,229
451084968283411,Klímainnovációs Közösség,PANNON Pro Innovációs Kft.,226
267882727864,Kubatov Gábor,Fidesz,218
101743755608675,Batthyány Lajos Alapítvány,Batthyány Lajos Alapítvány,196
519279158277826,Szülői Hang,Szülői Hang,185
451844608304228,Metropol,Metropol,181
734217673259088,Ujhelyi István dr.,Ujhelyi István EP-képviselő,158
345496092135627,Hír TV,Mediaworks Hungary Zrt.,153
348148758663062,Indahouse Hungary,InDaHouse Hungary Egyesület,152
149061108240,Kocsis Máté,Fidesz frakció,151
100452852734271,Startlap - Vásárlás tippek,Central Médiacsoport Zrt.,146
304448239602944,Minden Doboz Visszajár,Minden Doboz Visszajár,145
102641477991941,bahir.hu - BAHÍR,Zöld Baranya Egyesület,145
320701218553533,Alternatíva Párt,Alternatíva párt,135
105774734948091,Hungarian Conservative,Hungarian Conservative,134
592204747588011,Momentum Mozgalom,Momentum Mozgalom,132
109734398272339,Dr. Mészáros Lajos,Dr. Mészáros Lajos,131
1215492498464496,Angyal Károly,Angyal Károly,128
189020783523,Mathias Corvinus Collegium - MCC,Mathias Corvinus Collegium Alapítvány,127
342785876208317,Mellár Tamás,Párbeszéd Magyarországért,119
1624742971133297,Sanofi Magyarország,Sanofi-Aventis Magyarország Kereskedelmi és Szolgáltató Zrt.,117
120800934626447,United Way Magyarország,United Way Magyarország,116
150836998898897,aHang,aHang,112
421262681731198,Vasarnap.hu,Kovács K. Zoltán Alapítvány,111
851784814892644,Simicskó István,KDNP frakció,109
124991704202615,Magyar Természetvédők Szövetsége- Föld Barátai Magyarország,Magyar Természetvédők Szövetsége- Föld Barátai Magyarország,106
226496874112243,BULÁKE,BULÁKE,104
562864484060572,Fejér Vármegyei Kereskedelmi és Iparkamara,These ads ran without a disclaimer,≤100
318239484894380,érdioldal.hu,erdioldal.hu,≤100
85568463466,Mérce,Mérce,≤100
286146221590937,Direkt36,Direkt36,≤100
206829842043,Rétvári Bence,Rétvári Bence,≤100
545872002109034,Matkovich Ilona,Matkovich Ilona,≤100
186937904681332,Szabó Rebeka,Párbeszéd Magyarországért Párt,≤100
211156277497,WWF Hungary,WWF Hungary,≤100
109983377136210,Polgári Magyarországért Alapítvány,Polgári Magyarországért Alapítvány,≤100
520804294719829,Trippon Norbert,Trippon Norbert,≤100
