Page ID,Page name,Disclaimer,Amount spent (IDR)
23383061178,Prabowo Subianto,indonesia Adil makmur,905320
104052735675516,Sulut Dukung Ganjar,Ganjar Nusantara Indonesia,416845
104899195891472,Berita Ganjar Pranowo,Ganjar Nusantara Indonesia,347606
101350709331663,G24 News TV,Yayasan Golkar Institut SPKP,341515
1690573611256871,Pemerintah Kota Manado,Pemerintah Kota Manado,248294
104054595928021,Bakti Untuk Rakyat,Bakti Untuk Rakyat,200020
1419236281714929,Andrei Angouw,Andrei Angouw,132289
103013484811323,Jangan Lupa Sejarah,John Kamnahas,115769
104830667806476,Melihat Indonesia,Melihat Indonesia,76163
1408188616062841,Sofitel Bali Nusa Dua,Sofitel Bali Nusa Dua Beach Resort,66142
320858334728047,Partai Solidaritas Indonesia,Partai Solidaritas Indonesia,55556
105078282583947,Rumah Kita Korsel,Ganjar Nusantara Indonesia,52714
102656349157647,Tugimanisme,Tugimanisme,52457
101338198587608,Indonesia Luar Biasa,Ganjar Nusantara Indonesia,48154
202555993805088,Caption,Ganjar Nusantara Indonesia,47941
101708962895822,Ferdinand Eman Bappilu Partai Perindo SULUT,These ads ran without a disclaimer,44022
39253583478,PDI Perjuangan,Muhammad Miftakhunnaim,39516
100248349384577,Jateng Dukung Ganjar,Ganjar Nusantara Indonesia,36974
104844282389488,Kelas Digital Marketing,Kelas Digital Marketing,32521
100649018546817,GanjarFans,GanjarFans,31064
1500140530273695,Kimia Farma Care,Kimia Farma,21644
101679818973699,Sahabat Ganjar Pranowo,John Kamnahas,19457
105903795626960,Ruangcuan.com,Ruangcuan.com,17669
111864151754055,Esensi TV,Esensi Tv,16363
582402568517453,Coretan Kehidupan,Coretan Kehidupan,14125
108027765630824,Yunan Helmy Balamba,Yunan Helmy Balamba,13356
100145043048185,Ucapan Partai,Ucapan Partai,11714
110314634068233,Fadilah Bisnis,Fadilah Bisnis,11162
101674375744514,Media Cuan,Ipta Apipah,10282
193237974052689,Partai Keadilan Sejahtera,Partai Keadilan Sejahtera,9699
173776079818775,Saiful Mujani,Saidiman,9530
101760624522103,DPP Banteng Muda Indonesia,Farid Wahyudi,9511
882638978454921,Raja Juli Antoni,Raja Juli Antoni,8979
143840239716746,Indozone.id,PT. INDOZONE MEDIA INDONESIA,7471
106524371346347,NTBSATU.com,NTBSATU.com,7062
107600565668590,Munafri Arifuddin,Yayasan Golkar Institute,5875
102626198026698,Rika Sudjiman,Juniar Dwi Harianto,5866
100634344801574,Gus Raharjo,Septian Raharjo,5728
349963858704476,Komit Digital,These ads ran without a disclaimer,5258
109083348423534,Untuk Rakyat,Muhammad Miftakhunnaim,5048
104427162506872,Fakta Anies,Fakta Anies,4799
107565455160464,Indonesia Opini,Bayu Wicaksono,4295
114460673670696,Pati Raya ID,Bayu Wicaksono,4213
165114026832502,Grace Natalie,Partai Solidaritas Indonesia,4001
110037828037739,Jateng Pedia,Bayu Wicaksono,3950
100114991780678,Desain Template Pro,Desain Template Pro,3850
103581752405141,Sobar Harahap,Sobar Harahap,3593
109080054719110,Jakarta Trend,Bayu Wicaksono,3578
112121101796090,Opini 2024,Opini 2024,3471
105195635486519,Klise Nusantara,Bayu Wicaksono,3383
109625448794762,Glady Erina Patricia Kandouw,These ads ran without a disclaimer,3353
113058461386521,Mercusuar Indonesia,Bayu Wicaksono,3324
100246718451350,Pekalongan Raya ID,Bayu Wicaksono,3316
110865154735990,Koran Harian Tanah Air,Muhammad Miftakhunnaim,3199
106918395489616,Golkar Institute SPKP,Yayasan Golkar Institut SPKP,3092
110952238516382,Kiki Daliyo,Kiki Daliyo,2944
101403669397488,Nikmatul Sugiyarto,Nikmatul Sugiyarto,2938
110368964786452,Kemajuan Bersama,Muhammad Miftakhunnaim,2376
312490859193724,mensbatik,Bayu Setayudha,2263
118734481202493,Prihati Utami,Dwi Wantoro,2171
104799384898162,Indonesia Berkabar,Bayu Wicaksono,1810
120493494629294,Pikiran Rakyat,"Aditya Riantiko Akbar, ST",1807
110056788323890,Pikiran Indonesia,Bayu Wicaksono,1622
101338198587608,Indonesia Luar Biasa,Bayu Wicaksono,1504
107318141100190,Semarang Raya Terkini,Bayu Wicaksono,1489
113058461386521,Mercusuar Indonesia,Ganjar Nusantara Indonesia,1444
100359258525418,Pemulihan Lebih Baik,Muhammad Miftakhunnaim,1373
101866128977837,Belajar Pemilu,Muhammad Basir,1315
104799384898162,Indonesia Berkabar,Ganjar Nusantara Indonesia,1275
105195635486519,Klise Nusantara,Ganjar Nusantara Indonesia,1251
110056788323890,Pikiran Indonesia,Ganjar Nusantara Indonesia,1233
108676115131939,Nusantara Cerdas,Ganjar Nusantara Indonesia,1196
102497641558430,Indonesia Tolak HOAX,Muhammad Miftakhunnaim,1168
112417251582480,APEL - Aplikasi Pemenangan Eksekutif & Legislatif,APEL - Aplikasi Pemenangan Eksekutif & Legislatif,1152
105308715676825,Filosofi Indonesia,Ganjar Nusantara Indonesia,1147
107565455160464,Indonesia Opini,Ganjar Nusantara Indonesia,1137
106369021821580,Partai Buruh,Partai Buruh,1119
100676262667808,Story Nusantara,Ganjar Nusantara Indonesia,1098
100147872667354,Kata Nusantara,Ganjar Nusantara Indonesia,1092
116715223517954,YouSee Indonesia,YouSee Indonesia,1080
110100218339060,Wahai Ibu Pertiwi,Muhammad Miftakhunnaim,992
101076948451651,Masa Depan Kita,Muhammad Miftakhunnaim,936
303339530017265,Huawei For Indonesia,Wonny Nur Rimba Utami,852
197545083607941,Harian Kompas,Harian Kompas,851
108571334357297,Melangkah Lebih Baik,Muhammad Miftakhunnaim,842
102273039070802,Info Terkini,Muhammad Miftakhunnaim,816
100145043048185,Ucapan Partai,Jefri Haris Pratama,773
110481245377896,Kaka Sawaludin,These ads ran without a disclaimer,751
112365180213139,Kampus Langit,These ads ran without a disclaimer,682
1661918984048732,Rumah Kelor,These ads ran without a disclaimer,594
108695584343029,Baik Untuk Kita,Muhammad Miftakhunnaim,592
105308715676825,Filosofi Indonesia,Bayu Wicaksono,546
104533848318771,Pemalang Today,Bayu Wicaksono,438
109877614125610,Komatsu,These ads ran without a disclaimer,432
108676115131939,Nusantara Cerdas,Bayu Wicaksono,372
110750361762052,Pikiran Rakyat,Pikiran Rakyat,285
113307277699173,Info Kebumen Ngapak,Bayu Wicaksono,281
1547369918837496,Zulkifli Hasan,Media Center PAN,254
115139881566445,Gerald Milhan Nahuway,Gerald Milhan Nahuway,239
109804368568963,Cara Edit Foto,Cara edit foto,178
107785638177308,Laurentia,Andri Hartoyo,110
100663162957523,Prabowo Persatuan Indonesia,These ads ran without a disclaimer,≤100
102114435036822,Filosofi Jatim,Bayu Wicaksono,≤100
103584384805755,Soloraya Terkini,Bayu Wicaksono,≤100
202555993805088,Caption,Bayu Wicaksono,≤100
100676262667808,Story Nusantara,Bayu Wicaksono,≤100
109059280563381,PSB Hafizh Quran Indonesia,These ads ran without a disclaimer,≤100
106693958303611,Gerakan Nasional Dukung Ganjar,These ads ran without a disclaimer,≤100
117052698001766,First Wala,These ads ran without a disclaimer,≤100
107706102295108,Wire Tool,These ads ran without a disclaimer,≤100
