Page ID,Page name,Disclaimer,Amount spent (GBP)
7715002593,UNICEF UK,Unicef UK,167
106626487721376,Amazon Europe,Amazon Europe,141
147064371974492,nibusinessinfo.co.uk,Invest Northern Ireland,≤100
148726998530273,Sinn Féin Ireland,Sinn Féin Ireland,≤100
311627208673,WWF UK,WWF UK,≤100
9250349228,Greenpeace UK,Greenpeace UK,≤100
345463602161853,bp,bp,≤100
290498754454402,European Movement UK,European Movement UK,≤100
119085418114832,The Body Shop,The Body Shop,≤100
208516013018318,Equality Commission for Northern Ireland,Equality Commission for Northern Ireland,≤100
344629179474463,Crimestoppers Northern Ireland,Crimestoppers Northern Ireland,≤100
569834799727730,National Grid UK,National Grid UK,≤100
102639461303190,Fair Pay For All,Fair Pay For All,≤100
403187191250,Soccer Aid,UNICEF UK,≤100
110861655604080,Friends of the Earth,Friends of the Earth (EWNI),≤100
799576543492660,The Week Junior,The Week Junior,≤100
2386526881419158,USR Marea Britanie,Uniunea Salvati Romania,≤100
121936349543,World Vision UK,World Vision UK,≤100
101602743218479,Stop It Now! UK and Ireland,"Stop It Now! UK and Ireland, The Lucy Faithfull Foundation",≤100
105298484651843,SME Climate Hub,SME Climate Hub,≤100
177855115588808,The Week UK,The Week UK,≤100
104255571968810,Save My Vape,Save My Vape,≤100
13047522725,Crimestoppers,Crimestoppers,≤100
117476785190,Save the Children UK,Save the Children UK,≤100
7043497714,Christian Aid,Christian Aid,≤100
195754307110390,Right To Life UK,Right To Life UK,≤100
1738524969810037,Mission India UK,Mission India UK,≤100
34044296391,Surfers Against Sewage,Surfers Against Sewage,≤100
104768005247443,Say No To WHO,Say no to WHO,≤100
35671512696,World Animal Protection UK,World Animal Protection UK,≤100
123311187737843,GSK,GSK,≤100
186622728032,RSPB,RSPB,≤100
10114144851,NSPCC,NSPCC,≤100
26698813123,British Red Cross,British Red Cross,≤100
490007667679401,Hugh James,Hugh James,≤100
112712550420527,Ekō UK,Ekō,≤100
246872175166,Action Against Hunger UK,Action Against Hunger UK,≤100
55984857501,Open Doors UK & Ireland,Open Doors with Brother Andrew,≤100
175338329150218,Help For Heroes,Help for Heroes,≤100
