Page ID,Page name,Disclaimer,Amount spent (NZD)
337477311451,New Zealand Labour Party,NZ Parliamentary Service on behalf of New Zealand Labour Party,1392
183355881680015,New Zealand National Party,New Zealand National Party,520
1671535913101759,Entrust,Entrust New Zealand,487
116362033529,Amnesty International Aotearoa New Zealand,Amnesty International Aotearoa New Zealand,464
341865911020,ASB Bank,ASB Bank Ltd,412
103881760966661,Gen Less,Energy Efficiency & Conservation Authority,363
106194579030381,Doctors Without Borders / Médecins Sans Frontières NZ,Doctors Without Borders / Médecins Sans Frontières NZ,297
173912362663564,Electoral Commission NZ,Electoral Commission NZ,257
11870725774,Greenpeace Aotearoa,Greenpeace NZ,239
37547788323,UNICEF Aotearoa,UNICEF Aotearoa,191
154331724631584,David Seymour,the Parliamentary Service on behalf of ACT New Zealand,≤100
100432998389927,Karen Chhour MP,the Parliamentary Service on behalf of ACT New Zealand,≤100
684508498380306,Trees That Count,Trees That Count,≤100
641351882638282,Squirrel Financial Services,Squirrel Financial Services,≤100
92043134118,ACT,ACT,≤100
1966234280281774,Brooke van Velden MP,ACT,≤100
689146908145006,Free Speech Union,Free Speech Union,≤100
165702023478421,Family First New Zealand,Family First New Zealand,≤100
104174354363267,Christopher Luxon,New Zealand National Party,≤100
110909661534199,The Common Room NZ,The Common Room NZ,≤100
113846130364869,Rima Nakhle for Takanini,New Zealand National Party (Takanini Electorate),≤100
92043134118,ACT,the Parliamentary Service on behalf of ACT New Zealand,≤100
102500959802535,World Vision New Zealand,World Vision New Zealand,≤100
219289338105607,Volvo Car New Zealand,Volvo Cars New Zealand,≤100
106157572429609,Cameron Brewer for Upper Harbour,Cameron Brewer for Upper Harbour,≤100
408747529491004,Department of Conservation,Department of Conservation,≤100
185590638873,NZHL Home Loans / Insurance,NZHL Home Loans / Insurance,≤100
102887312771425,Greg Fleming,Greg Fleming for Maungakiekie,≤100
376006035816016,Storyworth,These ads ran without a disclaimer,≤100
175954932952,WWF New Zealand,WWF New Zealand,≤100
1591672150854791,The Doctors NZ,Green Cross Health,≤100
107372172303903,Aotearoa Covid Action,Aotearoa Covid Action,≤100
110186134060806,Fairness in Focus,Medicines New Zealand,≤100
100113565101028,Vanushi Walters MP,NZ Parliamentary Service on behalf of Vanushi Walters MP,≤100
346186225761296,Erica Stanford MP,Erica Stanford MP,≤100
403868133556427,Palestine Solidarity Network Aotearoa - PSNA,Palestine Solidarity Network Aotearoa,≤100
116450041373720,Siva Kilari for Manurewa,Manurewa National Party,≤100
19648092895,Tearfund New Zealand,Tearfund New Zealand,≤100
305655596286980,Paul Goldsmith,NZ Parliamentary Service on behalf of Paul Goldsmith MP,≤100
417859725433,SAFE,Save Animals From Exploitation Incorperated,≤100
112431991697294,Animal Justice Party Aotearoa NZ,Animal Justice Party Aotearoa NZ,≤100
106059942804231,Michael Wood,NZ Parliamentary Service on behalf of Michael Wood MP,≤100
111233808354207,Pakistan Association of Otago,These ads ran without a disclaimer,≤100
123674487757196,New Zealand Nurses Organisation - NZNO,New Zealand Nurses Organisation - NZNO,≤100
137540437632,Forest & Bird,Forest & Bird,≤100
203953359629611,Voice For Life,Voice for Life,≤100
465748424201568,The Hive NZ,The Hive NZ,≤100
100278988277160,Simon Watts MP for North Shore,Parliamentary Service on behalf of Simon Watts MP,≤100
564453323744421,TOP - The Opportunities Party,TOP - The Opportunities Party,≤100
1281262645251755,Hobson's Pledge,Hobson's Pledge,≤100
104411054853609,Mark Cameron - ACT List MP,the Parliamentary Service on behalf of ACT New Zealand,≤100
110077017479600,One Sun in the Sky,Ewen Frank Mcqueen,≤100
102343868581854,Camping the Kiwi Way,Gary James Stoneley,≤100
108217938914452,Bill Dyet - Democracy NZ Candidate for Whangaparaoa,Democracy New Zealand,≤100
107779071706591,Chopper #TeamChopper,These ads ran without a disclaimer,≤100
100432998389927,Karen Chhour MP,ACT,≤100
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100
104933318726067,Inspiring Pets Christchurch,Inspiring Pets Christchurch,≤100
23625700722,Oxfam,Oxfam Aotearoa,≤100
162545830471141,Auckland Marine Centre,These ads ran without a disclaimer,≤100
110974094005509,Nicole McKee MP,the Parliamentary Service on behalf of ACT New Zealand,≤100
83022598290,Trade Aid New Zealand,Trade Aid New Zealand,≤100
140624709826089,March for Life NZ,March for Life NZ,≤100
6321018343,The Japan Times,These ads ran without a disclaimer,≤100
100171345951023,Fridays for Future Tāmaki Makaurau,Fridays for Future Tāmaki Makaurau,≤100
206932501046,Habitat for Humanity New Zealand,Habitat for Humanity New Zealand,≤100
105681068874945,Ag Matters,New Zealand Agricultural Greenhouse Gas Research Centre,≤100
309846686264586,Scott Watson Fact,Thomas John Watson,≤100
1966234280281774,Brooke van Velden MP,the Parliamentary Service on behalf of ACT New Zealand,≤100
116308369063243,Kambria,These ads ran without a disclaimer,≤100
102624329113893,Sam Uffindell MP,New Zealand Parliament,≤100
190111368113833,Mums At The Table,These ads ran without a disclaimer,≤100
1883003128429295,Queer Majority,These ads ran without a disclaimer,≤100
208371683037269,NBCU Catalyst,These ads ran without a disclaimer,≤100
108232567797413,Mondo4africa,These ads ran without a disclaimer,≤100
100374392742057,Weregreenly- Magazine,These ads ran without a disclaimer,≤100
101981918812659,Sindjus,These ads ran without a disclaimer,≤100
106170661628518,香港V,These ads ran without a disclaimer,≤100
