Page ID,Page name,Disclaimer,Amount spent (COP)
105598124675352,General Juvenal Díaz,General Juvenal Díaz,509702
254413518635171,Carlos Sotomonte,Carlos Sotomonte,327033
101897976168381,Vamos a crecer,Vamos a crecer,285358
121669444208502,Sergio Flechas,Sergio Flechas,111985
497475647076975,Fabian Oviedo,Fabian Oviedo,87324
114891091473899,Luis Francisco Oliveros,Luis Francisco Oliveros,50333
1431824383809561,Camilo Torres,Ivonne Mariana Torres Prada,50227
1458739367777443,Wilson Gonzalez Piedecuesta,Wilson Gonzalez,49863
191459311042712,Jaime Andrés,Jaime Andrés,41314
100563549504491,Juan Torres Ortega,Pacto por el Cambio,39510
207832423191171,Emiro Arias,Emiro Arias,37623
104709710873196,Raimundo Duarte Diaz,Raimundo Duarte Diaz,35814
109415451925188,gompe13,These ads ran without a disclaimer,34465
1391674454185591,Concejal Kelly Ortiz,Kelly Ortiz,34313
370492339735164,Centro Democrático - Comunidad Oficial,Centro Democrático - Comunidad Oficial,27768
103445938692040,Sebastián Morales,Sebastian Morales,18519
827309657396301,Yamit Noe Hurtado,Yamit Noe Hurtado,17579
104237548662249,Centro de Emprendimiento Impúlsate,Sebastian Galeano,15464
105584695744977,Germán Ordóñez Plata,Germán Ordóñez Plata,11070
308580499200723,Alcaldía de Medellín,Alcaldia de Medellìn,9630
122565324152467,Elromeroese,Eliécer Romero Ramírez,9525
105848177845789,All Out en español,All Out Action Fund,8135
2170467886610139,Leonardo Silva,Leonardo Silva,7654
102565081094412,Orlando Ariza Por Vélez,Orlando Ariza Por Vélez,7611
103727635426939,Alexandra Vásquez Ochoa,Leider Alexandra Vasquez Ochoa,6796
109023772053741,Movil Consultores Academy,Movil Consultores Academy,6433
969143216462972,Felipe Cañizalez,Andreina Quintero Correa,6291
104432524252906,Página: Leonardo Neira Alvarez,Página: Leonardo Neira Alvarez,6231
1648417351861251,Cristian Mestra,Cristian Mestra,5735
1147318942107929,Todos Somos Una,DEBRAIN LLC,5673
513075715554189,Área de inversión,These ads ran without a disclaimer,5177
807500072661945,AsoVape,AsoVape,4690
105109280969000,Agencia Axioma,Agencia Axioma,4644
581095835894514,Noticentro 1 CM&,Noticentro 1 CM&,4299
670393546635457,Ante Todo Colombia,Maria Alejandra Ramirez Jaraba,3710
102143071616787,Goberna Colombia,Goberna,2207
851680034864966,Proantioquia,FUNDACION PARA EL DESARROLLO DE ANTIOQUIA. ANTIOQUIA POR COLOMBIA,2063
1400280116941194,Fabian Diaz,Fabian Diaz,1744
111270314570537,Ultima Hora Casanare,Ultima Hora Casanare,1668
503621983303342,Oscar Mauricio Toro,Oscar Mauricio Toro Valencia,1630
107371007722417,El Santanderista,These ads ran without a disclaimer,1616
110673818587137,Eicman Murillo,Eicman Murillo,1520
102281334798479,Anderson Acosta Torres,These ads ran without a disclaimer,1466
125807057434859,laschivasdelllano.com,laschivasdelllano.com,1357
1737937156478529,Carlos Felipe López López,Carlos Felipe Lopez Lopez,1225
100475532513857,Cristian Halaby,Cristian Halaby,1199
174235299412685,Cinep Programa Por la Paz,Fundación Centro de Investigación y Educación Popular CINEP,1144
104624142451363,Hugo Kerguelén,Hugo Kerguelen,1004
1059459884138781,Mauricio Tobón Franco.,Mauricio Tobón Franco,994
833347613398414,Oscar Campo,Juan Pablo Matta Casas,943
121638447515460,Marcelo Almeida,These ads ran without a disclaimer,937
365042347704443,CP Carlos Padilla,Carlos Padilla,881
1319410371405224,Marketing Político,Mauricio Florez-Morris,772
194315573916010,Norma Hurtado Sanchez,Norma Hurtado Sánchez,741
834788683237384,William Villamizar Laguado,William Villamizar Laguado,677
131753023639902,Aldemar Alfaro,Aldemar Alfaro Rivero,669
838927469815494,Diana Diago,Diana Marcela Diago,659
108337371524077,Café Café Hotel Campestre,These ads ran without a disclaimer,628
112155252163421,Sebastián López V.,Sebastian Lopez Valencia,605
101549488997249,Liliana Yúnez Luquetta,Fundación Política,518
116544396862942,Unión Legal y Tributaria S. A. S,Unión Legal y Tributaria S. A. S,495
626538870727500,Felipe Urrea,Diego Felipe Urrea Vanegas,467
148349507804,El Tiempo,Casa Editorial El Tiempo,450
466445923412524,Miguel Ángel Barreto,Joshua Escobar Rengifo,432
