Page ID,Page name,Disclaimer,Amount spent (IDR)
104054595928021,Bakti Untuk Rakyat,Bakti Untuk Rakyat,138638
112570091503539,GP Papua,Ganjar Nusantara Indonesia,67658
23383061178,Prabowo Subianto,indonesia Adil makmur,52899
101350709331663,Golkar 2024,Yayasan Golkar Institut SPKP,50149
106690092440342,Pemilu KIT,Ramdan Casmara,25672
333711983956998,Erwin Aksa,Yayasan Golkar Institute SPKP,19204
320858334728047,Partai Solidaritas Indonesia,Partai Solidaritas Indonesia,17710
115932231425447,Prov PBD,These ads ran without a disclaimer,16090
104844282389488,Kelas Digital Marketing,Kelas Digital Marketing,15566
1357693677594211,A Muhaimin Iskandar,Kebangkitan Bangsa,15337
111864151754055,Esensi TV,Esensi Tv,15019
107600565668590,Munafri Arifuddin,Yayasan Golkar Institute,11095
106918395489616,Golkar Institute SPKP,Yayasan Golkar Institut SPKP,6241
100649018546817,GanjarFans,GanjarFans,5809
256838011014355,Partai Gerakan Indonesia Raya (Gerindra),Partai Gerindra,4679
106919112303644,Jasa Pembuatan Video,Jasa Pembuatan Video,4483
105903795626960,Ruangcuan.com,Ruangcuan.com,4357
109313168788354,Dinas NakerTrans & ESDM PBD,These ads ran without a disclaimer,3453
110314634068233,Fadilah Bisnis,Fadilah Bisnis,2764
103330282779367,Dua Digits Creative,Fikri Aziz,2491
103013484811323,Jangan Lupa Sejarah,John Kamnahas,2047
101679818973699,Sahabat Ganjar Pranowo,John Kamnahas,1886
102791229290192,Caleg Stater Kit,Caleg Stater Kit,1663
101674375744514,Media Cuan,Ipta Apipah,1644
1439643272932626,Ongky Hojanto,These ads ran without a disclaimer,1606
1547369918837496,Zulkifli Hasan,Media Center PAN,1401
160355148441,Tempo Media,TEMPO,1267
117799294648639,Rangkai Digital,These ads ran without a disclaimer,1250
102766222761227,Resep Teh Nicke - Dapur Kania,These ads ran without a disclaimer,1193
1750327695198658,Kordias Pasaribu SH MSi,These ads ran without a disclaimer,1134
582402568517453,Coretan Kehidupan,Coretan Kehidupan,986
1608977916030049,Berebut RI1,These ads ran without a disclaimer,964
165114026832502,Grace Natalie,Partai Solidaritas Indonesia,832
109589018710787,Desain Promosi,Desain Promosi,778
100159712647702,Fakta Anies Baswedan,Fakta Anies Baswedan,736
101760624522103,DPP Banteng Muda Indonesia,Farid Wahyudi,685
106524371346347,NTBSATU.com,NTBSATU.com,682
116715223517954,YouSee Indonesia,YouSee Indonesia,671
100145043048185,Ucapan Partai,Ucapan Partai,617
106256777922958,SEA Today News,These ads ran without a disclaimer,613
