Page ID,Page name,Disclaimer,Amount spent (EUR)
106626487721376,Amazon Europe,Amazon Europe,2149
119717121028852,Rheinland-Pfalz Gold,"Ministerium für Wirtschaft, Verkehr, Landwirtschaft und Weinbau Rheinland-Pfalz",1475
201065353264638,yello,yello,777
122074554119,EU Social,EU Social,731
584445455088799,Sozialwahl 2023,Sozialwahl 2023,513
22541752487,Greenpeace Deutschland,Greenpeace Deutschland,401
331832984040,LichtBlick,LichtBlick,334
102169625710148,ClimaClic,Burda Direct GmbH,271
81386795687,CSU (Christlich-Soziale Union),CSU (Christlich-Soziale Union),244
103822184707126,Shell Deutschland,Shell Deutschland,229
1790920000965539,CDU CSU Europa,CDU/CSU-Gruppe in der EVP-Fraktion im Europäischen Parlament,226
218786540044,WWF Deutschland,WWF Deutschland,217
75492447764,GLS Bank,GLS Bank,172
2042769265944087,Energie Heute,Energie Heute,156
1852185055034835,Bayernwerk,Bayernwerk Netz GmbH,139
164014383647221,BARMER,BARMER,131
170688644503,UNICEF Deutschland,UNICEF Deutschland,125
56497026719,SOS-Kinderdörfer weltweit,SOS-Kinderdörfer weltweit Hermann-Gmeiner-Fonds Deutschland e.V.,113
100468876017523,Welcoming Out,Welcoming Out gUG (haftungsbeschränkt),≤100
273454591804,SOS-Kinderdorf Deutschland,SOS-Kinderdorf e.V.,≤100
134278719946186,Bayer,Bayer AG,≤100
114186703597807,VIER PFOTEN,VIER PFOTEN,≤100
106896292163793,mehr-schutz.de,AstraZeneca GmbH,≤100
236934790401,UNO-Flüchtlingshilfe,UNO-Flüchtlingshilfe,≤100
109709025713963,Bayerischer Jugendring,Bayerischer Jugendring,≤100
133306764192,NABU Bundesverband,NABU Bundesverband,≤100
82734241364,Campact e.V.,Campact e.V.,≤100
292410104121991,FU Bayern (Frauen-Union Bayern),FU Bayern (Frauen-Union Bayern),≤100
484950398505596,IRC Deutschland,IRC Deutschland,≤100
111501317017740,Motatos Deutschland,Motatos,≤100
451980374985742,ecoligo,ecoligo,≤100
511785248971976,"Bundesministerium für Familie, Senioren, Frauen und Jugend","Bundesministerium für Familie, Senioren, Frauen und Jugend",≤100
718677004826671,Deutsche Umwelthilfe,Deutsche Umwelthilfe,≤100
109573920927141,Ichwillfair,Initiative für nachhaltige Agrarlieferketten,≤100
332923170220,ONE Deutschland,ONE Deutschland,≤100
572946872759259,Bayerisches Staatsministerium für Gesundheit und Pflege,Bayerisches Staatsministerium für Gesundheit und Pflege,≤100
389053494880517,Buderus Deutschland,Buderus Deutschland,≤100
439408326144566,CSU Stadtratsfraktion Nürnberg,CSU Stadtratsfraktion Nürnberg,≤100
681235575290345,Landratsamt Neustadt an der Waldnaab,Landratsamt Neustadt an der Waldnaab,≤100
2135010219947091,MINTmagie,Bundesministerium für Bildung und Forschung,≤100
147245511963527,DGB,Deutscher Gewerkschaftsbund (DGB),≤100
453150811428411,Mastercard,Mastercard,≤100
478399422560922,KadeFungin,DR. KADE,≤100
67003546475,Deutsches Rotes Kreuz,Deutsches Rotes Kreuz e.V.,≤100
1509790395958123,Aktion gegen den Hunger,Aktion gegen den Hunger,≤100
102141349030369,Deutsche Energie Werke GmbH,Deutsche Energie Werke GmbH,≤100
2188342231399828,HSI/Deutschland,HSI Europe,≤100
2364034560297457,Christian Doleschal,Christian Doleschal,≤100
1508446642792459,Vattenfall,Vattenfall Deutschland,≤100
593476900673774,ifaw,ifaw,≤100
116335026590900,Mülltrennung wirkt,die dualen Systeme,≤100
108561735535463,Ekaterina Gutner,AfD Stadtratsfraktion Nuernberg,≤100
183448258342806,Angelika Niebler,EVP-Fraktion im Europäischen Parlament,≤100
146049068749703,BayernSPD Landtagsfraktion,BayernSPD Landtagsfraktion,≤100
141410219264688,SENEC,SENEC GmbH,≤100
44511549119,Konrad-Adenauer-Stiftung,Konrad-Adenauer-Stiftung e.V.,≤100
121678260974,Initiative Neue Soziale Marktwirtschaft (INSM),Initiative Neue Soziale Marktwirtschaft,≤100
457569408150093,Weil's hilft,GESUNDHEIT AKTIV e. V. Bürger- und Patientenverband,≤100
139198812763279,Misereor,Misereor,≤100
21242962092,ClientEarth,ClientEarth Deutschland,≤100
130534873659391,Green Planet Energy,Green Planet Energy eG,≤100
78309442751,Bayernpartei,Bayernpartei,≤100
108550857143852,Environmental Justice Foundation Deutschland,Environmental Justice Foundation Charitable Trust Deutschland gGmbH,≤100
103919417972272,Unabhängige Beauftragte für Fragen des sexuellen Kindesmissbrauchs,Unabhängige Beauftragte für Fragen des sexuellen Kindesmissbrauchs,≤100
257109840993812,Companisto,Companisto,≤100
103783818623136,DieBasis München,dieBasis KV-München,≤100
955766184451957,Das Handwerk,Deutscher Handwerkskammertag (DHKT) e. V.,≤100
1947378708884004,Initiative Frosch,Initiative Frosch,≤100
145944615464920,Polarstern Energie,Polarstern Energie,≤100
123910440019,Renew Europe,Renew Europe Group,≤100
100345702834585,All Out Deutschland,All Out,≤100
111698888335211,Daskannkunststoff,ALPLA Werke Alwin Lehner GmbH & Co KG,≤100
1093989863995799,hep,hep global GmbH,≤100
116449375528,foodwatch,foodwatch e.V.,≤100
1062482463795133,Liebesleben,Bundeszentrale für gesundheitliche Aufklärung (BZgA),≤100
259770724096761,Animal Equality Germany,Animal Equality Germany e.V.,≤100
2211978065729846,Bundesministerium für Ernährung und Landwirtschaft - BMEL,Bundesministerium für Ernährung und Landwirtschaft,≤100
160355334000102,PLANT-MY-TREE,PLANT-MY-TREE,≤100
1565754943752371,Robert Farle,Robert Farle,≤100
1522341597824314,Eigenheimerverband Bayern e.V.,Eigenheimerverband Bayern e.V.,≤100
135591596484147,ABDA - Bundesvereinigung Deutscher Apothekerverbände e. V.,ABDA - Bundesvereinigung Deutscher Apothekerverbände e. V.,≤100
263503200272,Welthungerhilfe,Welthungerhilfe,≤100
115284013260598,"Kathrin Pollack,  SPD","Kathrin Pollack,  SPD",≤100
1540045636302649,Arolsen Archives,Arolsen Archives,≤100
150793518281117,Covestro,Covestro,≤100
126278760909051,St. Josefs Indianer Hilfswerk,St. Josefs Indianer Hilfswerk e.V.,≤100
100224586292769,Vote16 - Wahlrecht ab 16 in Bayern,votesixteen e.V.,≤100
102554566086120,Dr. Michael Ruoff,Dr. Michael Ruoff,≤100
1685832891464983,nebenan.de Stiftung,nebenan.de Stiftung,≤100
567366010021216,Bundesministerium der Justiz,Bundesministerium der Justiz,≤100
343364921106,Caritas international,Caritas international,≤100
150527751674751,Greens/EFA in the European Parliament,Greens/EFA in the European Parliament,≤100
124232857644437,Rowohlt Verlag,Rowohlt Verlag,≤100
109268274798247,E-Fuels-Forum,CLASSIC Tankstellen GmbH & Co. KG,≤100
100166866328132,Rene Dierkes,AfD Kreisverband München Ost,≤100
276040002549416,FREIE WÄHLER Bayern,Freie Wähler Bayern,≤100
144380008933707,SPD-Fraktion im Bundestag,SPD-Bundestagsfraktion,≤100
107085727344683,Mein Schlüssel zur Welt,Bundesministerium für Bildung und Forschung,≤100
101274842793956,Greenpeace grad jetzt,Greenpeace e.V.,≤100
102505911172634,Olga Petersen AfD,Olga Petersen AfD,≤100
156449679027,Renovabis,Renovabis e.V.,≤100
106557304106077,Plan E,stiftung elektro-altgeräte register,≤100
206584163580,Stiftung Mercator,Stiftung Mercator,≤100
121899617518682,Hans Friedl,Hans Friedl,≤100
399241730563,Quarks,Westdeutscher Rundfunk Köln,≤100
1393167744264822,Bundesministerium für Digitales und Verkehr,Bundesministerium für Digitales und Verkehr,≤100
117738101626747,GP JOULE,GP JOULE GmbH,≤100
105123672171340,Johannes Hunger,Bündnis 90/Die Grünen Kreisverband Landkreis Landshut,≤100
237087969829041,"Karton, natürlich",Fachverband Kartonverpackungen für flüssige Nahrungsmittel e.V. (FKN),≤100
123292927706635,junge Welt,junge Welt,≤100
104389425384135,Arbeitgeber Land Hessen,Hessisches Ministerium des Innern und für Sport,≤100
111789447030484,Bundesfinanzministerium,Bundesfinanzministerium,≤100
136260152219,World Vision Deutschland e.V.,World Vision Deutschland e.V.,≤100
103919417972272,Unabhängige Beauftragte für Fragen des sexuellen Kindesmissbrauchs,Unabhängiger Beauftragter für Fragen des sexuellen Kindesmissbrauchs,≤100
200752383293733,International Justice Mission,International Justice Mission,≤100
611910082337980,VerbraucherCheck.net,VerbraucherCheck.net,≤100
