Page ID,Page name,Disclaimer,Amount spent (IDR)
101350709331663,Golkar 2024,Yayasan Golkar Institut SPKP,1007929
23383061178,Prabowo Subianto,indonesia Adil makmur,487763
104054595928021,Bakti Untuk Rakyat,Bakti Untuk Rakyat,457246
335546226915564,Generasi Melek Politik,Generasi Melek Politik,370470
320858334728047,Partai Solidaritas Indonesia,Partai Solidaritas Indonesia,78231
111864151754055,Esensi TV,Esensi Tv,77976
333711983956998,Erwin Aksa,Yayasan Golkar Institute SPKP,63662
544107539358354,"Dr. H. Rusman Ya'qub, SPd, MSi",Rusman Yaqub,61710
104844282389488,Kelas Digital Marketing,Kelas Digital Marketing,46890
108132042285089,Erwin Aksa,Yayasan Golkar Institute,37265
735179230603344,Rahmat Dermawan,Rahmat Dermawan,34204
112465261559898,Lensa Kutai Kartanegara,Berita Kota,27600
106918395489616,Golkar Institute SPKP,Yayasan Golkar Institut SPKP,27478
105425845606525,Balikpapan terdepan,Berita Kota,26026
101872465967714,Samarinda Bahagia,Ganjar Nusantara Indonesia,24212
107600565668590,Munafri Arifuddin,Yayasan Golkar Institute,18212
106690092440342,Pemilu KIT,Ramdan Casmara,15897
1547369918837496,Zulkifli Hasan,Media Center PAN,15485
105903795626960,Ruangcuan.com,Ruangcuan.com,13352
110865154735990,Koran Harian Tanah Air,Muhammad Miftakhunnaim,11296
102060486500863,The Jakarta Post,PT. Bina Media Tenggara,10874
101674375744514,Media Cuan,Ipta Apipah,9722
1620632751542044,Isyana Bagoes Oka,Partai Solidaritas Indonesia,7624
193237974052689,Partai Keadilan Sejahtera,Partai Keadilan Sejahtera,7110
102273039070802,Info Terkini,Muhammad Miftakhunnaim,5941
1500140530273695,Kimia Farma Care,Kimia Farma,5554
349963858704476,Komit Digital,Komit Digital,5344
101760624522103,DPP Banteng Muda Indonesia,Farid Wahyudi,5256
104830667806476,Melihat Indonesia,Melihat Indonesia,4991
102791229290192,Caleg Stater Kit,Caleg Stater Kit,4462
104899195891472,Berita Ganjar Pranowo,Ganjar Nusantara Indonesia,4293
39253583478,PDI Perjuangan,PDI Perjuangan,4261
160355148441,Tempo Media,TEMPO,4102
108156498584853,Tetap Puan,Marabunta Family Cyber,3642
197545083607941,Harian Kompas,Harian Kompas,3582
173776079818775,Saiful Mujani,Saidiman,3272
100159712647702,Fakta Anies Baswedan,Fakta Anies Baswedan,3191
102992659323593,Komit Studio,Komit Studio,3165
104427162506872,Fakta Anies,Fakta Anies,3159
582402568517453,Coretan Kehidupan,Coretan Kehidupan,2663
2226767280926469,Puteri Anetta Komarudin,Puteri Anetta Komarudin,2443
102656349157647,Tugimanisme,Tugimanisme,2349
106919112303644,Jasa Pembuatan Video,Jasa Pembuatan Video,2030
615278595537091,SimCaleg - Aplikasi Pemilihan Legislatif,SimCaleg - Aplikasi Pemilihan Legislatif,2001
102635291884233,Majalah Tempo,TEMPO,1930
105078282583947,Rumah Kita Korsel,Ganjar Nusantara Indonesia,1899
101403669397488,Nikmatul Sugiyarto,Nikmatul Sugiyarto,1823
103581752405141,Sobar Harahap,Sobar Harahap,1795
100114991780678,Desain Template Pro,Desain Template Pro,1762
40841178757,Elnino Mohi,Elnino Mohamad Husein Mohi,1758
116715223517954,YouSee Indonesia,YouSee Indonesia,1730
106287625764574,Teman Dito,Barry Eko Lesmana,1598
110952238516382,Kiki Daliyo,Kiki Daliyo,1494
454443728018581,Darmansyah Husein,Ilman Nafian,1466
112121101796090,Opini 2024,Opini 2024,1416
366143080610045,Kelas Online Membuat Website,KelasMaster.id,1356
100623822560740,Lintas Topik Anies,Lintas Topik Anies,1351
118734481202493,Prihati Utami,Dwi Wantoro,1213
312490859193724,mensbatik,Bayu Setayudha,1198
109083348423534,Untuk Rakyat,Muhammad Miftakhunnaim,1084
102326656218697,Relawan INDI,These ads ran without a disclaimer,1054
102626198026698,Rika Sudjiman,Juniar Dwi Harianto,874
101866128977837,Belajar Pemilu,Muhammad Basir,797
256838011014355,Partai Gerakan Indonesia Raya (Gerindra),Partai Gerindra,778
101228692503239,Opini Publik,Opini Publik,694
103301445622409,Aksi Tanggap Anies,Aksi Tanggap Anies,663
110368964786452,Kemajuan Bersama,Muhammad Miftakhunnaim,613
108571334357297,Melangkah Lebih Baik,Muhammad Miftakhunnaim,592
303339530017265,Huawei For Indonesia,Wonny Nur Rimba Utami,504
112417251582480,APEL - Aplikasi Pemenangan Eksekutif & Legislatif,APEL - Aplikasi Pemenangan Eksekutif & Legislatif,501
100359258525418,Pemulihan Lebih Baik,Muhammad Miftakhunnaim,490
102497641558430,Indonesia Tolak HOAX,Muhammad Miftakhunnaim,474
106524371346347,NTBSATU.com,NTBSATU.com,454
152596584942580,H. Risdianto Haleng HB,H. Risdianto Haleng HB,446
103830979397345,lembuirenq,These ads ran without a disclaimer,427
110100218339060,Wahai Ibu Pertiwi,Muhammad Miftakhunnaim,398
114752574954431,Subandi Samarinda,These ads ran without a disclaimer,390
108482345585973,Warkop Giti,These ads ran without a disclaimer,363
104843487722931,Portal Islam id,Portal Islam ID,341
108695584343029,Baik Untuk Kita,Muhammad Miftakhunnaim,302
106004407402000,Cakap Politik,Cakap Politik,261
112811807976569,skep.dian.istiqomah,These ads ran without a disclaimer,224
116472660226900,putriabner,These ads ran without a disclaimer,197
109793991710079,Jane Natalia Suryanto,Jane Natalia Suryanto,149
102176125918052,Sahabat Jane,Sahabat Jane,≤100
212811572075740,Pemerintah Kota Malang,Ayu Fitria Mandarasari,≤100
106847435697504,Hanry Sulistio,These ads ran without a disclaimer,≤100
107785638177308,Laurentia,Andri Hartoyo,≤100
115139881566445,Gerald Milhan Nahuway,Gerald Milhan Nahuway,≤100
114186743283123,Australia Express,These ads ran without a disclaimer,≤100
1452232881531908,UNICEF East Asia & Pacific,These ads ran without a disclaimer,≤100
