Page ID,Page name,Disclaimer,Amount spent (PYG)
242259253120490,Igualdad de Genero SÍ,Igualdad de Genero SÍ,58161
140457539356382,Gabinete Social Presidencia de la República del Paraguay,Gabinete Social Presidencia de la República del Paraguay,25954
272098156231873,Diario HOY Paraguay,Diario HOY Paraguay,5234
278226125974096,El Paraguayo Independiente,Paraguayo Independiente,3362
359307964420456,Terere Cómplice,Centro Interdisciplinario de Investigación Social,1005
2271652869544024,"Ygnacio  ""Nacho"" Sánchez.",Ygnacio Daniel Sanchez Duarte,716
258712438172291,Santiago Aguilera,Martin Ricardo Stachon,578
123892278310235,Eduardo Valiente,Eduardo Valiente,326
105991485310502,FundacionInspirat,These ads ran without a disclaimer,≤100
105587720883344,Bettina Aguilera,Bettina Rosmary Aguilera Paniagua,≤100
363306313879750,Marle Chispita Orue,Marlene Tatiana Orue Leon,≤100
1702138929926817,Mongabay Latam,These ads ran without a disclaimer,≤100
430961180344844,EVER VILLALBA,Ever Federico Villalba Martinez,≤100
242118359309178,Ricardo Estigarribia,Ricardo Estigarribia,≤100
