Page ID,Page name,Disclaimer,Amount spent (USD)
343780273395073,"Hon. George Mireku Duker - MP, Tarkwa-Nsuaem.","Gomashie, Wisdom",≤100
1885114401706195,Dr. Matthew Opoku Prempeh,Dr. Matthew Opoku Prempeh,≤100
519608978084713,Ghana Education Trust Fund,Ghana Education Trust Fund (GETFund),≤100
260928220666861,Dr. Mahamudu Bawumia,Dr. Mahamudu Bawumia,≤100
102179325363565,Samuel A. Jinapor,Samuel Abdulai Jinapor,≤100
113634921611422,Ernest Adomako,Ernest Adomako,≤100
131189377574,MDPI,These ads ran without a disclaimer,≤100
102835561511292,Hajia Lariba Abudu,Awal Mohammed Muktar,≤100
101235586285336,Martin Ayambire,These ads ran without a disclaimer,≤100
562471887119419,DHL Africa,These ads ran without a disclaimer,≤100
984203991753488,Research Outreach,These ads ran without a disclaimer,≤100
