Page ID,Page name,Disclaimer,Amount spent (PEN)
101665683225827,José Luna Gálvez - Pepe Luna,Laidy Diana Peceros Espinoza,≤100
237862703076530,Ya Vuelta TV,Ya Vuelta TV,≤100
317113615022843,César Acuña,Cesar Acuña Peralta,≤100
264223880347121,Lampadia Oficial,LAMPADIA,≤100
462790453744032,Sutep,Sindicato Unitario de Trabajadores en la Educación del Perú - SUTEP,≤100
109019574560600,Aula Gaceta,Joel V. Supo Baldo,≤100
109808225725403,DAR Perú,DAR Perú,≤100
102312877849712,MiNo S1 Vitaliy,These ads ran without a disclaimer,≤100
501011359923743,IDL-Instituto de Defensa Legal,Jose Del Carmen Rojas Chuya,≤100
345598702466568,Prensatur Callao,These ads ran without a disclaimer,≤100
101053675911037,Fabri & Asociados Consultoría Política y de Mercadeo,Whilber Eugenio Huallanca Conde,≤100
417661094920749,Mas Que Consumidores,Abdon César Augusto Delgado La Cotera,≤100
1805183599788143,Silvia Monteza,Héctor Melgar Sandoval,≤100
111414617139812,Centro de Capacitación y Desarrollo - CCD,These ads ran without a disclaimer,≤100
104723341438240,EnRumbo Noticias,EnRumbo Noticias,≤100
253518258580731,Pucallpa 2.0 - Noticias,Pucallpa 2.0 - Noticias,≤100
1818909191687776,KOMART,These ads ran without a disclaimer,≤100
316564475960113,Estudio Jurídico Tarazona & Asociados,Diego Alberto Isla Yengle,≤100
110017409083497,"""Area Para el Desarrollo en Valores Humanos"" (Instituto Sai Peru)",Juan Carlos Ponce de León Aguirre,≤100
196140697656186,Len Corell,Ricardo Felix Coral,≤100
282155638822410,Jóvenes de Acción Popular,Ivette Paola Mendoza Hurtado,≤100
118733394545067,Victor Raul Solorio Neira,These ads ran without a disclaimer,≤100
103246188745493,Jorge Panduro,Jorge Panduro Ruiz,≤100
200561513351250,Municipalidad Provincial de San Martín,Edgar Rios Espinoza,≤100
113433565101542,Partidoliberaldemocrataperuano,These ads ran without a disclaimer,≤100
141796229342716,Comexperu,These ads ran without a disclaimer,≤100
152914224736727,Banco Mundial,These ads ran without a disclaimer,≤100
100613652687537,Cohesión,Chani Mejia,≤100
142062936237878,Goberna,Goberna,≤100
103874242354782,Mayra Katarina Barck,These ads ran without a disclaimer,≤100
152306641494958,BBVA,These ads ran without a disclaimer,≤100
131189377574,MDPI,These ads ran without a disclaimer,≤100
