Page ID,Page name,Disclaimer,Amount spent (EUR)
73232790238,Greenpeace Belgium,Greenpeace Belgium,477
38296327361,Ecolo,Ecolo,452
108820070638334,Les Engagés - Mouvement participatif,Les Engagés,240
53838654385,PTB,PTB,166
122074554119,EU Social,"European Commission - DG Employment, Social Affairs & Inclusion",158
356739147855925,ENGIE,ENGIE,133
101240187963272,wallonie-photovoltaiques.com,LA PLATEFORME DU LEAD,≤100
29384148415,Paul Magnette,Paul Magnette,≤100
174309193235171,FGTB Construction,FGTB Construction,≤100
117277268286025,Fairtrade Belgium,Fairtrade Belgium,≤100
1885580581677707,MaConstruction.be,maconstruction.be,≤100
1848893498684520,Santander Consumer Bank Belgium,Santander Consumer Bank,≤100
365952313470327,Médecins Du Monde Belgique,Médecins Du Monde Belgique,≤100
236330169511,MR - Mouvement Réformateur,MR - Mouvement Réformateur,≤100
126797650730700,Daikin Belux,Daikin Belgium N.V.,≤100
1498177693625569,FGTB Gardiennage,FGTB Gardiennage,≤100
102241721335553,Rigoni di Asiago Belgium,Rigoni di Asiago,≤100
536040200159049,FGTB Coiffure,FGTB Coiffure,≤100
1000331320002877,RedFox Belgique,RedfoxFR,≤100
173518112695794,DéFI,DéFI,≤100
254275311677180,FGTB Nettoyage,FGTB Nettoyage,≤100
556347961236170,FGTB Titres-services,FGTB Titres-services,≤100
150527751674751,Greens/EFA in the European Parliament,Greens/EFA in the European Parliament,≤100
110049460908305,Zakia Khattabi,Ecolo,≤100
78565055764,Plan International Belgium,Plan International Belgium,≤100
109303661918715,Yvan Verougstraete,Les Engagés,≤100
113024510103526,ClimACTES,Clim'ACTES,≤100
33244840322,Oxfam-Magasins du monde,Oxfam-Magasins du monde,≤100
107898832590939,European Commission,European Commission,≤100
408479362538591,Vlaams Parlement,Vlaams Parlement,≤100
569654719796026,Pioniers - Pionniers,Pioniers - Pionniers,≤100
376493959151704,Philippe Henry,Ecolo,≤100
278758345625756,Vanessa Matz,Mélanie Leponce,≤100
80987045743,Amnesty International België Vlaanderen,Amnesty International België Vlaanderen,≤100
279758248890258,François Desquesnes,Les Engagés,≤100
942750852588816,Conner Rousseau,Vooruit,≤100
234120763597078,VLAIO,Agentschap Innoveren & Ondernemen,≤100
60589646095,UNICEF Belgium,UNICEF Belgium,≤100
231761930313004,Droits des Intérimaires,FGTB Intérim,≤100
393037280875657,Europe in my region,These ads ran without a disclaimer,≤100
402853849911914,Pascal Arimont,Pascal Arimont,≤100
180233078762668,Mutualité chrétienne (MC),Mutualité chrétienne (MC),≤100
201359506543663,Centrale Générale - FGTB,Centrale Générale - FGTB,≤100
108645756526900,Chez Nous,Chez Nous,≤100
57253967150,Vooruit,Vooruit,≤100
647107055713016,CESI - Independent Trade Unions,CESI - European Confederation of Independent Trade Unions,≤100
178362315106,European Parliament,European Parliament,≤100
1473802016233527,Informazout,Informazout,≤100
549906475047973,Arkopharma Belgium,Arkopharma Belgium,≤100
109629611650694,"Good Clothes, Fair Pay",These ads ran without a disclaimer,≤100
14619952769,Het Belang van Limburg,Het Belang van Limburg,≤100
138211822870187,Група ДТЕК,These ads ran without a disclaimer,≤100
111557357193279,Soil Capital,Soil Capital,≤100
805999309414488,Anne-Catherine Goffinet,Les Engagés,≤100
101793146166267,Mediaplanet Belgium,Mediaplanet Belgium,≤100
101235169085798,FGTB Horval Titres-Services,FGTB Horval,≤100
15299247059,EURACTIV,EURACTIV Media Network BV,≤100
106327084648481,Thomas Dermine,Thomas Dermine,≤100
16123379845,André Antoine,Les Engagés,≤100
201942996498621,Fern,Fern NGO,≤100
107559205953333,GigaTour,GigaTour,≤100
1425199314381122,Justice et Paix,Justice et Paix,≤100
443013755882679,Les merveilles de caro,These ads ran without a disclaimer,≤100
1561317147447256,Syndicat National des Propriétaires et Copropriétaires,SNPC,≤100
53668151866,Open Vld,Open Vld,≤100
183856108612877,SP Ostbelgien,SP Ostbelgien,≤100
121338911212531,La Roche-Posay,These ads ran without a disclaimer,≤100
460811097796281,Feros asbl,Feros vzw,≤100
1063517867117345,Maison de la Laïcité Victor Tedesco,Maison de la Laïcité Victor Tedesco,≤100
377214036395387,Unilin Insulation Belgium,Unilin Insulation,≤100
257957707639205,Centre Communautaire Laïc Juif,Centre Communautaire Laïc Juif,≤100
96380798126,Çavaria,çavaria vzw,≤100
297527700663598,Cool and Safe,Plateforme Prévention Sida,≤100
101389761771028,Fédération PS Verviers,Fédération verviétoise du PS,≤100
298559497409890,Van Olmen & Wynant,Van Olmen & Wynant,≤100
129039903901425,Dokters Van de Wereld,Dokters Van de Wereld,≤100
547098852073003,Les Engagés de Mouscron,Les Engagés de Mouscron,≤100
583742175322666,Jo Brouns,CD&V,≤100
111768860301470,Tom Ongena,Tom Ongena,≤100
382142342334084,USR Belgia,Partidul Uniunea Salvați România,≤100
512123045595812,Frosch Belgium,Frosch Belgium,≤100
159769030737989,Food4Good,These ads ran without a disclaimer,≤100
75534801064,PFF,PFF,≤100
1664229433634791,Jurgen Vanlerberghe,OSP vzw,≤100
108037182188183,De Gouvernante,De Gouvernante,≤100
81497097451,Vluchtelingenwerk Vlaanderen,Vluchtelingenwerk Vlaanderen,≤100
147307255351530,Wim Dries,Wim Dries,≤100
763722197034246,En Développement,These ads ran without a disclaimer,≤100
322302534831464,Comité de quartier Notre Dame aux Neiges,These ads ran without a disclaimer,≤100
616252382042509,ABVV Bouw,ABVV Bouw,≤100
1452014428431769,ASBL La Cible,La Cible,≤100
