Page ID,Page name,Disclaimer,Amount spent (COP)
308580499200723,Alcaldía de Medellín,Alcaldia de Medellìn,2753531
266563730155332,Juan Diego Gomez Jimenez,Juan Diego Gomez Jimenez,2129177
1115184931884092,Albert Corredor,Albert Corredor,1224244
162949777243451,Andrés Julián,Andrés Julián Rendon,819390
1059459884138781,Mauricio Tobón Franco.,Mauricio Tobón Franco,781481
141361183156268,Juan Carlos Upegui,Juan Carlos Upegui,604233
103754197881668,Esteban Restrepo,Fredy Esteban Restrepo Taborda,410082
414076942012822,Institución Universitaria Pascual Bravo,Institución Universitaria Pascual Bravo,351313
112155252163421,Sebastián López V.,Sebastian Lopez Valencia,269125
105860962029722,Felipe Vélez,Medellín Vuelve a Brillar,223004
341743792688909,Centro de Ciencia y Tecnología de Antioquia,Centro de Ciencia y Tecnología de Antioquia,209097
1143527682469594,El Colombiano Parce,El Colombiano Parce,159139
182717535811515,Esto es Colombia papá.,Esto es Colombia papá.,142889
1259770774053121,Politécnico COHAN - Medellín,Politécnico COHAN - Medellín,115164
100475532513857,Cristian Halaby,Cristian Halaby,115093
157146724439549,Luis Bernardo Vélez,Luis Bernardo Vélez,99812
329300413933779,Juan Pablo Ramirez,Juan Pablo Ramirez Alvarez,94533
1649204585296525,Juan David Valderrama,Juan David Valderrama,92794
104969865721375,Profes.movimientociudadano,John Bazurto,87227
201014753267112,Andrés Fernando Mesa Valencia,Andres Fernando Mesa Valencia,84893
61298420594,Eugenio Prieto Soto,Eugenio Prieto Soto,78853
112758441820464,Antioquia Con El Parche,Juan Felipe Botero Cadavid,74295
115683354847828,Mariana Benincore Comunicación Política,Francisco Osorno,69402
629265973883892,Alcaldía de La Estrella,Alcaldía de La Estrella,68892
110470161893843,Orgullo Antioqueño,Orgullo Antioqueño,63113
969143216462972,Felipe Cañizalez,Andreina Quintero Correa,54330
107204794960194,Instituto Técnico La Salle,Instituto Técnico La Salle,50513
305443930185737,Juan Pérez,Juan Pérez,49947
112602178102955,Victor Angulo,Victor Angulo,47783
112848331831144,Colombia Sin Miedo,Colombia sin miedo,41154
749177381856407,Camilo Calle,Camilo Calle,40051
100650573021198,David Navas Regino,David Navas Regino,39956
230741350353405,Alcaldía de Rionegro,Alcaldía de Rionegro,36160
1586192348316443,Maicol Lopera Cardona,Maicol Lopera,32618
818873838495671,Juliana Sepúlveda,Juliana Sepúlveda,31195
111941068044093,Juanita Cataño Muñoz,Juana Eloisa Cataño Muñoz,28896
153803541354412,Unibán Fundación,Cristina Gómez Arenas,27443
482002058626250,Surany Arboleda Arias,Surant Arboleda Arias,27400
835710939898329,Paulina Aguinaga,Paulina Aguinaga,25121
188371488749555,Mauro Marquez,Mauricio Marquez Valencia,24613
111009515199981,Juan Fernando Alvarez Méndez,Juan Fernando Alvarez Méndez,24458
416201871913815,Adolfo Romero,Adolfo Romero,24138
103445412671433,Caucasia con Dagoberto López,These ads ran without a disclaimer,23383
642780166056166,Daniel Galeano,Daniel Galeano,22784
1798830637009736,Ciudad Bolívar Ant.,Mauricio Marquez Valencia,21199
2369166386675873,Mauricio Presente,Mauricio Rendón,20904
100319211712051,Walter Salas,Walter Salas,18869
358585651153711,Islabela,Islabela,16559
807404696300854,Fabio Ignacio Mira Valencia - Kaliman,Fabio Ignacio Mira Valencia - Kaliman,15831
406215856382748,Gonzalo Giraldo,Gonzalo Giraldo,15001
104002306051895,Colombia Hoy,Colombia hoy,14711
167222580002790,Clara Luz Roldan Gonzalez,Clara Luz Roldán,14698
597006313643580,Gobernación del Valle del Cauca,Gobernación Valle del Cauca,11904
744681402298932,Nataly Vélez,Nataly Vélez,9900
112505265094567,Mario Gutiérrez,Mario Gutiérrez,8186
670393546635457,Ante Todo Colombia,Maria Alejandra Ramirez Jaraba,7464
413749832685440,Mauricio Barrientos Osorio Mbo,Mauricio Barrientos Osorio Mbo,7259
102143071616787,Goberna Colombia,Goberna,6356
103874242354782,Mayra Katarina Barck,These ads ran without a disclaimer,6266
1319410371405224,Marketing Político,Mauricio Florez-Morris,6165
2532874586938013,Abogado Adadier Perdomo Urquina,These ads ran without a disclaimer,6063
1482897701997453,Paloma Valencia,Paloma Valencia,6055
1959288650970975,Fernando Merchán,Fernando Merchan,5902
214167541938411,Juan Pablo Gallo,Juan Pablo Gallo,5789
605236949886245,Ferney Silva Idrobo,Ferney Silva Idrobo,5464
103814531988177,Daniel Vergara,Daniel Alcides Vergara Tobon,5434
339017510001793,Cristian Céspedes,Cristian David Céspedes Correa,5324
1147318942107929,Todos Somos Una,DEBRAIN LLC,5281
105848177845789,All Out en español,All Out Action Fund,5214
174235299412685,Cinep Programa Por la Paz,Fundación Centro de Investigación y Educación Popular CINEP,4962
267198759973201,Bairon Enrique Muñoz Lizarazo,Bairon Enrique Muñoz Lizarazo,4830
851680034864966,Proantioquia,FUNDACION PARA EL DESARROLLO DE ANTIOQUIA. ANTIOQUIA POR COLOMBIA,4445
357281968315956,Deimer Flórez,Deimer Flórez,4440
251292808253299,Canadian College,Canadian College,4440
807500072661945,AsoVape,AsoVape,4440
455380911302186,ESU - Empresa para la Seguridad y Soluciones Urbanas,Esteban De Los Ríos,4346
319527888151975,Revista La Injusticia,Ronald Rangel,4080
118514924593739,Tanque Seco,Tanque seco,3745
1400280116941194,Fabian Diaz,Fabian Diaz,3517
110646350270279,Abelardo Parra Aristizabal,Abelardo Parra Aristizabal,3428
214421385395371,Primero Justicia Colombia,Primero Justicia Colombia,3172
581095835894514,Noticentro 1 CM&,Noticentro 1 CM&,3161
1597659560553215,Colombia+20,COMUNICAN SAS EL ESPECTADOR,2808
1719725724954043,Rodrigo Rojas Lara,Rodrigo Rojas Lara,2686
1618805941666374,Paola Castillo Gutierrez,Paola Castillo,2675
664142747350164,Tatiana López Saldarriaga,Tatiana López Saldarriaga,2322
113205561651352,Plan I,Plan I,2113
1737937156478529,Carlos Felipe López López,Carlos Felipe Lopez Lopez,2101
1558890617699891,AD Consultores,AD Consultores,1842
194315573916010,Norma Hurtado Sanchez,Norma Hurtado Sánchez,1323
466713146804873,Jonathan Vasquez,Jonathan Stivel Vasquez Gomez,1284
1314470175266037,Liderazgo politico,Mauricio Florez-Morris,1260
1643303432550207,Gustavo Vélez,Gustavo Vélez,1014
569978373130700,Andrés Lizarralde Henao,Andrés Lizarralde Henao,1010
116544396862942,Unión Legal y Tributaria S. A. S,Unión Legal y Tributaria S. A. S,995
108338374022135,Alcaldía Municipal de Arauquita,Alcaldía Municipal de Arauquita,989
667100760350414,La Mermelada,Juan Francisco Guzman Martinez,900
224169580962812,Alcaldía de Bello,Alcaldía de Bello,886
838927469815494,Diana Diago,Diana Marcela Diago,754
101549488997249,Liliana Yúnez Luquetta,Fundación Política,693
670081166403404,We Love Villavo,We Love Villavo,687
154720731223933,Partido Liberal Colombiano,PARTIDO LIBERAL COLOMBIANO,663
101603658222672,jorgelozanodelcampo,Jorge Lozano,638
104947707728179,Personería Municipal Jamundí,Jorge Iván Mejía Gutiérrez,614
1595888870671480,Carlos Arias Concejal Cali,Juan Parra,589
171466183598432,Oscar Conde,Oscar Conde Ortiz,564
153503398742612,Montelíbano En Línea,Montelíbano En Línea,454
348250701862191,Guillermo Velandia Granados,Guillermo Velandia Granados,393
100658372949361,Carlos Pacho Perea,Carlos Alberto Perea Cardona,389
122989028111811,Alexander Ruiz,Edgar Alexander Ruiz Garcia,385
100657948433952,"Medico, Jorge Alvarez Barreto","Medico, Jorge Alvarez Barreto",384
106640878493249,Omar Marín Reyes,Omar Marin Reyes,370
101380898204542,Padre Huerfano,Padre Huerfano,332
170633243101916,Alexander Serrato,Fernando Alexander Serrato Fonseca,319
110360175730157,sectorial.co,These ads ran without a disclaimer,309
100563549504491,Juan Torres Ortega,Pacto por el Cambio,299
1529335724037224,Aeropuerto del Café,INTUAL,291
1379991518962469,Fernando Rivera Saraza,Fernando Rivera Saraza,278
106106338492581,Pacto Histórico Juvenil,Pacto Histórico Juvenil,277
548129555720726,Jesús David Contreras,Jesús David Contreras,267
105121071016378,Hugo Archila,Hugo Archila,260
175346789490397,Peyi Paternina,Peyi Paternina,250
104195705703466,Neder Machacon Rivera,Neder Machacon Rivera,241
545906549169792,Mauricio Fernández Castillo,Mauricio Alejandro Fernández Castillo,235
107374008817182,La Polémica,La Polémica,220
423124458019519,Café Y Petróleo,Café Y Petróleo,212
111283090704964,Andres Arias,Arnulfo Andres Arias Quintana,190
626538870727500,Felipe Urrea,Diego Felipe Urrea Vanegas,156
117508211329459,Constantino Trujillo,Constantino Trujillo,153
1519510178128827,Carlos Andrés Hernández Zuluaga,Carlos Andrés Hernández Zuluaga,118
104876291932729,El Enamorado,These ads ran without a disclaimer,112
1233101650165858,Carlos A. Viloria,Carlos Viloria,≤100
1162734950567371,Concejal Mauricio Torres Silva,Hector Dario Chaves Chamorro,≤100
1380368385625889,Julian Sánchez Perico Jr.,Julian Sánchez Perico Jr.,≤100
295277256700,Concejal María Victoria Vargas Silva,Carmen Pumarejo,≤100
321582221272701,UNIMINUTO,These ads ran without a disclaimer,≤100
360840354678432,MK Team 24 7,Michel Wadih Kafruni Marin,≤100
1562826993952885,Ángel López Coaching,These ads ran without a disclaimer,≤100
409388396198516,Freeda ES,These ads ran without a disclaimer,≤100
474588795895313,Getafe C.F.,These ads ran without a disclaimer,≤100
252467948598397,Diego Caicedo,These ads ran without a disclaimer,≤100
107116101003808,Soy AlexBro,These ads ran without a disclaimer,≤100
101908602620770,Quouch,These ads ran without a disclaimer,≤100
108467910578587,OPPSCIENCE,These ads ran without a disclaimer,≤100
1702138929926817,Mongabay Latam,These ads ran without a disclaimer,≤100
102382772020688,Inspenet,These ads ran without a disclaimer,≤100
1589154051350606,FOZ - Friends of Zion Museum,These ads ran without a disclaimer,≤100
100833809648599,Abril Agurto Ulloa,These ads ran without a disclaimer,≤100
2261413827506055,Diálogo Político,These ads ran without a disclaimer,≤100
907553062923904,Aldeser,These ads ran without a disclaimer,≤100
103084375858203,Mi Campaña Aplicación,Mi Campaña Aplicación,≤100
102207552798601,Youth clicks,These ads ran without a disclaimer,≤100
645168172181457,Gobernación de Caldas,Eikon Digital SAS,≤100
