Page ID,Page name,Disclaimer,Amount spent (NGN)
1259858270808148,Abdullahi Adamu Misilli,Abdullahi Adamu Misilli,704
110115410861584,Gombe Geographic Information Systems,Gombe Geographic Information Systems,358
2010410822318073,Tvcnewsng,Tvcnewsng,321
110338541289138,AHMED ALIYU Sokoto TV,AHMED ALIYU Sokoto TV,≤100
103018869332378,BantuPage,BantuPage,≤100
1089641091059109,Hon. Kelechi Nwogu,Fabia Benibo,≤100
103294869043052,Olaniyan Toni,Olaniyan Toni,≤100
100202924924063,Page 36,Page 36,≤100
103004258030272,Imoh Inyangette,Imoh Inyangette,≤100
660685641036325,Sandeco Group,Sandeco Group,≤100
108217010644446,Oku Ozieoghene Victory,Oku Ozieoghene Victory,≤100
104576632565512,K-Move,K-Move,≤100
110877148165820,Dr Dauda Lawal TV,Dr Dauda Lawal TV,≤100
105249015931265,ENaira Digital Currency,These ads ran without a disclaimer,≤100
101174669207027,H.E Amb Dr. Johnny Metchie,H.E Amb Dr. Johnny Metchie,≤100
104679584528987,Flourish,Tolutope Olubanke Anne Temitopeoluwa,≤100
102169824695398,Rero TV,Rero TV,≤100
297904423657616,The ICIR,The ICIR,≤100
1883003128429295,Queer Majority,These ads ran without a disclaimer,≤100
258810957658900,Adamu A. Babale Makera,Adamu A. Babale Makera,≤100
565225540184937,CGTN,These ads ran without a disclaimer,≤100
142205772542022,Accountability Lab,These ads ran without a disclaimer,≤100
109650942114887,Mallam NABIA,These ads ran without a disclaimer,≤100
101688624658632,MyLibri Books,These ads ran without a disclaimer,≤100
