Page ID,Page name,Disclaimer,Amount spent (TWD)
227521757837659,金城更新 許燕輝,許燕輝,≤100
238507146264909,國際特赦組織 台灣分會 Amnesty International Taiwan,國際特赦組織 台灣分會 Amnesty International Taiwan,≤100
467933563234921,南門書局-網路圖書名店、也有實體店面，誠信可靠！,玉河 孫,≤100
100822985194227,Đang làm gì vậy?,These ads ran without a disclaimer,≤100
122434861151717,Dulux 得利塗料,These ads ran without a disclaimer,≤100
820612794778213,渣打銀行 Taiwan,渣打國際商業銀行,≤100
693907914395620,良杯製所 Oolab,良杯製所 Oolab,≤100
286487218798,遠見雜誌,遠見雜誌,≤100
100489613340306,Samsung,Samsung,≤100
105556085524776,Twpca-台灣野良犬照護協會,Twpca-台灣野良犬照護協會,≤100
148475335184300,Greenpeace 綠色和平 (台灣網站),Greenpeace 綠色和平 (台灣網站),≤100
219315794887869,聯合報,聯合報股份有限公司,≤100
106801464127093,目目非營利 MUVE NPO,目目非營利,≤100
109935375827472,CASIO G-SHOCK,These ads ran without a disclaimer,≤100
211730475524462,大陸委員會,大陸委員會,≤100
277223962685223,Nespresso.TWN,Nespresso.TWN,≤100
191690867518507,江啟臣,江啟臣,≤100
390569611008641,願景工程基金會 Vision Project,願景工程基金會,≤100
401843085061,台電電力粉絲團,台電,≤100
1701050266831938,唐風,新凱 林,≤100
152479095435700,茶樹莊園 Tea Tree Garden,花仙子 Farcent,≤100
1855418728011324,鏡週刊,鏡週刊,≤100
1649523455281990,遠山呼喚,遠山呼喚國際貧童教育組織,≤100
241284961029,udn.com 聯合新聞網,udn.com 聯合新聞網,≤100
110985434861942,啟思民本基金會,啟思民本基金會,≤100
177161918975981,基督教芥菜種會,基督教芥菜種會,≤100
158025223269,今周刊,今周刊,≤100
481065478629613,The News Lens 關鍵評論網,The News Lens 關鍵評論網,≤100
451740055338297,吳淑君,吳承宗,≤100
102943834507641,立法委員 陳椒華,時代力量立委陳椒華,≤100
1487218698275407,南門書局二店-網路特價書店-也有實體店面，價格親民，誠信可靠的老店。（師友文化）,玉河 孫,≤100
1629474157289221,小牛頓,小牛頓科學教育有限公司,≤100
791870507594526,利樂創新界,利樂創新界,≤100
167913323845559,FNG世代設計｜為了下一代而設計,FNG世代設計｜為了下一代而設計,≤100
354149841356884,哈本咖啡 Happen Coffee,林奕丞,≤100
180516279238465,桃園市立美術館 Taoyuan Museum of Fine Arts,桃園市立美術館 Taoyuan Museum of Fine Arts,≤100
106884252092730,恆好玩｜永續行動平台,恆好玩｜永續行動平台,≤100
1743825042576235,楊文科,楊文科,≤100
147231165475452,德國小甘菊-台灣,These ads ran without a disclaimer,≤100
436202956432960,Technews 科技新報,Technews 科技新報,≤100
235679595900,民視新聞,民視新聞,≤100
108696572024879,民視佮你講（Bîn-sī kah lí kóng）,民視新聞,≤100
945888608794185,聯博 - 81樓的基金筆記,聯博 - 81樓的基金筆記,≤100
188014637904753,行政院環境保護署,行政院環境保護署,≤100
164483516927300,張景嵐,張景嵐,≤100
702149076622699,社團法人台灣生命教育學會-病人自主研究中心,社團法人台灣生命教育學會 病人自主研究中心,≤100
101355918337667,地天泰國際顧問有限公司,地天泰國際顧問有限公司,≤100
281219301931458,蔡其昌,蔡其昌,≤100
449156429152075,麻吉理財顧問公司,黃詩凭,≤100
347432368933987,LINE TODAY Taiwan,LINE TODAY Taiwan,≤100
650500068416528,無國界醫生 / Médecins Sans Frontières (MSF),無國界醫生 / Médecins Sans Frontières (MSF),≤100
195959880437203,新北市議員白珮茹,新北市議員白珮茹,≤100
1666902633528033,桃園市政府青年事務局,桃園市政府青年事務局,≤100
101576862144790,工程師看政治,玄超 黃,≤100
106118168971467,債務人權益協會 扣薪 協商 更生 清算,傢宇 吳,≤100
1617266565154002,黃日寬 kuan,黃日寬 kuan,≤100
171759036215066,創世紀不動產教育訓練中心,Micky  Wu,≤100
100714476220256,永續金融先行者聯盟,永續金融先行者聯盟,≤100
109148540605340,鳴華月,邱炳煌,≤100
107544104719529,FinGuider 美股資訊網,FinGuider 美股資訊網,≤100
436843193180529,Unipapa,Unipapa,≤100
239512030682497,第一手星聞,民視新聞,≤100
1025786357451330,"范雲  FAN, Yun","范雲  FAN, Yun",≤100
100169381340624,新竹市性別友善行動聯盟,These ads ran without a disclaimer,≤100
170671044596,天主教善牧基金會,天主教善牧基金會,≤100
103032645529885,菱傳媒,菱傳媒,≤100
1549881451947136,林筱淇,筱淇 林,≤100
188358792124,聯經出版,聯經出版,≤100
276861822357066,高金素梅(吉娃斯．阿麗),智葟 陳,≤100
110699089014688,三立新聞,三立新聞,≤100
113115841660729,廖偉翔,偉翔廖,≤100
103640919705348,綠色公民行動聯盟Green Citizens' Action Alliance,綠色公民行動聯盟Green Citizens' Action Alliance,≤100
178875832200695,Dcard,These ads ran without a disclaimer,≤100
673035569401167,育田基金會 Mercyland,財團法人育田社會福利慈善基金會,≤100
101845848873882,思雅閣,These ads ran without a disclaimer,≤100
