Page ID,Page name,Disclaimer,Amount spent (ARS)
113648051656225,Mirey Zeidan,Una Nueva Época,15829
110079031997390,Con Larreta,Con Larreta,6895
103088924366000,Noticias d,Noticias d,3364
315248502711069,Eugenio Quiroga,Eugenio Quiroga,2563
120089921060452,Mario Markic,Mario Markic,1793
367089004808,Amnistía Internacional Argentina,Amnistía Internacional Argentina,475
113686738612,Gobierno de la Ciudad de Buenos Aires,Gobierno de la Ciudad de Buenos Aires,470
1383679141758544,Total República,Total República,466
224011168968695,Mas Medios,Mas Medios,417
101089933000633,Es con Rossi,Es con Rossi,381
20906273675,Greenpeace Argentina,Greenpeace Argentina,379
427444187378338,Hernán Elosegui,Hernán Elosegui,332
102007812840437,Jóvenes con Wado,Jóvenes con Wado,304
112595328432641,Wado 2023,Jóvenes con Wado,301
231169830377923,Gabriel Solano,Frente de Izquierda,267
544986472243896,Data Diario,Data Diario,258
111669735076988,Hora Cero,Hora Cero Noticias,239
100712111681838,La Rosca,La rosca,235
605540860101596,Diario Criollo,Diario Criollo,224
2251397431784810,InfoArgentina,Comunicarg,162
610065179346397,NotiBaires,Comunicarg,151
108679841853325,Contame Más,Contame Más,142
106560742263098,Noticias El Portal,Noticias El Portal,139
100634213060427,Levantados,Somos Los Levantados,132
1651324754987038,InfoAires,Comunicarg,125
107756622140473,El Litoral Web,El Litoral Web,123
113898744658728,El Progreso Web,El Progreso,121
102534516011045,La Gloria Noticias,La Gloria Noticias,121
112090455034177,El Portavoz Oficial,El Portavoz,119
102187456039094,Enterate Ya,Enterate Ya!,109
110806461830762,El Sol Web,El Sol Web,103
304176325478,La Política Online,La Política Online,≤100
111064391804839,Argentina Productiva,Argentina Productiva,≤100
628498977777284,El Continental,Periodico El Continental,≤100
108662685562965,La Ciudad Necesita Orden,La Ciudad Necesita Orden,≤100
1523276221296810,Polo Obrero,Polo Obrero,≤100
134557130216408,Jorge Jofré,Jorge Jofre,≤100
174274645952525,Facundo Manes,Facundo Manes,≤100
110039918575012,Noticias Express,Noticias Express,≤100
102289782502796,Prensa Digital,Prensa Digital,≤100
335926266503071,7D,7D,≤100
513899261972162,Frente de Izquierda FIT,Frente de Izquierda,≤100
154165617977336,El Destape,These ads ran without a disclaimer,≤100
172125036134436,ConVocación por San Isidro,ConVocación por San Isidro,≤100
105716442346264,Conurnarnia,Conurnarnia,≤100
378225769015907,Fundación Embajada Abierta,Fundación Embajada Abierta,≤100
104147274759706,Periodismo de Izquierda,Periodismo de Izquierda,≤100
104733589113258,La Gaceta Nacional,La Gaceta Nacional,≤100
106065835808681,Leandro Argañaraz,Leandro Argañaraz,≤100
103021535961289,Cede,Cede,≤100
109446628305341,Lista Verde Fente Unidad - ATE,These ads ran without a disclaimer,≤100
102056511679155,José Voytenco,UATRE,≤100
238778949515431,El Cronista,El Cronista,≤100
1243208795706598,Diputado Eduardo Valdés,Diputado Eduardo Valdés,≤100
515778271905624,Miguel Abboud,Miguel Abboud,≤100
110547655259046,Daniel Sieli,Daniel Sieli,≤100
1408542766063285,Carla Carrizo,Carla Carrizo,≤100
103948405867129,El Confidencial Noticias,El Confidencial Noticias,≤100
103614925354077,Politólogos Digitales Argentina,Politólogos Digitales Argentina,≤100
272580532767996,Cáritas Argentina,These ads ran without a disclaimer,≤100
134996507172069,Hernan Amat,Hernan Amat,≤100
125183747539071,Noticias Argentinas,Noticias Argentinas,≤100
113347327938892,Bullrichmania Argentina,Me&Bo Consultora,≤100
544640985878621,Argentinos Online,Argentinos Online,≤100
111600998225620,Noticias Zero,Noticias Zero,≤100
438942059479338,Izquierda Socialista,Frente de Izquierda Unidad,≤100
149619018406294,Siglo XXI Editores Argentina,Siglo XXI Editores Argentina S.A.,≤100
101961091604984,ARGMedios,arg medios,≤100
100551438373315,Gabriela Carpineti,Gabriela Carpineti,≤100
104701969151334,Alan Sosa Tello,Alan Sosa Tello,≤100
573018649750585,Ana Clara Romero,Ana Clara Romero,≤100
103740369249125,El Provinciano,El Provinciano,≤100
624884470952813,Fernanda Gigliani,Fernanda Gigliani,≤100
103846469204203,La Ola Noticias,La Ola Noticias,≤100
889117357925551,Carlos Tarulli Legislador,Carlos Tarulli Legislador,≤100
101235979629846,elmaxifronteraok,These ads ran without a disclaimer,≤100
730231177082132,"Enrique  ""Quique""  Ramirez",PRO Formosa,≤100
131381938371647,Corta La Bocha Noticias,Corta La Bocha,≤100
206745532699914,Eduardo Aguilar,Eduardo Aguilar,≤100
100842739713475,Hacemos por Toledo,CLIPPING Consultores,≤100
105070965806033,Académia épica,Académia épica,≤100
1304286029655385,Claudia Balague,Claudia Balagué,≤100
104137755314501,Victoria Huala,Victoria Huala,≤100
113395874909201,Punto Noticias,Punto Noticias Web,≤100
259700217384725,Le Monde diplomatique - Edición Cono Sur,Capital Intelectual S.A.,≤100
112649870393407,Nelson Acuña,Nelson Acuña,≤100
235475446863839,Diego Catuogno Moda X Mayor,These ads ran without a disclaimer,≤100
121558597580863,Celeste Ascúa,Frente de Todos,≤100
137071079685429,Secretaría de Turismo Villa Gesell,Secretaria de Turismo de Villa Gesell,≤100
216505168500668,Juan Alvarez Pinto,Juan Alvarez Pinto,≤100
193671924033178,El Argentino,Estudio AMBA SRL,≤100
100513966017836,Noticias del Sur,Noticias del Sur,≤100
145806262649419,Fer Miño,Patria de Todos,≤100
564830380326427,Juan Carlos Polini,Polini,≤100
104455719146837,El Meridiano,El Meridiano Noticias,≤100
857382087671921,Maxi Abad,radicalesorg,≤100
111492845540608,Fondo de Cultura Económica Argentina,Fondo de Cultura Económica Argentina,≤100
