Page ID,Page name,Disclaimer,Amount spent (EUR)
143074097483,SOS-Kinderdorf Österreich,SOS-Kinderdorf Österreich,≤100
575963666247058,Polizei Österreich,BMI - Bundesministerium für Inneres,≤100
32984679070,Greenpeace Österreich,Greenpeace Österreich,≤100
205993832779281,Österreichische Post AG,Österreichische Post AG,≤100
142891909125544,IKEA,IKEA Austria GmbH,≤100
59212737281,UNICEF Österreich,UNICEF Österreich,≤100
264595360605,Arbeiterkammer Oberösterreich,Arbeiterkammer Oberösterreich,≤100
136345101209,VGT Austria,VGT Austria,≤100
205710866133426,klimaaktiv,"Bundesministerium für Klimaschutz, Umwelt, Energie, Mobilität, Innovation und Technologie (BMK)",≤100
174834299325391,"Bundesministerium für Soziales, Gesundheit, Pflege und Konsumentenschutz","Bundesministerium für Gesundheit, Pflege, Soziales und Konsumentenschutz",≤100
179480532112410,Licht für die Welt,Licht für die Welt,≤100
107152329360788,Arbeiterkammer,Arbeiterkammer,≤100
1648447185409375,"Bundesministerium für Land- und Forstwirtschaft, Regionen und Wasserwirtschaft","Bundesministerium für Land- und Forstwirtschaft, Regionen und Wasserwirtschaft",≤100
113285503476212,Martina Künsberg Sarre,Martina Künsberg Sarre,≤100
103606522565139,Oecolution Austria,oecolution austria - Initiative zur nachhaltigen Standortentwicklung,≤100
226524850754047,Diözese St. Pölten,Diözese St. Pölten,≤100
110774211378794,Vulva Shop,Vulva Shop - Womxn Empowerment GmbH,≤100
107898832590939,European Commission,European Commission,≤100
328839920495984,Ölz Meisterbäcker,Ölz Meisterbäcker,≤100
122074554119,EU Social,EU Social,≤100
101851058454164,Wald4Leben,Wald4Leben GmbH,≤100
131167621794613,Verpackung mit Zukunft,Plattform Verpackung mit Zukunft,≤100
1439246269679045,WIENER STÄDTISCHE,WIENER STÄDTISCHE,≤100
111639237974851,Dagmar Häusler,MFG Österreich – Menschen Freiheit Grundrechte,≤100
105276629552333,Österreichisches Parlament,Österreichisches Parlament,≤100
254252526971,Vetmeduni,Vetmeduni,≤100
69336818831,GLOBAL 2000,GLOBAL 2000,≤100
203648343900979,Österreichische Akademie der Wissenschaften,Österreichische Akademie der Wissenschaften,≤100
1378265592489944,Neue Zeit,NeueZeit.at,≤100
674089153034374,Zack Zack,Zack Zack,≤100
469423926593164,Santander Consumer Bank Österreich,Santander Consumer Bank Österreich,≤100
109510258623973,SPÖ im Europaparlament,SPÖ im Europaparlament,≤100
114527581920296,Alumni Community Uni Graz,Alumni Community Uni Graz,≤100
105798936110114,SalzburgMilch,SalzburgMilch GmbH,≤100
