Page ID,Page name,Disclaimer,Amount spent (TWD)
238507146264909,國際特赦組織 台灣分會 Amnesty International Taiwan,國際特赦組織 台灣分會 Amnesty International Taiwan,4991
105556085524776,Twpca-台灣野良犬照護協會,Twpca-台灣野良犬照護協會,2680
693907914395620,良杯製所 Oolab,良杯製所 Oolab,2022
286487218798,遠見雜誌,遠見雜誌,1928
100489613340306,Samsung,Samsung,1750
727855827262810,林家興 Alfred Lin,林家興 Alfred Lin,1399
101789669195445,昌祐豐上,These ads ran without a disclaimer,1364
241284961029,udn.com 聯合新聞網,udn.com 聯合新聞網,1315
148475335184300,Greenpeace 綠色和平 (台灣網站),Greenpeace 綠色和平 (台灣網站),1280
1787630811500182,臺中市政府交通局,臺中市政府交通局,1064
106801464127093,目目非營利 MUVE NPO,目目非營利,1034
109462390640602,企業勞動法務管理顧問-勞動契約、勞資爭議、勞務健檢、教育訓練、法律事務、法律風險控管,芸廷 林,809
467933563234921,南門書局-網路圖書名店、也有實體店面，誠信可靠！,玉河 孫,756
277223962685223,Nespresso.TWN,Nespresso.TWN,698
401843085061,台電電力粉絲團,台電,693
211730475524462,大陸委員會,大陸委員會,585
177161918975981,基督教芥菜種會,基督教芥菜種會,546
113021403762187,法律協會-債務協商 更生 清算 -全台服務,傢宇 吳,506
219315794887869,聯合報,聯合報股份有限公司,496
191690867518507,江啟臣,江啟臣,449
113115841660729,廖偉翔,偉翔廖,419
101825762289223,Mr. Market 市場先生-投資筆記,These ads ran without a disclaimer,339
1649523455281990,遠山呼喚,遠山呼喚國際貧童教育組織,330
102765565746200,新貴個別指導大墩旗艦校,These ads ran without a disclaimer,326
167913323845559,FNG世代設計｜為了下一代而設計,FNG世代設計｜為了下一代而設計,310
110985434861942,啟思民本基金會,啟思民本基金會,266
390569611008641,願景工程基金會 Vision Project,願景工程基金會,266
372692962824783,工程圖輯隊-新北工務局,新北市政府,246
347432368933987,LINE TODAY Taiwan,LINE TODAY Taiwan,243
650500068416528,無國界醫生 / Médecins Sans Frontières (MSF),無國界醫生 / Médecins Sans Frontières (MSF),225
107478432346054,郭台銘+1,Kaiwun Lin,204
171759036215066,創世紀不動產教育訓練中心,Micky  Wu,195
158025223269,今周刊,今周刊,191
164483516927300,張景嵐,張景嵐,168
107967864993250,SOGA STOP！,財團法人隆中向上教育基金會,156
1487218698275407,南門書局二店-網路特價書店-也有實體店面，價格親民，誠信可靠的老店。（師友文化）,玉河 孫,154
1448047902111768,顏寬恒,顏寬恒,149
569626243213799,生鮮時書,生鮮時書,145
152479095435700,茶樹莊園 Tea Tree Garden,花仙子 Farcent,134
235679595900,民視新聞,民視新聞,119
1410906175818184,台中家商應用英語科,These ads ran without a disclaimer,114
100714476220256,永續金融先行者聯盟,永續金融先行者聯盟,109
194832457212,天下文化,天下文化,105
1549881451947136,林筱淇,筱淇 林,103
101355918337667,地天泰國際顧問有限公司,地天泰國際顧問有限公司,≤100
441685342920785,張廖乃綸,張廖乃綸,≤100
188358792124,聯經出版,聯經出版,≤100
481065478629613,The News Lens 關鍵評論網,The News Lens 關鍵評論網,≤100
945888608794185,聯博 - 81樓的基金筆記,聯博 - 81樓的基金筆記,≤100
108696572024879,民視佮你講（Bîn-sī kah lí kóng）,民視新聞,≤100
111654304644525,藍青挺,凱勛 鄧,≤100
175549807657,台達基金會,台達基金會,≤100
306812086082221,台灣環境資訊協會 - TEIA,台灣環境資訊協會 - TEIA,≤100
101297638763256,識媒體,識媒體,≤100
1920645851573536,未來城市FutureCity,These ads ran without a disclaimer,≤100
1629474157289221,小牛頓,小牛頓科學教育有限公司,≤100
180516279238465,桃園市立美術館 Taoyuan Museum of Fine Arts,桃園市立美術館 Taoyuan Museum of Fine Arts,≤100
217802801759737,郭昭巖粉絲團,郭昭巖粉絲團,≤100
170671044596,天主教善牧基金會,天主教善牧基金會,≤100
119376841095734,nuanuamiao,These ads ran without a disclaimer,≤100
262531920494874,財團法人金融消費評議中心,財團法人金融消費評議中心,≤100
472677869560560,Outschool,These ads ran without a disclaimer,≤100
113761234998842,温宗諭,博盛侯,≤100
1234106229938484,台灣健康空氣行動聯盟,慧琳趙,≤100
791870507594526,利樂創新界,利樂創新界,≤100
154580453959,公民監督國會聯盟（公督盟）,公民監督國會聯盟（公督盟）,≤100
247112609480800,賈桃樂學習主題館,These ads ran without a disclaimer,≤100
103813459295711,平行政府,平行政府,≤100
109148540605340,鳴華月,邱炳煌,≤100
796994720374176,鳴人堂,鳴人堂,≤100
