Page ID,Page name,Disclaimer,Amount spent (DKK)
101875098313543,Andel,Andel,6554
59143726810,Psykiatrifonden,Psykiatrifonden,2054
65929129383,Røde Kors,Røde Kors,1885
26458152911,SOS Børnebyerne,SOS Børnebyerne,1128
12860228293,Politiken,Politiken,1013
1677055535924085,Røgfri Fremtid,Røgfri Fremtid,1011
116269191760882,DSB,DSB,775
108041771950114,Danmarksdemokraterne,Danmarksdemokraterne,719
5624899398,Mellemfolkeligt Samvirke,Mellemfolkeligt Samvirke,706
399210657232918,PlanBørnefonden,PlanBørnefonden,619
38507331439,Danmarks Naturfredningsforening,Danmarks Naturfredningsforening,592
99632942471,Læger uden Grænser (MSF),Læger uden Grænser (MSF),566
261599053881378,Fagbevægelsens Hovedorganisation,Fagbevægelsens Hovedorganisation,498
12787473132,Berlingske,Berlingske,455
72672361910,Børns Vilkår,Børns Vilkår,441
671022293105597,Alex Vanopslagh,Alex Vanopslagh,384
748887235210811,Obton Forvaltning A/S,Obton Forvaltning A/S,368
116227401722605,Dansk Flygtningehjælp,Dansk Flygtningehjælp,337
144965885963,Oxfam Danmark,Oxfam Danmark,311
110321008383861,Red Barnets landsindsamling,Red Barnet,296
55365680705,Greenpeace Danmark,Greenpeace Danmark,295
459641371068935,Forenet Kredit,Forenet Kredit,286
250994288337708,Sex og Samfund,Sex og Samfund,278
359674067377201,BUPL,BUPL,260
41459763029,Socialdemokratiet,Socialdemokratiet,250
302430309859808,Batavia Media,Batavia Media,247
155596147784577,WWF Verdensnaturfonden,WWF Verdensnaturfonden,241
154415494575789,IDA,IDA,232
304554445813,Videncentret Bolius,Videncentret Bolius,228
337166195327,BRYD TAVSHEDEN,BRYD TAVSHEDEN,223
182121298931589,Odense Kommune,Odense Kommune,213
126543540781090,Ældre Sagen,Ældre Sagen,197
276770505228,Folkekirkens Nødhjælp,Folkekirkens Nødhjælp,187
867877683280051,Weekendavisen,Weekendavisen,178
100423681446198,Virksomhedsguiden,Erhvervsstyrelsen,177
133707013355759,Danner,Danner,174
304554445813,Videncentret Bolius,Bolius,166
102154048301476,Lederstof.dk,Lederne,159
109012749124622,3F - Gør dig stærkere.,3F - Danmarks Stærkeste Fagforening,158
142831282424266,Åbent Landbrug,Landbrug & Fødevarer,152
104414898912918,GOTO Sønderborg,GOTO Sønderborg,145
748887235210811,Obton Forvaltning A/S,Obton A/S,132
167891603415958,Lederne,Lederne,113
21465928829,"Venstre, Danmarks Liberale Parti","Venstre, Danmarks Liberale Parti",≤100
529124290474705,Nikolaj Villumsen,Enhedslisten,≤100
146458868730806,ROSE - Dansk kylling siden 1952,HKScan Denmark A/S,≤100
657491824390744,Spring Copenhagen,Spring Copenhagen,≤100
105511328705392,HØRT,Børns Vilkår,≤100
246977185497434,Plastic Change,Plastic Change,≤100
350495955072656,Klimabevægelsen i Danmark,Klimabevægelsen i Danmark,≤100
287306323369,Børnecancerfonden,Børnecancerfonden,≤100
369336273158091,Land of Hope,Land of Hope,≤100
203700576325922,Koda,Koda,≤100
116061635098137,Karina Lorentzen Dehnhardt,SF,≤100
239624940212,HK Kommunal,HK Kommunal,≤100
1405355586351630,Carlsbergfondet,Carlsbergfondet,≤100
1704424023182897,Politiken Historie,Politiken Historie,≤100
130388840342741,Danske Bank,Danske Bank,≤100
129940943738051,Odense ser Rødt,Odense ser Rødt,≤100
181330585392156,Skattestyrelsen,Skattestyrelsen,≤100
264009771074617,Niels Fuglsang,Niels Fuglsang,≤100
372025753616,PFA Brug Livet Fonden,PFA Brug Livet Fonden,≤100
107898832590939,European Commission,European Commission,≤100
153708144675646,PFA,PFA,≤100
1684646181850363,TjekDet,TjekDet,≤100
145392175531068,JydskeVestkysten,JydskeVestkysten,≤100
36664432940,Amnesty International Danmark,Amnesty International Danmark,≤100
20303574131,Nationalmuseet,Nationalmuseet,≤100
185888988175423,Netavisen Pio,Netavisen Pio,≤100
246097715413231,Alkohol & Samfund,Alkohol & Samfund,≤100
376442055780548,"Søren Søndergaard, formand for Landbrug & Fødevarer",Landbrug & Fødevarer,≤100
442403485851495,Morten Helveg Petersen,Morten Helveg Petersen,≤100
186645960378,Danwatch,Danwatch,≤100
102475652877650,Håkonsson Advokater,These ads ran without a disclaimer,≤100
1037138983037629,Hjem til Alle alliancen,Hjem til Alle,≤100
591683257511399,Sprøjtefri - Nej til sprøjtegifte i haven,VPU - Vandværkerne i Aarhus,≤100
144098125661833,Nordea Invest,Nordea Invest,≤100
390925417751473,Erling Bonnesen,Erling Bonnesen,≤100
1471913586453233,Organdonation - ja tak,Organdonation - ja tak,≤100
336333896418452,Assens Kommune,Assens Kommune,≤100
367522986719919,Gastech-Energi,Gastech-Energi A/S,≤100
102031171445921,Grønne Nabofællesskaber,Grønne Nabofællesskaber,≤100
100588538904188,Kim Andkjær Doberck Nye Borgerlige,Kim Andkjær Doberck Nye Borgerlige,≤100
356520931077196,Europabevægelsen,Europabevægelsen,≤100
19176473894,IMS (International Media Support),IMS (International Media Support),≤100
169918310823,Foreningen Spiseforstyrrelser og Selvskade,Foreningen Spiseforstyrrelser og Selvskade,≤100
341299649231023,Zetland,Zetland,≤100
314676938743,DM din akademiske fagforening,DM,≤100
167887506877,AIDS-Fondet,AIDS-Fondet,≤100
615028135227297,Institut for psykosomatik og følelsesforløsning,These ads ran without a disclaimer,≤100
297422283612612,TotalEnergies,TotalEnergies,≤100
101875815016312,Caroline Victoria Christensen,Caroline Victoria Christensen,≤100
217135424459,Karen Blixen Museum,Karen Blixen Museum,≤100
