Page ID,Page name,Disclaimer,Amount spent (DKK)
101875098313543,Andel,Andel,2573
1507997959501973,Landbrug & Fødevarer,Landbrug & Fødevarer,931
65929129383,Røde Kors,Røde Kors,821
1677055535924085,Røgfri Fremtid,Røgfri Fremtid,660
59143726810,Psykiatrifonden,Psykiatrifonden,638
26458152911,SOS Børnebyerne,SOS Børnebyerne,635
276770505228,Folkekirkens Nødhjælp,Folkekirkens Nødhjælp,631
12860228293,Politiken,Politiken,516
5624899398,Mellemfolkeligt Samvirke,Mellemfolkeligt Samvirke,354
261599053881378,Fagbevægelsens Hovedorganisation,Fagbevægelsens Hovedorganisation,335
116269191760882,DSB,DSB,305
399210657232918,PlanBørnefonden,PlanBørnefonden,305
38507331439,Danmarks Naturfredningsforening,Danmarks Naturfredningsforening,281
72672361910,Børns Vilkår,Børns Vilkår,272
108041771950114,Danmarksdemokraterne,Danmarksdemokraterne,244
12787473132,Berlingske,Berlingske,239
671022293105597,Alex Vanopslagh,Alex Vanopslagh,234
748887235210811,Obton Forvaltning A/S,Obton Forvaltning A/S,200
116227401722605,Dansk Flygtningehjælp,Dansk Flygtningehjælp,187
55365680705,Greenpeace Danmark,Greenpeace Danmark,168
104414898912918,GOTO Sønderborg,GOTO Sønderborg,158
250994288337708,Sex og Samfund,Sex og Samfund,151
304554445813,Videncentret Bolius,Videncentret Bolius,130
110321008383861,Red Barnets landsindsamling,Red Barnet,115
41459763029,Socialdemokratiet,Socialdemokratiet,114
126543540781090,Ældre Sagen,Ældre Sagen,104
100423681446198,Virksomhedsguiden,Erhvervsstyrelsen,103
155596147784577,WWF Verdensnaturfonden,WWF Verdensnaturfonden,103
144965885963,Oxfam Danmark,Oxfam Danmark,≤100
304554445813,Videncentret Bolius,Bolius,≤100
109012749124622,3F - Gør dig stærkere.,3F - Danmarks Stærkeste Fagforening,≤100
102154048301476,Lederstof.dk,Lederne,≤100
867877683280051,Weekendavisen,Weekendavisen,≤100
223040066022,Enhedslisten,Enhedslisten,≤100
21465928829,"Venstre, Danmarks Liberale Parti","Venstre, Danmarks Liberale Parti",≤100
246977185497434,Plastic Change,Plastic Change,≤100
