Page ID,Page name,Disclaimer,Amount spent (INR)
104329714842288,HIIMS,These ads ran without a disclaimer,14795
109545244848137,Crafto,Kutumb App,5664
109937650579639,discovery+,discovery+,5610
568928239883450,The Times Of A Better India,The Times Of A Better India,3759
101713962007976,Amrit Mahotsav,Amrit Mahotsav,3715
243524299157863,Pushkar Singh Dhami,Pushkar Singh Dhami,2785
330760810293224,HelpAge India,HelpAge India,2047
1471581409720618,BJP Uttar Pradesh,Bharatiya Janata Party (BJP),1487
1521106071438318,CMO Chhattisgarh,IVS Corporation,1162
739221966159227,Rajesh Singh,Rajesh Singh,1127
110180319077250,ZEE Cinema,These ads ran without a disclaimer,1093
165714096933078,Piyush Goyal,Piyush Goyal,1081
20386543316,WWF-India,WWF-India,997
164232003593895,Rashtriya Lok Dal-राष्‍ट्रीय लोक दल,Rashtriya Lok Dal,917
1327351450720146,Pradhan Mantri Bhartiya Janaushadhi Pariyojana,Pharmaceuticals & Medical Devices Bureau of India,865
421179061356837,Eknath Shinde - एकनाथ संभाजी शिंदे,Eknath Shinde - एकनाथ संभाजी शिंदे,843
30290552843,Greenpeace India,Greenpeace Environment Trust,823
102277376171800,Yash Agarwal,Yash Agarwal,733
174283119250672,Bal Raksha Bharat,Bal Raksha Bharat,680
102051192859589,Jai Prakash,atlytic,660
155418314920954,Orchid HRD Trainings भाषणकला व राजकीय नेतृत्व कौशल्य प्रशिक्षण,Orchid HRD Trainings भाषणकला व राजकीय नेतृत्व कौशल्य प्रशिक्षण,656
103782051383159,School of Politics,School of Politics,633
746568209028564,Dr. Basu Eye Hospital,Dr. Basu Eye Hospital,593
21169267101,Give,Give,579
132689140088396,smilefoundation,smilefoundation,538
510838172378770,Rajnath Singh Lucknow,Pragya Net Technology,533
1990248287670848,Shashank Mani शशांक मणि,Shashank Mani,507
121669029226768,MTV Nishedh,MTV Staying Alive Foundation,489
109230907430462,Teachmint,These ads ran without a disclaimer,478
142752549111246,Construction World Magazine,Asapp Info Global Services Pvt. Ltd,472
797927846899300,Flag Foundation of India,Flag Foundation of India,468
104513162414797,Sanghmitra Maurya,Click2Public Technologies OPC Pvt. Ltd.,462
107594063255738,Ankur Warikoo,These ads ran without a disclaimer,450
667560657014524,Mahendra Singh Solanki,Swanit Infotech,441
224618077692752,Sanjay Tandon,CosMark Media Pvt Ltd,434
107334185444129,Charitism Global,Charitism Global,426
544920495569144,CP Joshi,CP Joshi,423
596607947182950,Ranjeet Singh Sodala,Ranjeet Singh Sodala,399
404746486258732,Project Nanhi Kali,Project Nanhi Kali,393
123405501008524,Mercedes-Benz India,Mercedes-Benz India,391
101437656247049,Modi Quotes,Modi Quotes,336
107792554485544,Dr. Amit Singh Chauhan,VC infotech,310
204599692918446,Rajesh Ranjan,Rajesh Ranjan,295
270666596375251,Jhatkaa.org,Jhatkaa.org,288
1807761416182426,Kamal Midha,Kamal Midha,269
101610392620043,ITS Speciality Dental Clinic,ITS Speciality Dental Clinic,266
104736419210593,PACE INDIA,PACE INDIA,256
384000501947350,Devendra Yadav,Think First,253
114233898263244,Indian Compass Videos,theindiancompass.com,252
216506801885954,Pankaj Chaudhary,Pankaj Chaudhary,250
100735178208398,Udyami India,Samadhan Samiti,232
521087391666842,Dr.Rajesh Babal,Dr.Rajesh Babal,229
572119322946420,Manish Kumar Singh,Manish Kumar Singh,229
101889748604483,Cyboard School,These ads ran without a disclaimer,225
103205695784211,Vandana Verma,Vandana Verma,224
110335041989364,महाराष्ट्राचे भविष्य एकनाथ,महाराष्ट्राचे भविष्य एकनाथ,222
2248485428700495,Global Leaders Awards,Global Leaders Awards,220
301058180261039,Kunwar Brijesh Singh,Kunwar Brijesh Singh,214
698096280212576,Bhatti Vikramarka Mallu,Bhatti Vikramarka Mallu,213
112757083778788,"Economic Daily, China",These ads ran without a disclaimer,207
142154439693756,Team Harender Singhal - THS,Team Harender Singhal - THS,201
105494724815217,Mahesh Sharma,Mahesh Sharma,187
109835227509180,Upendra Pal Singh,AAJneeti Advertising,187
436896529718288,European Patent Office,These ads ran without a disclaimer,176
301902473766068,முதல்வன் OPS,முதல்வன் OPS,175
590235044512297,Virchandra Paswan,Virchandra Paswan,174
466835200043903,उमेद अभियान - Maharashtra State Rural Livelihoods Mission,MASRLM,172
390976557590103,I Support Narendra Modi,I Support Narendra Modi,166
109237412175788,All Creations Are Equal,These ads ran without a disclaimer,165
101964264562944,Sanjay Singh Gangwar,Sanjay Singh Gangwar,160
186199704897466,RD Foundation,RD Foundation,158
317463093373,The Akshaya Patra Foundation,These ads ran without a disclaimer,158
105106717632718,Nutrizoe,These ads ran without a disclaimer,152
321228061382932,Pt. Shekhar Dixit,Websofy Software Private Limited,150
102218576103904,Badlaav ki Aandhi Priyanka Gandhi,Badlaav Ki Aandhi Priyanka Gandhi,149
100307808451377,Ankur Raj Tiwari,Filmitics Media,148
520972198086866,BJP Punjab,Bharatiya Janata Party (BJP),147
354781738391591,Harender singhal,Harender singhal,140
411129449009589,K.C. Venugopal,K.C. Venugopal,136
148931718592314,Tarun Chugh,Adv Tech,131
110847490543428,Vipul Kumar Salwan,Vipul Kumar Salwan,126
104544725898832,Sangeeta Shah Bjp,Sangeeta Shah Bjp,125
107760062318468,E-Mudra Loan,E-Mudra Loan,122
102573082840274,Shambhawi Peethadhishwar,Shambhawi Peethadhishwar,121
455447354644551,Sabir Ali,Sabir Ali,118
152154292012572,Navjivan,Navjivan,118
276512419511205,Kathi Karthika,Policy Briefcase,118
449378495112356,Swades Foundation,Swades Foundation,118
102314721847020,UPReportCard,UPReportCard,116
100798165312373,BJP achampet,BJP achampet,115
110194685265228,Praveen Jha,Praveen Jha,112
103040206040226,Dr. B S Ajaikumar's Thought Leadership,Dr. B S Ajaikumar's Thought Leadership,111
417546858312612,Radio City,These ads ran without a disclaimer,111
112709838355954,Prachar99,Prachar99,111
1133172486731977,अखिलेश यादव रायबरेली,These ads ran without a disclaimer,111
375141272567406,Ravindra Chavan,Ravindra Chavan,110
324431637935197,We Support Narendra Modi,Adv Tech,109
101822016219605,Shashank Mattoo,These ads ran without a disclaimer,109
114592314849721,Sunil Maheshwari,Sunil Maheshwari,107
110380902048597,Naveen Silu,Naveen Silu,102
106480682097854,NM Hospital,Vnr digital media house,101
110137135193206,Akhilesh Yadav ' Aksh',Akhilesh Yadav ' Aksh',≤100
112395020284536,Inquilab India,Inquilab India,≤100
102869179333448,Vijay Sahu,Vijay Sahu,≤100
764865110238987,Varinder Shah - Bulle Shah,Big Boys Consulting Private Limited,≤100
526222491203445,The Chaupal,The Chaupal,≤100
164795300533049,RV Institutions,These ads ran without a disclaimer,≤100
108562495293165,Energy Asia,These ads ran without a disclaimer,≤100
351633781843801,Ashok Katariya,Ashok Katariya,≤100
522037684635166,MAHLE,These ads ran without a disclaimer,≤100
106360817568437,Daulat Singh Faujdar Nadbai,Daulat Singh Faujdar Nadbai,≤100
301482743520742,Aseem Gupta,Aseem Gupta,≤100
33497111948,Child Rights and You,Child Rights and You,≤100
1451713601732629,PK Verma,PK Verma,≤100
108935364979003,Ragidi Laxma Reddy,Ragidi Laxma Reddy,≤100
973189589455249,Thakur Jaivir Singh,Thakur Jaivir Singh,≤100
101208972326908,Bhagwan Singh Rathore,Bhagwan Singh Rathore,≤100
204318116677554,National Herald,National Herald,≤100
104441165999273,E-Mudra Capital,E-Mudara Capital,≤100
103431795767026,Chand Siddiqui,These ads ran without a disclaimer,≤100
104932949009307,Bandaru Vijaya laxmi,Bandaru Vijaya laxmi,≤100
336510653062915,Canvas People-Power,These ads ran without a disclaimer,≤100
110115671863420,Kacche Din,Kacche Din,≤100
479998865355592,Aditya Birla Group,Aditya Birla Group,≤100
108867764912685,Pushkal Gupta,Promoworks I.T Solutions,≤100
365797377098776,Nityanand Rai,Luna Creatives Pvt Ltd,≤100
195167817324812,Pawan Khera,Pawan Khera,≤100
111306044387629,Vishambhar Poonia,Vishambhar Poonia,≤100
111092607280069,APAC News Network,These ads ran without a disclaimer,≤100
104446929038402,Pukesh Chandrakar,Pukesh Chandrakar,≤100
1956036351343539,Amar Parwani,The VoloPV,≤100
106332112196008,Shiv Shankar Singh,Shiv Shankar Singh,≤100
329145898982,Himanta Biswa Sarma,Himanta Biswa Sarma,≤100
104338925107597,Devendra Chamad,Devendra Chamad,≤100
543596058995303,"Dr. Param Navdeep Singh Doctor, Social Activist, Politician","Dr. Param Navdeep Singh Doctor, Social Activist, Politician",≤100
114843511602775,Sonic Music Records,Rajasthan Magazine,≤100
108035561152933,Maha Awaas,Maha Awaas,≤100
119128724534193,Digiprime,digitalbado.com,≤100
116383754696955,Antardhwani - The Inner Voice,Antardhwani,≤100
616628545098948,Ritesh Sharma,Ritesh Sharma,≤100
101956562742174,sadbhavna.trust,These ads ran without a disclaimer,≤100
1469646599969390,Qaumi Awaz,QAUMI AWAZ,≤100
597500637275718,Vikrant Singh Rishu,Vikrant Singh Rishu,≤100
107081225202487,Dr.Anil Dabbu,Unikudos Software,≤100
104800722555780,यशस्वी मुखिया,यशस्वी मुखिया,≤100
918012775255465,Abhimanyu Singh,Abhimanyu Singh  अभिमन्यु सिंह,≤100
568675259997108,City Headlines News,City Headlines News,≤100
1315063298610876,टीम अशोक पाठक,Digital Computer Classes,≤100
1105148839622891,Dr. Himanshu Katara Nadbai,Dr. Himanshu Katara Nadbai,≤100
116258891485658,Colourpix Graphics,RSK Tech Labs,≤100
529298577561300,Naveen Dagar BJP,Naveen Dagar BJP,≤100
49218554014,Swami Ramdev,These ads ran without a disclaimer,≤100
104614311322935,Bring Back Congress -2023,Policy Briefcase,≤100
101730234899173,Kapil Faujdar,Kapil Faujdar,≤100
433382980078113,Gudur Narayana Reddy,Kalyan Chandra Consulting,≤100
113279416970337,Tammangouda RaviPatil,Tammangouda RaviPatil,≤100
101653739632411,online pencil packing homework job,These ads ran without a disclaimer,≤100
33497111948,Child Rights and You,These ads ran without a disclaimer,≤100
2051403505141096,DrRamprasad Bhariya,These ads ran without a disclaimer,≤100
644400709346753,Adv.Uma Shanker Sharma,Adv.Uma Shanker Sharma,≤100
101934341160333,प्रमोद नाना भानगिरे - Pramod Nana Bhangire,प्रमोद नाना भानगिरे - Pramod Nana Bhangire,≤100
1706371292942156,"Ministry of Development of North Eastern Region, Government of India","Ministry of Development of North Eastern Region, Government of India",≤100
110389452013856,Shailesh Trivedi Fan Club,The VoloPV,≤100
132689140088396,smilefoundation,Smile Foundation,≤100
195069364726665,Dr. Shishupal Yadav,Dr. Shishupal Yadav,≤100
151640195016242,Madhusudan Bhinda,Websikar Technologies Pvt. Ltd.,≤100
