Page ID,Page name,Disclaimer,Amount spent (TWD)
238507146264909,國際特赦組織 台灣分會 Amnesty International Taiwan,國際特赦組織 台灣分會 Amnesty International Taiwan,529
286487218798,遠見雜誌,遠見雜誌,498
100462402863023,打破魔鏡,打破魔鏡,315
102335412698297,GOing台北,GOing台北,251
105556085524776,Twpca-台灣野良犬照護協會,Twpca-台灣野良犬照護協會,215
693907914395620,良杯製所 Oolab,良杯製所 Oolab,169
1036737036524152,傳家寶33,These ads ran without a disclaimer,154
148475335184300,Greenpeace 綠色和平 (台灣網站),Greenpeace 綠色和平 (台灣網站),146
106801464127093,目目非營利 MUVE NPO,目目非營利,144
131795423172,徐欣瑩,徐欣瑩,112
2385902435067954,LINE VOOM 台灣,LINE Taiwan Limited,107
177161918975981,基督教芥菜種會,基督教芥菜種會,105
101823675693502,黑熊學院,These ads ran without a disclaimer,≤100
104517709143455,台北U&ME,台北U&ME,≤100
219315794887869,聯合報,聯合報股份有限公司,≤100
152472278103133,賴清德,賴清德,≤100
167913323845559,FNG世代設計｜為了下一代而設計,FNG世代設計｜為了下一代而設計,≤100
195890640463420,台灣永續能源研究基金會 Taiwan Institute for Sustainable Energy (TAISE),台灣永續能源研究基金會 Taiwan Institute for Sustainable Energy (TAISE),≤100
241284961029,udn.com 聯合新聞網,udn.com 聯合新聞網,≤100
401843085061,台電電力粉絲團,台電,≤100
201785650801,亞洲大學(Asia University Taiwan),亞洲大學,≤100
569626243213799,生鮮時書,生鮮時書,≤100
152479095435700,茶樹莊園 Tea Tree Garden,花仙子 Farcent,≤100
1466476516978500,花現彰化-彰化縣政府新聞處,花現彰化-彰化縣政府新聞處,≤100
107967864993250,SOGA STOP！,財團法人隆中向上教育基金會,≤100
277223962685223,Nespresso.TWN,Nespresso.TWN,≤100
158025223269,今周刊,今周刊,≤100
372692962824783,工程圖輯隊-新北工務局,新北市政府,≤100
1649523455281990,遠山呼喚,遠山呼喚國際貧童教育組織,≤100
227597833442,鄭南榕基金會．紀念館,鄭南榕基金會．紀念館,≤100
221323424616286,吳祥輝 Brian Wu,吳祥輝 Brian Wu,≤100
390569611008641,願景工程 Vision Project,願景工程基金會,≤100
104624290080479,張育美,張育美,≤100
211730475524462,大陸委員會,大陸委員會,≤100
1629474157289221,小牛頓,小牛頓科學教育有限公司,≤100
106199194706153,新竹數位城,新竹數位城,≤100
171759036215066,創世紀不動產教育訓練中心,創世紀不動產教育訓練中心,≤100
100714476220256,永續金融先行者聯盟,永續金融先行者聯盟,≤100
1212271885604995,社團法人愛的延續公益協會,社團法人愛的延續公益協會,≤100
101355918337667,地天泰國際顧問有限公司,地天泰國際顧問有限公司,≤100
188358792124,聯經出版,聯經出版,≤100
465616346853075,RE-THINK 重新思考,RE-THINK 重新思考,≤100
720492554670764,李國璋 新竹市東區市議員,李國璋 新竹市東區市議員,≤100
110699089014688,三立新聞,三立新聞,≤100
120869137965597,SEMI 國際半導體產業協會,SEMI 國際半導體產業協會,≤100
239512030682497,第一手星聞,民視新聞,≤100
129452013855801,RITE,RITE,≤100
258367037959241,球芽基金Basegarden,球芽基金,≤100
1206024742797005,UBI Taiwan 台灣無條件基本收入協會,台灣無條件基本收入協會,≤100
103725475725026,小蔡先生の美食廢片,These ads ran without a disclaimer,≤100
164483516927300,張景嵐,張景嵐,≤100
107748503913028,柯P逐字稿,柯P逐字稿,≤100
1847777185521418,放言 Fount Media,放言科技傳媒股份有限公司,≤100
195890640463420,台灣永續能源研究基金會 Taiwan Institute for Sustainable Energy (TAISE),財團法人台灣永續能源研究基金會,≤100
191690867518507,江啟臣,江啟臣,≤100
575747599156894,環境資訊中心,台灣環境資訊協會,≤100
170671044596,天主教善牧基金會,天主教善牧基金會,≤100
101176989480437,九槍 And Miles to Go Before I Sleep,These ads ran without a disclaimer,≤100
180516279238465,桃園市立美術館 Taoyuan Museum of Fine Arts,桃園市立美術館 Taoyuan Museum of Fine Arts,≤100
791870507594526,利樂創新界,利樂創新界,≤100
397602236982040,三立iNEWS,三立新聞,≤100
436843193180529,Unipapa,Unipapa,≤100
235679595900,民視新聞,民視新聞,≤100
108696572024879,民視佮你講（Bîn-sī kah lí kóng）,民視新聞,≤100
1743825042576235,楊文科,楊文科,≤100
262531920494874,財團法人金融消費評議中心,財團法人金融消費評議中心,≤100
107544104719529,FinGuider 美股資訊網,FinGuider 美股資訊網,≤100
282131515802876,新北民政保平安,采威國際資訊股份有限公司,≤100
679518422104905,民視全球新聞,民視新聞,≤100
1141695282670470,張博洋,張博洋,≤100
106118168971467,債務人權益協會 扣薪 協商 更生 清算,債務人權益協會 扣薪 協商 更生 清算,≤100
103141681121150,城市學,遠見雜誌,≤100
283023849262,台灣同志諮詢熱線協會,台灣同志諮詢熱線協會,≤100
101718182459153,天秤座戰士,Companionship Digital,≤100
673035569401167,育田基金會 Mercyland,財團法人育田社會福利慈善基金會,≤100
101576862144790,工程師看政治,工程師看政治,≤100
100216765069813,唐平榮 執行長的人生甘味廚房,唐平榮 執行長的人生甘味廚房,≤100
128818803902,兩岸犇報,兩岸犇報,≤100
796994720374176,鳴人堂,鳴人堂,≤100
458619957813719,東元電機 TECO,These ads ran without a disclaimer,≤100
719804228417042,未來生活實驗室 Lifeaholic,These ads ran without a disclaimer,≤100
548843905255175,中衛產業行腳,中衛發展中心,≤100
450022125094118,UNA 美國州立北阿拉巴馬大學 亞太教育中心,These ads ran without a disclaimer,≤100
481065478629613,The News Lens 關鍵評論網,The News Lens 關鍵評論網,≤100
198034900215763,真光福音教會,These ads ran without a disclaimer,≤100
476772743089290,JBOM downpipe,These ads ran without a disclaimer,≤100
171271809554883,ViewFinder,ViewFinder,≤100
1169935639693559,日生金 為您日日生金,These ads ran without a disclaimer,≤100
353969244961944,巨彩興業有限公司,巨彩興業有限公司,≤100
281219301931458,蔡其昌,蔡其昌,≤100
1645501069043806,科科性別,國立高雄師範大學,≤100
180903242083235,台灣動物平權促進會 TAEA,台灣動物平權促進會 TAEA,≤100
