Page ID,Page name,Disclaimer,Amount spent (AUD)
102329728050606,Yes23,Yes23,4865
108695110952294,Greens MPs,Greens MPs,1940
334563333634959,Australian Government Department of Education,Australian Government Department of Education,1515
9480502970,Greenpeace Australia Pacific,Greenpeace Australia Pacific,1496
532962446729390,Australian Families,Department of Social Services,1278
107492935010781,Kylea Tink for North Sydney,Kylea Tink,1073
233539463360143,Mining & Energy Union,CFMEU Mining & Energy,872
145262132264710,Angus Taylor MP,Angus Taylor MP,863
299753643444311,AEC,Australian Electoral Commission,771
350996037887,Beyond Zero Emissions,Beyond Zero Emissions,654
182564410468,Australia for UNHCR,Australia for UNHCR,629
225761522187219,Turning Point Australia,Turning Point Australia Pty Ltd,562
174666115898903,Jerome Laxale MP,Jerome Laxale,553
160054227468,World Vision Australia,World Vision Australia,506
36002998891,City of Sydney,City of Sydney,488
345960425540557,The Climate Council,The Climate Council,483
494820897261439,Bank Australia,Bank Australia,482
112133637214684,Doctors Without Borders / Médecins Sans Frontières (MSF),Médecins Sans Frontières Australia,471
927439480613235,Minerals Council of Australia,Minerals Council of Australia,443
1513078735604544,Dept of Communities and Justice NSW - safer together,Department of Communities and Justice,430
191414167860517,David Littleproud MP,David Littleproud MP,423
161854162881,Greenfleet,Greenfleet,399
495731404149305,Koffels Solicitors & Barristers,Koffels Solicitors and Barristers,396
1621692424754301,Minderoo Foundation,Minderoo Foundation,395
1776727752614025,Glencore,Glencore Australia,378
89794331215,Oxfam,Oxfam Australia,375
218519706184,NSW Police Force,NSW Police Force,364
351313714891862,Australian Good Meat,Meat & Livestock Australia,352
181578525342930,Master Builders Australia,Master Builders Australia,338
397307097023253,Justine Elliot MP,Justine Elliot MP,309
1766598643576242,Place Score,PLACESCORE,307
191570179167,Catherine Hamlin Fistula Foundation,Catherine Hamlin Fistula Foundation,302
92824008332,Plan International Australia,Plan International Australia,293
471390022952217,APPEA - Our Natural Advantage,APPEA,247
936147539773859,Great Barrier Reef Foundation,Great Barrier Reef Foundation,239
14193666340,Australian Conservation Foundation,Australian Conservation Foundation,230
8422338499,The Wilderness Society,The Wilderness Society,226
49991482906,Tearfund Australia,Tearfund Australia,212
418405098224592,350.org Australia,350.org Australia,209
362805317148988,Keith Pitt,Keith Pitt,189
117806591312470,Not Enough,Advance Australia,188
100385049145414,Allegra Spender,Allegra Spender MP,181
90728602000,Greening Australia,Greening Australia,168
157812980921536,Environmental Defenders Office,Environmental Defenders Office,166
119271104477423,Save Your Local Pharmacy,The Pharmacy Guild of Australia,163
101791315693,Destiny Rescue,Destiny Rescue,163
33463928664,International Women's Development Agency - IWDA,IWDA,161
184778112152,WaterAid Australia,WaterAid Australia,156
104180525925926,Fair Australia,Advance Australia,154
231341250224498,Australian Ethical Investment,Australian Ethical Investment,143
2067887946766818,Senator Claire Chandler,Senator Claire Chandler,140
50461955643,UNSW,UNSW Sydney,134
118388888197666,Ed Husic MP,Ed Husic MP,132
107195068310899,Sally Sitou MP 陈莎莉,Sally Sitou,128
109529059078471,Australian Himalayan Foundation,Australian Himalayan Foundation,126
49453745631,Amnesty International Australia,Amnesty International Australia,113
12173141558,Amanda Rishworth MP,Amanda Rishworth MP,112
1670517743250253,Save the Daintree Rainforest,Rainforest 4 Foundation Ltd,112
363375540400009,Linda Burney,Linda Burney,110
108381455902627,Australian Christian Lobby,Australian Christian Lobby,107
356113427813761,Kevin Hogan MP,Kevin Hogan MP,106
272757739102,Engineers Australia,Engineers Australia,105
149648047339,Save the Children Australia,Save the Children Australia,103
135933556447881,Australian Republic Movement,Australian Republic Movement,≤100
265498050194976,School for Life Foundation,School for Life Foundation,≤100
105084998845350,BPH Energy,BPH ENERGY LTD,≤100
10852627380,World Animal Protection Australia,World Animal Protection Australia,≤100
105140971475089,Chuffed.org - Australia,Chuffed.org,≤100
125812604095801,Invasive Species Council,Invasive Species Council,≤100
105348385388237,Senator Babet,Senator Babet,≤100
104419985146228,Ekō Australia,Ekō Australia,≤100
1466035070293582,Alex Hawke MP,Alex Hawke MP,≤100
1989373424630784,Bridging the Gap Foundation,Bridging the Gap Foundation,≤100
1920108454748294,Senator Perin Davey,Senator Perin Davey,≤100
694832627392516,Prime Super,Prime Super,≤100
76212817063,CARE Australia,CARE Australia,≤100
287789063686,Brendan O'Connor MP,Brendan O'Connor MP,≤100
98433455545,The Hunger Project Australia,The Hunger Project Australia,≤100
59024478936,Monash University,Monash University,≤100
387624131383295,Dept of Communities and Justice NSW - stronger together,Department of Communities and Justice,≤100
145347352187764,UN Women Australia,UN Women Australia,≤100
116786317962336,Powerhouse Parramatta,Powerhouse Museum,≤100
51678172580,SANE,SANE,≤100
939571409499551,Kristy McBain,Kristy McBain,≤100
206540052690401,Jean Hailes for Women's Health,Jean Hailes for Women's Health,≤100
101589645013040,Thrive by Five,Thrive By Five,≤100
537762462924537,Anthony Albanese,Anthony Albanese,≤100
18812418320,Marie Claire Australia,These ads ran without a disclaimer,≤100
161756303893852,Senator Bridget McKenzie,Senator Bridget McKenzie,≤100
7783116506,Animals Asia,These ads ran without a disclaimer,≤100
172094012830551,Australian Paralympic Team,Paralympics Australia,≤100
273767159580,Physical Disability Council of NSW,Physical Disability Council of NSW,≤100
447447719391089,Health Care Providers Association,Health Care Providers Association,≤100
150698155004187,Senator Louise Pratt,Senator Louise Pratt,≤100
1159459864219222,Pat Conaghan MP,Patrick Conaghan,≤100
268606619928735,Voice of the Martyrs Australia,Voice of the Martyrs Australia,≤100
581606621934473,International Justice Mission,International Justice Mission Australia,≤100
1653567181523741,Greater Cities Commission,Greater Cities Commission,≤100
129819533748295,Andrew Leigh MP,Andrew Leigh MP,≤100
341910905847062,Asylum Seeker Resource Centre (ASRC),Asylum Seeker Resource Centre (ASRC),≤100
1622506634677043,Senator Jacinta Nampijinpa Price,Jacinta Nampijinpa Price,≤100
54879226285,Teach For Australia,Teach For Australia,≤100
489176018522933,Senator Tony Sheldon,Senator Tony Sheldon,≤100
486290621414640,Australian Government Department of Health and Aged Care,Australian Government Department of Health,≤100
2383045228374491,CPAC Australia,Conservative Political Action Network Ltd,≤100
143359625694786,Baptist World Aid Australia,Baptist World Aid Australia,≤100
1732951633627025,Farmers for Climate Action,Farmers for Climate Action,≤100
655944151127130,SBS Cantonese 廣東話節目,Special Broadcasting Service,≤100
162107547181406,LNP - Liberal National Party,Liberal National Party of Queensland,≤100
328245481103110,Senator Alex Antic,Alex Antic,≤100
461218903956271,Sperm Donors Australia,Sperm Donors Australia,≤100
100356216050100,Family First Party Australia,Family First Party Australia Ltd,≤100
727974650569697,Fiona Phillips MP,Fiona Phillips MP,≤100
110627367235865,Australian Government,Australian Government,≤100
655173787829512,National Zakat Foundation Australia,National Zakat Foundation,≤100
200819325600,ActionAid Australia,ActionAid Australia,≤100
1818348581826942,The Literacy for Life Foundation,Literacy for Life Foundation,≤100
948595148496917,Andrew Hastie,Andrew Hastie,≤100
382517738472842,Give Freedom International,Give Freedom International,≤100
1717568768494213,Paul Scully MP,Paul Scully MP,≤100
198830586850988,Sussan Ley MP,Sussan Ley,≤100
173168582700205,SBS中文,SBS Mandarin中文普通话,≤100
316480331783930,Australian Unions,Australian Unions,≤100
123597645479,Australian Childhood Foundation,Australian Childhood Foundation,≤100
396894457756694,The Down Low,Organon,≤100
325083185784,Minus18,Minus18,≤100
156271657717715,Nature NSW,Nature Conservation Council of NSW,≤100
364618026916809,SBS Persian,SBS Persian,≤100
391992950856411,KU Children's Services,KU Children's Services,≤100
504855933190931,Time for Change - Change Aged Care,United Workers Union,≤100
395925083822599,Anna Watson MP - Member for Shellharbour,Anna Watson MP Member for Shellharbour,≤100
101242369463631,MSI Asia Pacific,MSI Asia Pacific,≤100
211018298919743,Environmental Justice Australia,Environmental Justice Australia,≤100
101356533405538,Jason Clare,Jason Clare,≤100
395201170875812,Colin Boyce MP,Colin Boyce MP,≤100
665017740294128,Julian Hill MP,Julian Hill MP,≤100
101943172244456,AWU - Australian Workers' Union NSW Branch,Australian Workers' Union - NSW Branch,≤100
1483396328456198,Acciona.Australia,ACCIONA Australia,≤100
2202229243381304,The Vocal Minority,The Vocal Minority,≤100
461713630554622,Sharon Claydon MP,Sharon Claydon MP,≤100
160347484009125,Central Land Council,Central Land Council,≤100
136441724510,Humane Society International Australia,Humane Society International Australia,≤100
518067831674293,Myanmar Now,These ads ran without a disclaimer,≤100
557758877731148,Anne Stanley MP,Anne Stanley MP,≤100
102288789415463,Architects Assist,Architects Assist,≤100
125542290820956,Kirin J Callinan,These ads ran without a disclaimer,≤100
167017986671102,Samaritans,Samaritans Foundation,≤100
44295826958,Australian Marine Conservation Society,Australian Marine Conservation Society,≤100
361491373921077,Solar Citizens,Solar Citizens,≤100
85553896227,Autism Spectrum Australia (Aspect),Autism Spectrum Australia (Aspect),≤100
419632568108398,Australian Citizens Party,Australian Citizens Party,≤100
8333641277,Shutterstock,These ads ran without a disclaimer,≤100
235483673325903,Parliament of NSW,NSW Parliament,≤100
155840004498916,Melbourne Law School,University of Melbourne,≤100
10896256989,Macquarie University,These ads ran without a disclaimer,≤100
22936848857,Institute of Public Affairs,Institute of Public Affairs,≤100
279716366207498,Reclaim Kosci,Invasive Species Council,≤100
203304343031704,Anglican Aid,Anglican Aid,≤100
139174417547253,The Week on Wednesday,The Week on Wednesday,≤100
616932805013929,MEAA,MEAA,≤100
175576645932510,Australasian Centre for Corporate Responsibility - ACCR,Australasian Centre for Corporate Responsibility,≤100
109544895165530,Believe There Is Good,Believe There Is Good,≤100
104234157625422,The Centre For Public Integrity,Centre For Public Integrity,≤100
1734173853529152,Queensland Family and Child Commission,Queensland Family and Child Commission,≤100
395425623055,Tasmanian Land Conservancy,Tasmanian Land Conservancy,≤100
172381239442699,City of Parramatta,City of Parramatta,≤100
112239124719864,Gen united,Gen United,≤100
194784127232544,SBS Arabic24,SBS Arabic24,≤100
521696954688354,Guardian Labs,Guardian Labs,≤100
344749942272795,Jo Haylen,Jo Haylen,≤100
160779783972850,City of Gold Coast,City of Gold Coast,≤100
345997035530264,Emma McBride MP,Emma McBride MP,≤100
216029662123709,Emma Hurst,Emma Hurst,≤100
195538532456,UNICEF Australia,UNICEF Australia,≤100
112129948486119,National Poll,Curious Minds Media Pty Ltd,≤100
1125047917526728,Murray Watt - Senator for Queensland,Murray Watt - Senator for Queensland,≤100
204577003549168,Kate Thwaites MP,Kate Thwaites MP,≤100
159082219490,Australian Youth Climate Coalition,Australian Youth Climate Coalition,≤100
103369851441851,Human Rights Law Alliance,Human Rights Law Alliance,≤100
8013404017,Crikey,Private Media,≤100
2063329587276680,Anika Wells MP,Anika Wells MP,≤100
1933939600195987,CFMEU Manufacturing,CFMEU Manufacturing Division,≤100
107873953932701,BORRA - Brisbane Off Road Riders Alliance,Brisbane Off-Road Riders Alliance Inc,≤100
194040513973995,Engineers Without Borders Australia,Engineers Without Borders Australia,≤100
329777267205680,ACT Government,ACT Government,≤100
106793478618852,jacobthefounder,These ads ran without a disclaimer,≤100
361491373921077,Solar Citizens,100% Renewable Community Campaign Public Fund,≤100
105610156282,Human Rights Law Centre,The Human Rights Law Centre,≤100
328641501156991,United Workers Union,United Workers Union,≤100
428308380384,Surfrider Foundation Australia,Surfrider Foundation Australia,≤100
2677544598953099,Anne Webster MP,"Anne Webster MP, National Party of Australia, Mildura,",≤100
113174381629359,Alcoa Australia,Alcoa Australia,≤100
104420342951642,WIRE,WOMENS INFORMATION AND REFERRAL EXCHANGE INCORPORATED,≤100
104936088727424,Sam Birrell MP,Sam Birrell MP,≤100
173712259331674,One Girl,One Girl,≤100
107082521243136,The Creative Co-Operative,The Creative Co-Operative,≤100
760144500853551,Rory Amon - Member for Pittwater,Rory Amon,≤100
157472830949702,Refugee Council of Australia (RCOA),Refugee Council of Australia,≤100
107921965544663,Jacinta Ermacora MP,Jacinta Ermacora MP,≤100
222638564548274,"Environment, Planning and Sustainable Development","ACT Government (Environment, Planning and Sustainable Development Directorate)",≤100
1859288844382060,Christian Medical and Dental Fellowship of Australia,Christian Medical and Dental Fellowship of Australia,≤100
308226400365,Twenty10,Twenty10,≤100
114980098553874,Sustainable Australia Party - Stop Overdevelopment & Corruption,Sustainable Australia Party,≤100
736501916703046,Crime Stoppers Australia,These ads ran without a disclaimer,≤100
288624128713732,Rose Jackson,Rose Jackson,≤100
1461874807280361,Mark Buttigieg MLC,Mark Buttigieg MLC,≤100
351048166130506,Ashton Hurn MP - Member for Schubert,Ashton Hurn MP,≤100
1767500736833451,Sustainable Population Australia,Sustainable Population Australia,≤100
112598935458686,UQ Health,The University of Queensland,≤100
137377391864,Environment Centre NT,Environment Centre NT,≤100
632024526979852,NPY Women's Council,These ads ran without a disclaimer,≤100
32799215298,Animals Australia,Animals Australia,≤100
266250683397747,Queensland Treasury,Queensland Treasury,≤100
111262740730112,Hawkesbury Post,Hawkesbury Post,≤100
290700654767295,The Chamber of Minerals and Energy of Western Australia - CMEWA,The Chamber of Minerals and Energy of Western Australia,≤100
1767226913545560,Rainforest Reserves Australia,Rainforest Reserves Australia,≤100
111068510623384,Tomorrow Movement,Young Campaigns,≤100
318841208703555,Justin Clancy MP,Justin Clancy MP,≤100
479849235417300,The Shot,The Chaser,≤100
297228350473919,Psychologyforasafeclimate,Psychology for a Safe Climate,≤100
106781186031116,Free To Shine,Free To Shine,≤100
105922411114130,Compass.info,Compass.info,≤100
110447131547,Indigo Foundation (Australia),indigo foundation,≤100
1601959433358253,John Gardner MP,John Gardner MP,≤100
193569081441,Rationalist Society of Australia,Rationalist Society of Australia Inc,≤100
214580121886337,The Ethics Centre,The Ethics Centre,≤100
144925335531540,Independent Australia,Independent Australia,≤100
100405089108108,OZ Arab Media,OZ Arab Media,≤100
114056377451505,Senator Tammy Tyrrell,Senator Tammy Tyrrell,≤100
167010053353176,Armenian National Committee of Australia,Armenian National Committee of Australia,≤100
195906990478739,Jenny McAllister,Jenny McAllister,≤100
275745665845951,Palliative Care Australia,Palliative Care Australia,≤100
581606621934473,International Justice Mission,International Justice Mission,≤100
465505093603615,Work180,These ads ran without a disclaimer,≤100
1660905180833979,Parliament of Victoria,Parliament of Victoria,≤100
256573751514036,AbbVie Australia,These ads ran without a disclaimer,≤100
192720571652271,Refinery29 Australia,Pedestrian Group,≤100
90267370162,Andrew Barr ACT Chief Minister,Andrew Barr for ACT Labor,≤100
207392485967326,Stacks Law Firm,Stacks Law Firm,≤100
246244719386767,Yourtoolkit.com,Your Toolkit,≤100
680274442059163,Animal Justice Party,Animal Justice Party,≤100
1220981994590364,FT Partner Content,These ads ran without a disclaimer,≤100
