Page ID,Page name,Disclaimer,Amount spent (USD)
1510566305893572,Rómulo Roux,Rómulo Roux,188
1642445269316564,Martín Torrijos,Martín Torrijos,107
247768972007283,Tribunal Electoral de Panamá,Tribunal Electoral de Panamá,≤100
103615842756513,Meliton Arrocha,Medios Estrategicos SA,≤100
261153657290417,José Blandón,José Blandón,≤100
366779907095778,Willie Bermúdez,Willie Bermúdez,≤100
115292478232323,Ricardo Vigil,Ricardo Vigil,≤100
106905399091487,Primarias Cambio Democrático,Cambio Democratico,≤100
327804570952589,Partido Alianza,Partido Alianza,≤100
1069728019776875,Panamenistas,Panamenistas,≤100
348141796374674,Apprendo Academy,Apprendo Academy,≤100
106775568769729,Goberna Panamá,Goberna Panamá,≤100
104592172188409,Best Novel,These ads ran without a disclaimer,≤100
168887553171428,Benjamin Romero,These ads ran without a disclaimer,≤100
732514553565054,RM con el pueblo,These ads ran without a disclaimer,≤100
131189377574,MDPI,These ads ran without a disclaimer,≤100
