Page ID,Page name,Disclaimer,Amount spent (NGN)
913242715449176,Prophet Ekong Ituen Ministries,Prophet Ekong Ituen Ministries,4524
102023009327901,Global Compassion Coalition,These ads ran without a disclaimer,1396
86593193453,Arabel Islamic Nigeria,These ads ran without a disclaimer,1198
104679584528987,Flourish,Flourish,1184
2178220108891807,Expedia Consult,These ads ran without a disclaimer,1139
660685641036325,Sandeco Group,Sandeco Group,1037
111353874017544,Mukhail Adetokunbo Abiru,Mukhail Adetokunbo Abiru,930
103018869332378,BantuPage,BantuPage,648
297904423657616,The ICIR,The ICIR,465
2010410822318073,Tvcnewsng,Tvcnewsng,296
111881251695758,KellyWin TV,These ads ran without a disclaimer,156
105707625578616,RealMad Maxy,These ads ran without a disclaimer,117
104391618995614,Nwachukwu Anthony Anakwenze,Nwachukwu Anthony Anakwenze,109
108217010644446,Oku Ozieoghene Victory,Oku Ozieoghene Victory,101
1564358537188482,Dr Betta Edu,Dr Betta Edu,≤100
128728490537179,Senator Asuquo Ekpenyong,Senator Asuquo Ekpenyong,≤100
118420731234931,Rt. Hon. Adewale Egbedun,Ril Stories,≤100
504523013265155,Validnews.ng,Validnews.ng,≤100
818604988492954,Chisco Onye Mgbago Umueri,These ads ran without a disclaimer,≤100
102169824695398,Rero TV,Rero TV,≤100
111180371693748,Rt.Hon Peter Odey - Cross River State Deputy Governor,Rt.Hon Peter Odey - Cross River State Deputy Governor,≤100
111679394767549,المشروع القومي لمشتقات البلازما,These ads ran without a disclaimer,≤100
112015191108359,Inside Port Harcourt,Inside Port Harcourt,≤100
102221989356704,Jonathan Jolly,These ads ran without a disclaimer,≤100
106702491384127,Smaliy OG Back in History,These ads ran without a disclaimer,≤100
114588721543429,parlyfabrics,These ads ran without a disclaimer,≤100
117352551390847,DQS: SEAT of POWER,These ads ran without a disclaimer,≤100
744766039058747,Inside Kaduna,Inside Kaduna Media,≤100
103658718861482,Primeclass Photo,These ads ran without a disclaimer,≤100
106062377887704,Dr. Anthony Obi Ogbo,These ads ran without a disclaimer,≤100
103368885043297,Tope Akewi,These ads ran without a disclaimer,≤100
104671762274356,UnGalld,These ads ran without a disclaimer,≤100
1653319091616796,Odia A Ogbebor Political Movement,Odia A Ogbebor Political Movement,≤100
