Page ID,Page name,Disclaimer,Amount spent (USD)
399110903587431,دژه تیرۆری کوردستان Kurdistan CT,دژه تیرۆری کوردستان Kurdistan CT,≤100
108208211346225,ڕێچکە - Rechka,ڕێچکە - Rechka,≤100
101225028723669,AsAn  ئاسان,AsAn  ئاسان,≤100
411891885531368,کێشەی خەڵک,KX,≤100
117411464290585,Nabaz Abdulhamid,Nabaz Abdulhamid,≤100
491650301257875,Bahjat Ali Ibraheem,Bahjat Ali Ibraheem,≤100
111183655221163,Ari Nanakali - ئاری نانەکەلی,Ari Nanakali - ئاری نانەکەلی,≤100
659208437434246,KNN +,KNN +,≤100
110735054899289,Lapere,Lapere,≤100
101537365554352,KURD POST,KURD POST,≤100
476291155820178,مەکتەبی ڕێکخستنی  پارێزگاى هەولێر  pdk,مەکتەبی ڕێکخستنی  پارێزگاى هەولێر  pdk,≤100
108448645342531,BAZ PLUS,BAZ PLUS,≤100
118147190026744,دەنگێ بەھدینان Dengê Behdinan,dengebehdinan.net,≤100
711506772983323,Raz Press,Raz Press,≤100
474047392637397,لقى 16 ى پارتى دیموكراتى كوردستان,لقى 16 ى پارتى دیموكراتى كوردستان,≤100
115176478173945,KBC,KBC,≤100
133439963658698,U.S. Consulate General Erbil,U.S. Consulate General Erbil,≤100
1971961376379162,Krmanj Abdulla - كرمانج عه بدوڵڵا,Krmanj Abdulla - كرمانج عه بدوڵڵا,≤100
102687942750312,Wagon,Wagon,≤100
135202556677269,Rabun Maroof رابون مەعروف,Rabun Maroof رابون مەعروف,≤100
238567589508195,ڕادیۆ و تەلەفزیۆنی سلێمانی,ڕادیۆ و تەلەفزیۆنی سلێمانی,≤100
130783806990987,"Hakim Qadir ,  حاکم قادر","Hakim Qadir ,  حاکم قادر",≤100
110370205097618,VOK,VOK,≤100
1960687214155123,بەیار عومەر عەبدوڵا Bayar Omar Abdullah,بەیار عومەر عەبدوڵا Bayar Omar Abdullah,≤100
103800424740910,BAZ باز,BAZ باز,≤100
467222586811080,شێخەی مەمەند ئاغای ھەمەوەند,شێخەی مەمەند ئاغای ھەمەوەند,≤100
441049192623245,راگەیاندنی مەکتەبی مامۆستا عەلی باپیر,راگەیاندنی مەکتەبی مامۆستا عەلی باپیر,≤100
1066183836729650,محمد توفيق علاوي,محمد توفيق علاوي,≤100
101834821974169,Salar Sarhad Khalifa  سالار لالە سەرحەد,Salar Sarhad Khalifa  سالار لالە سەرحەد,≤100
104005041772849,DAW- داو,DAW- داو,≤100
101088546158554,پوک میدیا,PUKMEDIA Official,≤100
1842041942691114,PUKMEDIA,PUKmedia Official,≤100
570578883145171,پەرەگراف Peregraf,PEREGRAF WEBSITE,≤100
138685182846445,Ganjani PDK گەنجانی پارتی دیموکراتی کوردستان,Ganjani PDK گەنجانی پارتی دیموکراتی کوردستان,≤100
415565805306148,كوردستان نیوز Kurdistan News,كوردستان نیوز Kurdistan News,≤100
105910348941254,Dubai Aqar,These ads ran without a disclaimer,≤100
563523023665939,KurdistanPress,kurdistanpress.net,≤100
1335631479841334,Zhyan Media,Zhyan Media,≤100
100471152287720,Kamal Agha,Kamal Agha,≤100
486820705424112,سيروان روژبیاني Sirwan  Rozhbayani,سيروان روژبیاني Sirwan  Rozhbayani,≤100
522721454528146,ئاژانسی راگەیاندنی پارتی,ئاژانسی راگەیاندنی پارتی,≤100
109499431675573,Media 24,Media 24,≤100
335087470495241,Bra Gawra برا گەورە,Bra Gawra برا گەورە,≤100
112048801639488,Zoom News,Zoom News,≤100
111743597035339,Yasin Shex Salah,These ads ran without a disclaimer,≤100
186155201748058,الهيئة العليا للحج والعمرة,الهيئة العليا للحج والعمرة,≤100
102682039247529,الیقین,الیقین,≤100
333432230097459,فەرماندەیی هێزەكانی پشتیوانی/1,فەرماندەیی هێزەكانی پشتیوانی/1,≤100
338411276506903,Media View,Media View,≤100
107788865290106,Jwanro Mohamad,Jwanro Mohamad,≤100
