Page ID,Page name,Disclaimer,Amount spent (USD)
813367968676851,S M Marikkar,S M Marikkar,≤100
103286342459881,Liberal Youth Movement,Liberal Youth Movement,≤100
105657958961784,Lanka Today,These ads ran without a disclaimer,≤100
345244199303870,ManKiwwa,ManKiwwa,≤100
107384742126815,DVA For Animal Welfare Bill Sri Lanka,Dharma Voices for Animals,≤100
464717467616478,Colombo Times,Colombo Times,≤100
107341371550141,Arogya Herbal,Arogya Herbal,≤100
600164267079683,Chamindranee Kiriella,These ads ran without a disclaimer,≤100
112886476931359,Sahan Pradeep Vithana,YT Creation,≤100
68916609029,Namal Rajapaksa,Namal Rajapaksa,≤100
107701142318767,මිලින්ද සමඟ  with Milinda,iThink,≤100
104856048635116,New Citizen TV,New Citizen TV,≤100
121082244759043,United Nations Free & Equal,These ads ran without a disclaimer,≤100
101082842736363,The world of reader,These ads ran without a disclaimer,≤100
