Page ID,Page name,Disclaimer,Amount spent (KES)
362328664703,Start Talking Kenya,Well Made Strategy,1519
123182861072147,Hon Musalia W Mudavadi,Hon Musalia W Mudavadi,851
112754900441156,DR. Kiarie Badilisha,DR. Kiarie Badilisha,258
1400771023469241,Anne Waiguru,Anne Waiguru,174
1506723769658512,Susan Kihika,Susan Kihika,134
103644672731725,Amb. Nancy Karigithu,Arkinst Limited,129
412238482219683,Kambaland,Kambaland,115
780365355477607,Kenya Muslim Youth Alliance,Kenya Muslim Youth Alliance,106
167608029918352,Akili Dada,These ads ran without a disclaimer,≤100
194141207389467,Booker Ngesa Omole,Communist Party of Kenya,≤100
608650595820049,The Conqueror Challenges,These ads ran without a disclaimer,≤100
107885172290614,Hon Saad Abajano,These ads ran without a disclaimer,≤100
102324481269298,Hon. Zamzam Mohammed,Hon. Zamzam Mohammed,≤100
472937792800629,ICICI Prudential Life Insurance,These ads ran without a disclaimer,≤100
224597158386607,Rosa Luxemburg Foundation,These ads ran without a disclaimer,≤100
115885591510505,Ambassador Karanja Kamau For Senator Nakuru County 2027,These ads ran without a disclaimer,≤100
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100
110215891477092,Entertainment Dude,These ads ran without a disclaimer,≤100
107431635701822,Huang Hsi,These ads ran without a disclaimer,≤100
101808162590329,OPSWAT Academy,These ads ran without a disclaimer,≤100
171195311682401,ParentzTalk - Activities,These ads ran without a disclaimer,≤100
102049477791,Freerice,These ads ran without a disclaimer,≤100
