Page ID,Page name,Disclaimer,Amount spent (COP)
553585915161201,Jhon Molina Putumayo,Jhon Molina Putumayo,167226
104313676026273,Luis Carlos Guevara Montilla,Agencia de Publicidad del Putumayo,50818
257401965136834,Carlos Marroquín,Carlos Marroquín,33346
576586942728605,Jorge  Fuerbringer FanPage,Jorge  Fuerbringer FanPage,30637
941293005965935,Jonny Portilla Confía Putumayo,Jonny Portilla Confía Putumayo,27986
105824142340064,Fredy Romo,Fredy Romo,10398
471544960330066,Yandun Diputado Natural,Yandun Diputado Natural,4805
102143071616787,Goberna Colombia,Goberna,1170
131753023639902,Aldemar Alfaro,Aldemar Alfaro Rivero,986
130834367164,Red PaPaz,Red PaPaz,935
118514924593739,Tanque Seco,Tanque seco,764
166059236849588,G Garcia Realpe,G Garcia Realpe,599
814872645274595,Alicia Peñaranda - La POPlitóloga,Alicia Peñaranda - La POPlitóloga,531
167222580002790,Clara Luz Roldan Gonzalez,Clara Luz Roldán,489
969143216462972,Felipe Cañizalez,Felipe Cañizalez,397
170633243101916,Alexander Serrato,Alexander Serrato,345
110036132129269,Alerta Noticias,Alerta Noticias,337
1913101528996718,Congreso Nacional de Marketing Político,Congreso Nacional de Marketing Político,331
1400280116941194,Fabian Diaz,Fabian Diaz,233
110633531919902,El Empresario De Moda,El Empresario De Moda,204
569978373130700,Andrés Lizarralde Henao,Andrés Lizarralde Henao,175
482002058626250,Surany Arboleda Arias,Surany Arboleda Arias,160
101170393279528,Rodrigo Villalba Mosquera,Rodrigo Villalba Mosquera,156
509529099396147,Héctor Rangel,Héctor Rangel,148
117823701712681,Cedinsi Escuela de Entrenamiento en Herramientas Digitales,These ads ran without a disclaimer,138
1737937156478529,Carlos Felipe López López,Carlos Felipe López López,132
101391859627743,Colombia sin miedo,Colombia sin miedo,122
597006313643580,Gobernación del Valle del Cauca,Gobernación Valle del Cauca,113
338089203596822,Santinarvaezl,Santiago Narváez Lombana,≤100
116544396862942,Unión Legal y Tributaria S. A. S,Unión Legal y Tributaria S. A. S,≤100
114778278552099,Octavio Cardona León,Octavio Cardona León,≤100
103596816009903,Voy con Leo,Voy con Leo,≤100
113389547103519,LATAM RADIO,Thomas Balaguera,≤100
411471016347514,Concejal Esteban Gañan,Concejal Esteban Gañan,≤100
838927469815494,Diana Diago,Diana Diago,≤100
803708179715377,Alcaldía de Jardín: Por Amor a Jardín - Bienestar para Todos,These ads ran without a disclaimer,≤100
1766366823576506,La Paz Querida,La Paz Querida,≤100
101875106251616,Partido Verde Oxígeno,Partido Verde Oxigeno,≤100
200207836752561,Opinión Caribe,Opinión Caribe,≤100
1529335724037224,Aeropuerto del Café,INTUAL,≤100
100319211712051,Walter Salas,Walter Salas,≤100
108202298520665,Tatiana Safar,La Digital,≤100
103428739334753,"José Alfredo ""El Cura"" Ordóñez","José Alfredo ""El Cura"" Ordóñez",≤100
100801257933323,Jesus Trujillo Torres,Jesus Trujillo Torres,≤100
115711184745624,Barbacoas Cuento Contigo,These ads ran without a disclaimer,≤100
107235559062650,Esu.clic,IOT LATAM S A S,≤100
626538870727500,Felipe Urrea,Felipe Urrea,≤100
102154447983721,Edwin Ramírez Concejal,Edwin Ramírez Concejal,≤100
109581228202676,Luis Fernando Velazquez Bueno,Luis Fernando Velazquez Bueno,≤100
1519510178128827,Carlos Andrés Hernández Zuluaga,Carlos Andrés Hernández Zuluaga,≤100
73970658023,International Rescue Committee,These ads ran without a disclaimer,≤100
304971412943967,Instituto de Zumpango en Estudios Superiores en Criminalística IZESC,These ads ran without a disclaimer,≤100
