Page ID,Page name,Disclaimer,Amount spent (HUF)
776079922494181,Apáti Bence hivatalos oldala,Megafon,37079
224274995688487,Bohár Dániel - Riporter,Megafon,21383
503614639975773,Trombitás Kristóf,Megafon,16743
118152054556475,Deák Dániel,Megafon,12968
102414628645144,Korondy Tamás,Megafon,12259
258636010813346,Delmagyar.hu,Mediaworks Hungary Zrt.,7349
543788999005363,ORIGO,Mediaworks Hungary Zrt.,4165
1534911313439123,Ripost,Ripost,3781
142116653162328,Márki-Zay Péter,Márki-Zay Péter,3098
294815374340858,Donáth Anna,Donáth Anna - Momentum,2820
248172631940,Mandiner,Mediaworks Hungary Zrt.,2779
109503892404998,Világgazdaság,Mediaworks Hungary Zrt.,2725
109414841321682,Magyar Falu Program,Miniszterelnökség,2716
278117815576023,EU Justice and Consumers,EU Justice and Consumers,2671
326635018181862,Magyar Nemzet,Mediaworks Hungary Zrt.,2566
331580946799,Borsonline - Bors Szórakoztató Napilap,Borsonline - Bors Szórakoztató Napilap,2542
191461774219575,hirado.hu,hirado.hu,2484
451844608304228,Metropol,Metropol,1311
153992771336740,Origo Sport,Mediaworks Hungary Zrt.,999
178362315106,European Parliament,European Parliament,958
110056758082933,Mihálffy Béla,Mihálffy Béla,912
286759004682537,Tranzit,Kommentár Alapítvány,891
303640261940,Nemzeti Sport Online,Mediaworks Hungary Zrt.,852
594088897289853,Alapjogokért Központ,Alapjogokért Központ,838
408924035951553,Körforrás,Körforrás,755
115388925185513,Magyar Szocialista Párt,MSZP,692
104359131558815,KonVerzió,Megafon,676
191946490841225,Dúró Dóra,Mi Hazánk Mozgalom,611
345496092135627,Hír TV,Mediaworks Hungary Zrt.,575
131283758531,HVG,HVG Kiadó ZRt.,569
289633770813,UNICEF Magyarország,UNICEF Magyar Bizottság Alapítvány,550
265672590604606,Makronóm.Blog,Makronóm.Blog,549
162344823835042,atlatszo.hu,atlatszo.hu,508
14792493292,Magyar Kétfarkú Kutya Párt,Magyar Kétfarkú Kutya Párt,502
851784814892644,Simicskó István,KDNP frakció,497
103294948505659,Szánthó Miklós,Szánthó Miklós – Alapjogokért Központ,480
447204268797621,RTL.hu,RTL.HU,467
287770891404,Jobbik-Konzervatívok,Jobbik Magyarországért Mozgalom,428
44847086574,Amnesty International Magyarország,Amnesty International Magyarország,423
108248022589754,Bosch Magyarország,Bosch Magyarország,413
457609140942597,Baptista Tevékeny Szeretet Misszió - BTESZ,Baptista Tevékeny Szeretet Misszió,389
202099276507678,24.hu,24.hu,379
225062677512591,L'Oréal Paris,These ads ran without a disclaimer,373
109528965046103,MCC Feszt,Mathias Corvinus Collegium,362
100401808007704,EzaLényeg.hu,EzaLényeg.hu,352
783482538679312,Radics Béla,Radics Béla,351
102426795954406,Nobilis Márton,Nobilis Márton,348
147547541961576,Council of the European Union,Council of the European Union,343
108346693873484,Győrffy Balázs,Győrffy Balázs,322
106963942072063,Halász Noémi,Halász Noémi,321
170187966339475,Life.hu,Mediaworks Hungary Zrt.,318
211156277497,WWF Hungary,WWF Hungary,292
143151351544,Színházi Olimpia 2023 / Theatre Olympics 2023,Szinházi Olimpia Nonprofit Kft.,271
264517713636590,PestiSracok.hu,PestiSrácok.hu,250
114360928628315,KézenFogva Alapítvány,KézenFogva Alapítvány,240
490030231058740,444,Magyar Jeti Zrt - 444.hu,232
156847374371871,Szabó Tímea,Párbeszéd Magyarországért,228
102641477991941,bahir.hu - BAHÍR,Zöld Baranya Egyesület,222
113684438795574,Párbeszéd - Zöldek,Párbeszéd Magyarországért,219
268042136672212,Századvég,Századvég Közéleti Tudásközpont Alapítvány,216
101857496649315,Fidelitas Hegyfalu,These ads ran without a disclaimer,212
191946490841225,Dúró Dóra,Dúró Dóra,208
112694594992064,Mehr Licht,Mehr Licht,195
109306435499597,Szabad Vonalzó,Humán Platform,193
35634348348,Greenpeace Magyarország,Greenpeace Magyarország,185
1215492498464496,Angyal Károly,Angyal Károly,185
670269189782610,Ficsak - Fiatal Családosok Klubja,Fiatal Családosok Klubja,169
126539424061030,Háttér Társaság,Háttér Társaság,161
237088069704442,Kósa Ádám,"Adam Kosa, Member of the European Parliament",158
102401058671244,Készpénzmentes Zóna,Uniomedia Kommunikációs Ügynökség Zártkörűen Működő Részvénytársaság,157
76748198685,Budapest Pride,Budapest Pride,143
206519396034626,agrotrend.hu,Agrárin Kft.,138
113375923695023,Fidesz Budapest,Fidesz Budapest,138
519279158277826,Szülői Hang,Szülői Hang,134
106236922109249,Hajnal-2026,Hajnal-2026,119
537817739693723,Brain Bar,Brain Bar,119
267882727864,Kubatov Gábor,Fidesz,118
142695722442067,Napvilág Kiadó,Napvilág Kiadó,115
887921287887805,Király Nóra,Király Nóra,112
1926735160968885,Válasz Online,Válasz Online,107
1408906262689093,Nyitrai Zsolt,Fidesz,104
