Page ID,Page name,Disclaimer,Amount spent (VND)
111267731617802,Lương Y Phạm Văn Thanh - Người Thầy Y Đức,These ads ran without a disclaimer,4602
105845511087981,TRUYỀN HÌNH AN VIÊN,Truyền hình Bchannel - BTV9 An Viên,4142
108685817326606,Truther Piece Official,These ads ran without a disclaimer,3025
101291915685026,Thầy Thuốc Nhân Dân Phạm Văn Thanh,These ads ran without a disclaimer,1663
100616169438350,Đào Minh Vương,These ads ran without a disclaimer,1493
101478189323986,Thầy Phạm Văn Thanh Lào Cai,These ads ran without a disclaimer,1298
100642569492416,Ng.Thị Thu Thảo,These ads ran without a disclaimer,585
1433703283355526,Tủ Sách Pháp Luật,These ads ran without a disclaimer,142
621083371323466,인민망,These ads ran without a disclaimer,≤100
103870899435719,Lương Y Phạm Văn Thanh _ Chữa Dứt Điểm bệnh Dạ Dày Đại Tràng,These ads ran without a disclaimer,≤100
