Page ID,Page name,Disclaimer,Amount spent (JPY)
684161888345926,西日本新聞me,西日本新聞me,10453
265075920177069,陸上自衛隊 Japan Ground Self-Defense Force,陸上自衛隊 Japan Ground Self-Defense Force,8044
1904070096535109,スマート選挙,株式会社センキョ,2990
475681929154100,国連UNHCR協会,国連UNHCR協会,2622
103307385856246,美容Lab,These ads ran without a disclaimer,1212
110058508784307,ライズ・アップ・ジャパン,株式会社経営科学出版,948
108136530968730,おねがい社長！,These ads ran without a disclaimer,722
172980666081766,Seminars セミナーズ,These ads ran without a disclaimer,504
281777375260988,オッズパーク,These ads ran without a disclaimer,381
603020383522366,Smgネットワーク,SMGネットワーク（中国における臓器移植を考える会）,319
113154441705767,不動産aiチャット-不動産のAIアシスタント,These ads ran without a disclaimer,189
552369508126050,GREEN FUNDING,These ads ran without a disclaimer,106
256504371891671,the-issues.jp,the-issues.jp,≤100
104331362680222,都知事杯オープンデータ・ハッカソン 事務局,These ads ran without a disclaimer,≤100
676873696061766,ブレインコントロールコーチ　荒井隆秀,ブレインコントロールコーチ　荒井隆秀,≤100
104533215755145,ZOE_Japan,ZOE Japan,≤100
820163744680755,無料の予約フォーム「RESERVA」,These ads ran without a disclaimer,≤100
185422931575190,東京カメラ部,These ads ran without a disclaimer,≤100
1518530858452837,病気は“心理学×言語学×脳科学”で消していく時代,These ads ran without a disclaimer,≤100
1812425055659979,介護ワーカー,These ads ran without a disclaimer,≤100
101620186107874,Jun Matsuzaki,These ads ran without a disclaimer,≤100
153022271418684,日経メディカル,These ads ran without a disclaimer,≤100
1672330153015605,透明アクリル業者票,アドアチーブ株式会社,≤100
110256441562343,Buzz_channel,These ads ran without a disclaimer,≤100
106529381794760,丸善ジュンク堂書店オンラインイベント,These ads ran without a disclaimer,≤100
100464199753167,Curruuei.xyz-3,These ads ran without a disclaimer,≤100
216311481960,Bill Gates,These ads ran without a disclaimer,≤100
112952971813702,Olson Laura,These ads ran without a disclaimer,≤100
