Page ID,Page name,Disclaimer,Amount spent (CLP)
108922248816222,Secretaría de Participación Ciudadana,Secretaría de Participación Ciudadana,251254
742589802465506,Reforma la Reforma,Fundación Ciudadanos en Acción,120181
105560941738247,Movilizando Chilenos,Movilizando Chilenos,92316
231350380299380,Las Últimas Noticias (LUN),Las Últimas Noticias (LUN),56916
221901754840837,Acciona.Chile,ACCIONA Chile,23794
78617029137,Greenpeace Chile,Fundación Greenpeace Pacífico Sur,21317
105798328215264,Asistencia Familia,Asistencia Familia,14178
28023147497,Partido Comunista de Chile,Partido Comunista de Chile,13518
103527991214141,Cero DICOM,Cero Dicom,13428
104241664294127,Los Poderosos de Siempre,Los Poderosos de Siempre,12826
1548643738480723,Asistencia Deudores,Asistencia Deudores,8898
105783868682878,Asistencia Tesorería,Asistencia Tesoreria,8373
1147280035388437,ARAUCO,These ads ran without a disclaimer,8016
580663538777736,Consejo Minero,Feedback Comunicaciones,7775
100632486305724,Pacto Niñez,Pacto Niñez,7743
120295334652273,Enrique Van Rysselberghe Herrera,Enrique Van Rysselberghe Herrera,6926
295886120554128,Polpaico,Cemento Polpaico SA,6729
120514046007638,Soy del Campo Chile,Soy del Campo Chile,5459
558224964238853,Anglo American,Anglo American,5281
181189911970230,Alberto Undurraga V,Alberto Undurraga V,4983
632687896928177,Oscar Crisóstomo,Oscar Crisóstomo,4883
761606963919174,Somos Aclara,Somos Aclara,4439
228557190541436,BancoEstado,BancoEstado,3736
200033693376679,Norte Verde,Inmobiliaria Norte Verde Spa,3207
866387293716530,Gran Logia Femenina de Chile,Gran Logia Femenina de Chile,2779
100714821561761,Tenemos que Hablar de Chile,Tenemos que Hablar de Chile,2539
246478779511291,Lex Grupo Abogados,Lex Grupo Abogados,2493
108320684047183,Walt Blackman,These ads ran without a disclaimer,2405
541390972732127,Consejero Regional Rodrigo Vera,Consejero Regional Rodrigo Vera,2310
2257351691213562,Noticias que marcarán pauta,Noticias que marcarán pauta,2028
101022471358725,El orgullo de ser chileno,El orgullo de ser chileno,1980
110835964029132,Var Constitucional,Var Constitucional,1786
1567607313249689,Cristobal Martinez Diputado,Cristobal Martinez Diputado,1645
184559421980613,Vlado Mirosevic,Vlado Mirosevic,1603
1661207433889496,Dr Salvador Urrutia y Constitución,Dr Salvador Urrutia y Constitución,1603
78239901502,Diario Financiero,Grupo DF,1603
103030962615298,Chile YAAC,Chile YAAC,1382
113540781539326,Workmed,Workmed,1238
104923331929196,Enciclopedia Bío-Bío,Enciclopedia Bío Bío,1178
100214612073479,María Soledad Cisternas,María Soledad Cisternas,1134
220236561437105,Fundación MERI,Fundación Caserta,980
1140435596103153,Asociación Chilena de Municipalidades,Asociación Chilena de Municipalidades,897
100645555080281,Academia Nacional de Litigación,Academia Nacional de Litigación,802
104487498154013,Agenda Transparencia,Agenda Transparencia,802
117752777993026,Economía y Finanzas para Todos,Economía y Finanzas para Todos,802
356972484624,Gensuite,Gensuite,802
113838817025219,Coperiodistas,Coperiodistas,802
647714468579894,ENGIE,These ads ran without a disclaimer,772
154785904692548,SalmonChile,SalmonChile,545
100622491799515,Sara ConchaSmith Diputada Ñuble,Sara ConchaSmith Diputada Ñuble,537
101353136059344,filantropiacortessolari,These ads ran without a disclaimer,409
386423238164424,Enel Chile,These ads ran without a disclaimer,378
2097123693856267,Grupo Abogadas,These ads ran without a disclaimer,358
110405624650830,Chile En La Encrucijada,Chile En La Encrucijada,354
510702412304298,Circulo Emancipador de Mujeres y Niñas con Discapacidad de Chile,Circulo Emancipador de Mujeres y Niñas con Discapacidad de Chile,316
529560927163822,Almatriz Doulas,These ads ran without a disclaimer,203
236832306743592,Megafrenos,These ads ran without a disclaimer,190
161516273891492,Coopeuch,These ads ran without a disclaimer,≤100
160041474192578,Bernardo Berger,Bernardo Berger Fett,≤100
112414063439760,DeliBest Chile,Brecha Digital Consultores,≤100
103976892532629,equalityelpodcast,These ads ran without a disclaimer,≤100
356229905220071,Statum Digital,These ads ran without a disclaimer,≤100
116603861327799,alex_sa.c,These ads ran without a disclaimer,≤100
105725594737658,Biosfera Austral,These ads ran without a disclaimer,≤100
127291427350700,SNICKERS Chile,These ads ran without a disclaimer,≤100
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100
105409475569811,AO Recon Latin America,These ads ran without a disclaimer,≤100
113924653318737,ICF,ICF,≤100
102635655320437,Number Match - Logic Puzzle Game,These ads ran without a disclaimer,≤100
115211516522502,Agenda Central,Agenda Central,≤100
108800153834480,Salud y Prevención,Salud y Prevención,≤100
468067587027621,Mineros al día,Mineros al día,≤100
